Cell,Age,Oxy,Sal,Period
1,18.3938,223.1085,36.0314,2016-18
2,16.8348,222.6871,36.0092,2016-18
3,7.4693,220.7561,35.8962,2016-18
4,2.8682,219.7776,35.8338,2016-18
5,6.1294,220.2762,35.8547,2016-18
6,15.2170,221.8803,35.9260,2016-18
7,13.9539,221.5901,35.9141,2016-18
8,15.7733,221.9092,35.9267,2016-18
9,13.4754,221.4677,35.9061,2016-18
10,17.0908,222.0782,35.9321,2016-18
11,14.9427,221.5436,35.9139,2016-18
12,11.8256,220.9350,35.8900,2016-18
13,5.7785,219.7355,35.8434,2016-18
14,6.7427,219.8984,35.8500,2016-18
15,8.8651,219.9028,35.8672,2016-18
16,13.0134,220.2114,35.8979,2016-18
17,12.5662,220.2514,35.8889,2016-18
18,15.6086,220.8088,35.9104,2016-18
19,11.4499,220.1607,35.8791,2016-18
20,11.6140,220.0120,35.8834,2016-18
21,12.3911,220.2322,35.8892,2016-18
22,14.3448,220.6607,35.9025,2016-18
23,14.4566,220.7880,35.9024,2016-18
24,15.4712,221.0723,35.9076,2016-18
25,16.4920,221.3337,35.9128,2016-18
26,16.5090,221.4144,35.9098,2016-18
27,14.8563,221.1313,35.8981,2016-18
28,14.0142,221.0329,35.8907,2016-18
29,16.5841,221.6452,35.9067,2016-18
30,12.4172,220.7418,35.8773,2016-18
31,15.4137,221.4354,35.8934,2016-18
32,11.6038,220.6986,35.8689,2016-18
33,11.1222,220.5341,35.8626,2016-18
34,13.1177,221.0211,35.8725,2016-18
35,9.2423,219.4773,35.8534,2016-18
36,6.8386,219.0359,35.8425,2016-18
37,10.3691,219.7447,35.8695,2016-18
38,7.2731,219.8517,35.8499,2016-18
39,11.5562,220.6472,35.8801,2016-18
40,11.7424,220.8688,35.8819,2016-18
41,15.4313,221.5266,35.9073,2016-18
42,11.3299,220.7719,35.8773,2016-18
43,15.9490,221.5085,35.9078,2016-18
44,18.4423,223.0095,36.0355,2016-18
45,20.2134,223.1566,36.0467,2016-18
46,18.6434,222.9128,36.0159,2016-18
47,17.3974,223.6595,35.9984,2016-18
48,23.3887,224.0503,36.0256,2016-18
49,14.0579,221.9515,35.9322,2016-18
50,22.0637,223.3736,35.9788,2016-18
51,20.7413,222.9163,35.9663,2016-18
52,20.0218,222.6903,35.9536,2016-18
53,22.0272,223.0379,35.9646,2016-18
54,15.6935,221.6494,35.9184,2016-18
55,9.5101,220.3046,35.8716,2016-18
56,15.0201,221.1624,35.9121,2016-18
57,11.6987,220.6159,35.8857,2016-18
58,15.5951,221.0998,35.9130,2016-18
59,17.2904,221.3458,35.9240,2016-18
60,16.8760,221.0400,35.9204,2016-18
61,18.0588,221.5852,35.9251,2016-18
62,17.9980,221.4415,35.9252,2016-18
63,18.0345,221.3766,35.9276,2016-18
64,19.1127,221.7388,35.9347,2016-18
65,19.4637,221.9132,35.9364,2016-18
66,19.5678,222.0718,35.9351,2016-18
67,19.5331,222.1599,35.9317,2016-18
68,19.0523,222.1554,35.9262,2016-18
69,18.5950,222.1955,35.9218,2016-18
70,18.7125,222.5025,35.9221,2016-18
71,18.6323,222.4672,35.9190,2016-18
72,16.7127,221.9404,35.9000,2016-18
73,19.7016,222.8731,35.9299,2016-18
74,14.9382,221.5062,35.8844,2016-18
75,15.9716,221.5973,35.8949,2016-18
76,16.3264,221.5095,35.9012,2016-18
77,14.0862,220.5849,35.8882,2016-18
78,15.6242,221.0677,35.9047,2016-18
79,16.9960,221.8411,35.9145,2016-18
80,18.0740,222.2287,35.9218,2016-18
81,17.9399,222.1649,35.9235,2016-18
82,17.7236,222.2067,35.9233,2016-18
83,19.1403,222.6412,35.9319,2016-18
84,18.6097,222.6458,35.9254,2016-18
85,16.0013,221.5352,35.9051,2016-18
86,17.4717,222.2325,35.9208,2016-18
87,18.9230,222.7076,36.0569,2016-18
88,21.6519,223.2825,36.0902,2016-18
89,22.0404,223.5281,36.0680,2016-18
90,17.2547,223.4859,36.0008,2016-18
91,18.7511,222.6612,36.0569,2016-18
92,24.2444,224.3557,36.0631,2016-18
93,25.6436,224.6817,36.0188,2016-18
94,26.9534,224.8896,36.0094,2016-18
95,25.7676,224.1935,35.9997,2016-18
96,24.4472,224.4448,36.0673,2016-18
97,25.8270,224.9505,36.0385,2016-18
98,26.0694,224.0527,35.9923,2016-18
99,17.1791,221.6767,35.9289,2016-18
100,26.9077,224.3069,35.9958,2016-18
101,20.3939,222.1049,35.9482,2016-18
102,18.7535,221.8888,35.9367,2016-18
103,18.1871,221.8752,35.9304,2016-18
104,24.2370,222.8595,35.9714,2016-18
105,21.5736,222.3448,35.9524,2016-18
106,20.3180,222.1888,35.9402,2016-18
107,19.4018,221.8418,35.9341,2016-18
108,21.3679,222.3917,35.9446,2016-18
109,20.8566,222.3199,35.9391,2016-18
110,20.3189,222.2146,35.9408,2016-18
111,20.8589,222.4065,35.9468,2016-18
112,20.7045,222.5452,35.9425,2016-18
113,20.6271,222.6367,35.9399,2016-18
114,19.8772,222.4923,35.9333,2016-18
115,20.1320,222.7277,35.9345,2016-18
116,20.7004,223.0121,35.9376,2016-18
117,19.3457,222.9991,35.9207,2016-18
118,20.0265,222.9682,35.9276,2016-18
119,17.9098,222.3896,35.9095,2016-18
120,21.1387,223.4122,35.9374,2016-18
121,21.8311,223.5977,35.9409,2016-18
122,19.1038,222.0621,35.9258,2016-18
123,21.9733,223.4369,35.9454,2016-18
124,22.3605,223.6180,35.9466,2016-18
125,20.5923,222.3767,35.9414,2016-18
126,18.5020,221.9955,35.9225,2016-18
127,18.6730,222.2163,35.9237,2016-18
128,20.9625,223.0228,35.9430,2016-18
129,19.4860,222.8129,35.9292,2016-18
130,20.6378,223.0829,35.9408,2016-18
131,18.9284,222.8805,35.9281,2016-18
132,17.8923,222.6387,35.9181,2016-18
133,19.9689,223.1141,35.9363,2016-18
134,21.2182,223.4702,35.9452,2016-18
135,16.0848,221.5811,35.9054,2016-18
136,17.2636,222.2073,35.9207,2016-18
137,18.1687,222.7875,35.9204,2016-18
138,20.2730,222.6942,36.0857,2016-18
139,21.9039,223.3207,36.1052,2016-18
140,23.4366,224.0674,36.0953,2016-18
141,20.3419,222.5985,36.0964,2016-18
142,21.4044,223.0626,36.1097,2016-18
143,17.0979,223.3072,36.0052,2016-18
144,18.7538,222.3453,36.0673,2016-18
145,19.7093,222.4510,36.0883,2016-18
