Cell,Age,Oxy,Sal,Period
1,7.8876,219.3368,36.0645,2016-18
2,1.5916,218.0023,36.0128,2016-18
3,0.0918,217.6509,36.0006,2016-18
4,0.0471,217.6421,36.0001,2016-18
5,0.0307,217.6396,36.0000,2016-18
6,0.0478,217.6524,35.9999,2016-18
7,0.0202,217.6256,36.0000,2016-18
8,0.0412,217.6337,36.0000,2016-18
9,0.0665,217.6320,35.9999,2016-18
10,0.1568,217.7025,35.9995,2016-18
11,0.2549,217.7936,35.9992,2016-18
12,0.2738,217.8009,35.9990,2016-18
13,0.3671,217.8691,35.9986,2016-18
14,0.5393,218.0845,35.9987,2016-18
15,0.7471,218.3846,35.9995,2016-18
16,1.0262,218.7186,36.0002,2016-18
17,1.3439,219.0133,36.0009,2016-18
18,1.7298,219.4355,36.0021,2016-18
19,1.8007,219.3938,36.0019,2016-18
20,2.5867,219.9197,36.0028,2016-18
21,3.4310,220.3083,36.0036,2016-18
22,4.3806,220.6225,36.0050,2016-18
23,6.0144,221.0061,36.0056,2016-18
24,6.8874,220.9587,36.0050,2016-18
25,7.0659,220.6661,36.0029,2016-18
26,7.3807,220.5988,35.9998,2016-18
27,6.0216,219.9169,35.9972,2016-18
28,3.8800,218.9933,35.9977,2016-18
29,12.1946,221.9705,35.9934,2016-18
30,9.3727,221.0025,35.9950,2016-18
31,10.9847,221.4754,35.9923,2016-18
32,9.6716,221.0181,35.9933,2016-18
33,9.6855,220.9845,35.9918,2016-18
34,13.7542,222.3512,35.9882,2016-18
35,13.1064,222.1291,35.9867,2016-18
36,11.8053,221.7001,35.9868,2016-18
37,15.2869,222.8724,35.9820,2016-18
38,12.6550,222.0644,35.9834,2016-18
39,14.8701,222.8818,35.9786,2016-18
40,13.8973,222.7398,35.9764,2016-18
41,15.9955,223.5099,35.9723,2016-18
42,13.5148,222.7626,35.9746,2016-18
43,15.9373,223.7960,35.9684,2016-18
44,8.4188,219.3913,36.0698,2016-18
45,2.2220,218.1830,36.0177,2016-18
46,1.6765,218.0369,36.0134,2016-18
47,11.2079,219.9007,36.0870,2016-18
