Name,Pt,Type,ID
Ocean,1,Long,184
DS_182_KM,2,Long,182
DS_180_KM,3,Long,180
DS_178_KM,4,Long,178
DS_176_KM,5,Long,176
DS_174_KM,6,Long,174
DS_172_KM,7,Long,172
DS_170_KM,8,Long,170
DS_168_KM,9,Long,168
DS_166_KM,10,Long,166
DS_164_KM,11,Long,164
DS_162_KM,12,Long,162
DS_160_KM,13,Long,160
DS_158_KM,14,Long,158
DS_156_KM,15,Long,156
DS_154_KM,16,Long,154
DS_152_KM,17,Long,152
DS_150_KM,18,Long,150
DS_148_KM,19,Long,148
DS_146_KM,20,Long,146
DS_144_KM,21,Long,144
DS_142_KM,22,Long,142
DS_140_KM,23,Long,140
DS_138_KM,24,Long,138
DS_136_KM,25,Long,136
DS_134_KM,26,Long,134
DS_132_KM,27,Long,132
DS_130_KM,28,Long,130
DS_128_KM,29,Long,128
DS_126_KM,30,Long,126
DS_124_KM,31,Long,124
WisemansFerry,32,Long,122
DS_120_KM,33,Long,120
DS_118_KM,34,Long,118
DS_116_KM,35,Long,116
DS_114_KM,36,Long,114
DS_112_KM,37,Long,112
DS_110_KM,38,Long,110
DS_108_KM,39,Long,108
DS_106_KM,40,Long,106
DS_104_KM,41,Long,104
DS_102_KM,42,Long,102
DS_100_KM,43,Long,100
DS_98_KM,44,Long,98
DS_96_KM,45,Long,96
DS_94_KM,46,Long,94
DS_92_KM,47,Long,92
DS_90_KM,48,Long,90
SackvilleBend,49,Long,88
DS_86_KM,50,Long,86
DS_84_KM,51,Long,84
DS_82_KM,52,Long,82
DS_80_KM,53,Long,80
DS_78_KM,54,Long,78
DS_76_KM,55,Long,76
DS_74_KM,56,Long,74
DS_72_KM,57,Long,72
Downstream_CattaiCk,58,Long,70
DS_68_KM,59,Long,68
DS_66_KM,60,Long,66
DS_64_KM,61,Long,64
DS_62_KM,62,Long,62
Downstream_SouthCk,63,Long,60
Upstream_SouthCk,64,Long,58
DS_56_KM,65,Long,56
DS_54_KM,66,Long,54
DS_52_KM,67,Long,52
DS_50_KM,68,Long,50
DS_48_KM,69,Long,48
DS_46_KM,70,Long,46
DS_44_KM,71,Long,44
DS_42_KM,72,Long,42
Downstream_GroseRiver,73,Long,40
Upstream_GroseRiver,74,Long,38
DS_36_KM,75,Long,36
DS_34_KM,76,Long,34
DS_32_KM,77,Long,32
DS_30_KM,78,Long,30
DS_28_KM,79,Long,28
DS_26_KM,80,Long,26
DS_24_KM,81,Long,24
Downstream_PenrithWeir,82,Long,22
Upstream_PenrithWeir,83,Long,20
DS_18_KM,84,Long,18
DS_16_KM,85,Long,16
DS_14_KM,86,Long,14
DS_12_KM,87,Long,12
DS_10_KM,88,Long,10
ErskineCreek,89,Long,8
DS_6_KM,90,Long,6
Downstream_WarragambaRivulet,91,Long,4
NortonsBasin,92,Long,2
AWRC_Release,93,Long,0.3
Upstream_WallaciaWeir,94,Long,0
US_2_KM,95,Long,-2
US_4_KM,96,Long,-4
US_6_KM,97,Long,-6
US_8_KM,98,Long,-8
US_10_KM,99,Long,-10
US_12_KM,100,Long,-12
DS_CattaiCk,101,TS,NaN
DS_GroseRiver,102,TS,NaN
DS_PenrithWeir,103,TS,NaN
DS_SouthCk,104,TS,NaN
DS_WallaciaWeir,105,TS,NaN
DS_WallaciaWeir_500m,106,TS,NaN
DS_WarragambaRivulet,107,TS,NaN
ErskineCreek,108,TS,NaN
NortonsBasin,109,TS,NaN
SackvilleBend,110,TS,NaN
US_CattaiCk,111,TS,NaN
US_GroseRiver,112,TS,NaN
US_PenrithWeir,113,TS,NaN
US_SouthCk,114,TS,NaN
US_WallaciaWeir,115,TS,NaN
US_WarragambaRivulet,116,TS,NaN
WisemansFerry,117,TS,NaN
