Cell,Age,Oxy,Sal,Hypoxia,Period
1,3.5137,7.0176,35.8859,0.0000,2016-18
2,0.8979,7.0239,35.8216,0.0000,2016-18
3,0.0382,7.0257,35.8008,0.0000,2016-18
4,0.0358,7.0255,35.8005,0.0000,2016-18
5,0.0319,7.0255,35.8002,0.0000,2016-18
6,0.0499,7.0253,35.8005,0.0000,2016-18
7,0.0277,7.0254,35.8002,0.0000,2016-18
8,0.0473,7.0251,35.8002,0.0000,2016-18
9,0.0716,7.0246,35.8002,0.0000,2016-18
10,0.1516,7.0241,35.8009,0.0000,2016-18
11,0.2313,7.0254,35.8017,0.0000,2016-18
12,0.2277,7.0252,35.8021,0.0000,2016-18
13,0.2932,7.0265,35.8030,0.0000,2016-18
14,0.4401,7.0302,35.8047,0.0000,2016-18
15,0.5164,7.0319,35.8072,0.0000,2016-18
16,0.6222,7.0368,35.8148,0.0000,2016-18
17,0.9071,7.0391,35.8316,0.0000,2016-18
18,1.1117,7.0412,35.8400,0.0000,2016-18
19,1.3084,7.0339,35.8480,0.0000,2016-18
20,1.7910,7.0323,35.8668,0.0000,2016-18
21,2.4028,7.0254,35.8854,0.0000,2016-18
22,3.1190,7.0162,35.9026,0.0000,2016-18
23,3.8427,6.9896,35.9062,0.0000,2016-18
24,3.7651,6.9632,35.8900,0.0000,2016-18
25,4.0179,6.9652,35.8847,0.0000,2016-18
26,3.9944,6.9665,35.8799,0.0000,2016-18
27,3.0345,6.9807,35.8570,0.0000,2016-18
28,1.8958,6.9975,35.8352,0.0000,2016-18
29,2.7843,6.9869,35.8529,0.0000,2016-18
30,1.4797,7.0034,35.8282,0.0000,2016-18
31,1.2098,7.0073,35.8229,0.0000,2016-18
32,0.2847,7.0214,35.8051,0.0000,2016-18
33,0.3345,7.0203,35.8065,0.0000,2016-18
34,1.2456,7.0055,35.8257,0.0000,2016-18
35,1.2611,7.0056,35.8257,0.0000,2016-18
36,0.2790,7.0214,35.8050,0.0000,2016-18
37,0.6698,7.0154,35.8116,0.0000,2016-18
38,0.6027,7.0170,35.8104,0.0000,2016-18
39,2.2572,6.9872,35.8393,0.0000,2016-18
40,3.1906,6.9737,35.8519,0.0000,2016-18
41,5.3493,6.9467,35.8749,0.0000,2016-18
42,5.1242,6.9801,35.8574,0.0000,2016-18
43,10.7805,6.9469,35.9184,0.0000,2016-18
44,3.7885,7.0163,35.8924,0.0000,2016-18
45,1.0135,7.0237,35.8239,0.0000,2016-18
46,0.7933,7.0242,35.8189,0.0000,2016-18
47,5.1628,7.0068,35.9183,0.0000,2016-18
48,0.4005,7.0247,35.8085,0.0000,2016-18
49,0.0704,7.0253,35.8007,0.0000,2016-18
50,0.0961,7.0249,35.8008,0.0000,2016-18
51,0.0847,7.0249,35.8005,0.0000,2016-18
52,0.1293,7.0248,35.8009,0.0000,2016-18
53,0.2382,7.0260,35.8023,0.0000,2016-18
54,0.2893,7.0268,35.8032,0.0000,2016-18
55,0.4180,7.0302,35.8058,0.0000,2016-18
56,0.4983,7.0348,35.8082,0.0000,2016-18
57,0.5825,7.0356,35.8115,0.0000,2016-18
58,0.6648,7.0397,35.8162,0.0000,2016-18
59,0.8259,7.0425,35.8253,0.0000,2016-18
60,1.5749,7.0386,35.8600,0.0000,2016-18
61,0.9263,7.0422,35.8316,0.0000,2016-18
62,1.4303,7.0402,35.8543,0.0000,2016-18
63,2.1039,7.0327,35.8777,0.0000,2016-18
64,2.9150,7.0230,35.9008,0.0000,2016-18
65,3.9582,6.9942,35.9169,0.0000,2016-18
66,4.2797,6.9608,35.9076,0.0000,2016-18
67,4.5673,6.9472,35.8997,0.0000,2016-18
68,4.6984,6.9443,35.8957,0.0000,2016-18
69,4.1208,6.9594,35.8786,0.0000,2016-18
70,3.5758,6.9714,35.8667,0.0000,2016-18
71,4.2094,6.9568,35.8784,0.0000,2016-18
72,3.0948,6.9765,35.8590,0.0000,2016-18
73,4.6455,6.9447,35.8858,0.0000,2016-18
74,2.4664,6.9858,35.8501,0.0000,2016-18
75,3.1064,6.9772,35.8626,0.0000,2016-18
76,3.3338,6.9739,35.8663,0.0000,2016-18
77,1.9996,6.9943,35.8403,0.0000,2016-18
78,2.9834,6.9759,35.8563,0.0000,2016-18
79,3.8790,6.9620,35.8676,0.0000,2016-18
80,4.8854,6.9388,35.8785,0.0000,2016-18
81,5.8239,6.9260,35.8857,0.0000,2016-18
82,8.8757,6.9231,35.9087,0.0000,2016-18
83,7.0624,6.9053,35.8962,0.0000,2016-18
84,8.1109,6.9027,35.9037,0.0000,2016-18
85,14.3661,6.9522,35.9476,0.0000,2016-18
86,12.1335,6.9294,35.9351,0.0000,2016-18
87,3.4842,7.0180,35.8872,0.0000,2016-18
88,1.3111,7.0232,35.8309,0.0000,2016-18
89,0.9456,7.0239,35.8218,0.0000,2016-18
90,5.2926,7.0043,35.9203,0.0000,2016-18
91,3.6885,7.0163,35.8908,0.0000,2016-18
92,0.7027,7.0242,35.8154,0.0000,2016-18
93,0.4127,7.0248,35.8083,0.0000,2016-18
94,0.3268,7.0250,35.8053,0.0000,2016-18
95,0.1402,7.0250,35.8014,0.0000,2016-18
96,0.7249,7.0242,35.8153,0.0000,2016-18
97,0.5165,7.0248,35.8100,0.0000,2016-18
98,0.1890,7.0254,35.8018,0.0000,2016-18
99,0.3610,7.0292,35.8044,0.0000,2016-18
100,0.3666,7.0278,35.8046,0.0000,2016-18
101,0.4464,7.0328,35.8069,0.0000,2016-18
102,0.5608,7.0373,35.8106,0.0000,2016-18
103,0.6077,7.0386,35.8129,0.0000,2016-18
104,0.5701,7.0374,35.8107,0.0000,2016-18
105,0.7669,7.0415,35.8195,0.0000,2016-18
106,0.8429,7.0436,35.8242,0.0000,2016-18
107,1.6443,7.0383,35.8609,0.0000,2016-18
108,1.0652,7.0433,35.8342,0.0000,2016-18
109,1.2311,7.0430,35.8432,0.0000,2016-18
110,2.5383,7.0286,35.8898,0.0000,2016-18
111,3.8102,7.0025,35.9164,0.0000,2016-18
112,4.3326,6.9653,35.9138,0.0000,2016-18
113,4.9957,6.9323,35.9057,0.0000,2016-18
114,4.9983,6.9306,35.9028,0.0000,2016-18
115,4.8543,6.9373,35.8944,0.0000,2016-18
116,5.2631,6.9280,35.8954,0.0000,2016-18
117,4.7872,6.9365,35.8876,0.0000,2016-18
118,4.6371,6.9370,35.8854,0.0000,2016-18
119,3.8271,6.9607,35.8726,0.0000,2016-18
120,5.1548,6.9329,35.8919,0.0000,2016-18
121,5.3186,6.9180,35.8958,0.0000,2016-18
122,3.9679,6.9567,35.8756,0.0000,2016-18
123,5.4815,6.9272,35.8968,0.0000,2016-18
124,5.5246,6.9227,35.8957,0.0000,2016-18
125,4.6268,6.9537,35.8795,0.0000,2016-18
126,3.9303,6.9656,35.8739,0.0000,2016-18
127,4.1754,6.9580,35.8755,0.0000,2016-18
128,5.1682,6.9267,35.8835,0.0000,2016-18
129,5.6139,6.9162,35.8861,0.0000,2016-18
130,6.6099,6.8969,35.8936,0.0000,2016-18
131,9.5169,6.8968,35.9138,0.0000,2016-18
132,10.9446,6.9051,35.9253,0.0000,2016-18
133,8.0924,6.8890,35.9040,0.0000,2016-18
134,7.5382,6.8796,35.9005,0.0000,2016-18
135,16.6554,6.9553,35.9660,0.0000,2016-18
136,15.2037,6.9333,35.9591,0.0000,2016-18
137,12.7523,6.9086,35.9398,0.0000,2016-18
138,1.4785,7.0229,35.8348,0.0000,2016-18
139,1.3346,7.0233,35.8309,0.0000,2016-18
140,0.8787,7.0242,35.8184,0.0000,2016-18
141,1.6076,7.0232,35.8372,0.0000,2016-18
142,1.4335,7.0233,35.8328,0.0000,2016-18
143,5.4250,6.9989,35.9195,0.0000,2016-18
144,3.8793,7.0126,35.8941,0.0000,2016-18
145,2.3555,7.0202,35.8566,0.0000,2016-18
146,0.5587,7.0250,35.8105,0.0000,2016-18
147,0.4882,7.0256,35.8080,0.0000,2016-18
148,0.3779,7.0254,35.8060,0.0000,2016-18
149,0.5069,7.0275,35.8082,0.0000,2016-18
150,0.7210,7.0251,35.8136,0.0000,2016-18
151,0.5024,7.0323,35.8079,0.0000,2016-18
152,0.6420,7.0317,35.8116,0.0000,2016-18
153,0.6607,7.0374,35.8130,0.0000,2016-18
154,0.7618,7.0410,35.8188,0.0000,2016-18
155,0.8926,7.0407,35.8233,0.0000,2016-18
156,1.0778,7.0423,35.8335,0.0000,2016-18
157,1.6830,7.0389,35.8612,0.0000,2016-18
158,2.1830,7.0335,35.8781,0.0000,2016-18
159,1.3089,7.0416,35.8438,0.0000,2016-18
160,3.3522,7.0175,35.9111,0.0000,2016-18
161,3.6281,7.0088,35.9155,0.0000,2016-18
162,4.2671,6.9863,35.9213,0.0000,2016-18
163,4.4538,6.9657,35.9161,0.0000,2016-18
164,4.9731,6.9373,35.9096,0.0000,2016-18
165,5.4448,6.9188,35.9051,0.0000,2016-18
166,5.4022,6.9240,35.9061,0.0000,2016-18
167,5.6231,6.9176,35.9033,0.0000,2016-18
168,5.1224,6.9195,35.8915,0.0000,2016-18
169,4.4990,6.9421,35.8808,0.0000,2016-18
