Cell,Age,Oxy,Sal,Hypoxia,Period
19337,57.4676,7.7608,24.2238,0.0000,2016-18
19338,57.4551,7.8207,24.2258,0.0000,2016-18
19339,57.4112,7.8686,24.1827,0.0000,2016-18
19646,57.5790,7.6404,24.3660,0.0000,2016-18
19647,57.5404,7.7193,24.3340,0.0000,2016-18
19648,57.4950,7.7941,24.2861,0.0000,2016-18
19922,57.6937,7.5450,24.5084,0.0000,2016-18
19923,57.6400,7.6356,24.4557,0.0000,2016-18
19924,57.5939,7.7257,24.4051,0.0000,2016-18
20181,57.8323,7.4539,24.6749,0.0000,2016-18
20182,57.7807,7.5457,24.6216,0.0000,2016-18
20183,57.7343,7.6394,24.5695,0.0000,2016-18
20420,57.9770,7.3716,24.8435,0.0000,2016-18
20421,57.9411,7.4647,24.8058,0.0000,2016-18
20422,57.8927,7.5601,24.7508,0.0000,2016-18
20434,106.5680,7.9845,23.1395,0.0000,2016-18
20649,58.1133,7.2998,24.9971,0.0000,2016-18
20650,58.0887,7.4091,24.9691,0.0000,2016-18
20651,58.0328,7.4814,24.9043,0.0000,2016-18
20663,106.3941,7.9854,23.1107,0.0000,2016-18
20681,101.7318,8.6045,21.9768,0.0000,2016-18
20843,53.2026,7.3698,21.4536,0.0000,2016-18
20844,53.8924,6.8170,22.3152,3.5714,2016-18
20845,52.3492,5.7725,21.8358,3.5714,2016-18
20853,58.1522,7.2740,25.0204,0.0000,2016-18
20854,58.0753,7.3938,24.9184,0.0000,2016-18
20855,58.0175,7.4300,24.8671,0.0000,2016-18
20867,106.0454,8.0973,23.0424,0.0000,2016-18
20881,102.6930,9.0999,22.1385,0.0000,2016-18
20882,101.4088,8.2824,21.9067,0.0000,2016-18
21022,52.6397,7.0087,21.1095,0.0000,2016-18
21023,53.3008,6.2848,22.0039,1.7857,2016-18
21024,50.0561,4.7476,21.1848,5.3571,2016-18
21029,57.8221,7.2779,24.6430,0.0000,2016-18
21030,57.6445,7.4073,24.4171,0.0000,2016-18
21031,57.6236,7.4386,24.4101,0.0000,2016-18
21044,105.7263,8.1801,22.9743,0.0000,2016-18
21052,102.6745,9.0656,22.1430,0.0000,2016-18
21053,101.0056,8.0724,21.8203,0.0000,2016-18
21169,52.2369,6.5952,20.9353,1.7857,2016-18
21170,52.5449,5.6648,21.6989,0.0000,2016-18
21171,48.1717,4.1395,20.6203,8.9286,2016-18
21177,57.1149,7.3087,23.8569,0.0000,2016-18
21178,57.1248,7.4054,23.8378,0.0000,2016-18
21179,57.0993,7.4487,23.8228,0.0000,2016-18
21185,105.3873,8.1402,22.9004,0.0000,2016-18
21191,102.5939,9.0243,22.1353,0.0000,2016-18
21192,100.4400,7.9517,21.6994,0.0000,2016-18
21294,51.9449,6.1897,20.8289,1.7857,2016-18
21295,51.7806,5.1915,21.3230,0.0000,2016-18
21296,46.4674,3.9660,19.9173,12.5000,2016-18
21302,56.7683,7.3216,23.4807,0.0000,2016-18
21303,56.3611,7.2697,23.0476,0.0000,2016-18
21304,56.7757,7.3794,23.4872,0.0000,2016-18
21305,56.7027,7.3838,23.4600,0.0000,2016-18
21306,52.1706,6.3234,19.9360,0.0000,2016-18
21311,104.8571,8.1260,22.7817,0.0000,2016-18
21312,102.3940,8.9608,22.1060,0.0000,2016-18
21313,99.8827,7.9616,21.5804,0.0000,2016-18
21410,51.0567,5.9724,19.8367,1.7857,2016-18
21411,51.1756,4.9156,20.8660,0.0000,2016-18
21412,44.7474,4.3196,18.8351,14.2857,2016-18
21418,56.6110,7.2719,23.3429,0.0000,2016-18
21419,56.5864,7.1861,23.3095,0.0000,2016-18
21420,56.4437,7.3119,23.1989,0.0000,2016-18
21421,56.1671,7.2073,22.8409,0.0000,2016-18
21422,56.4915,7.1194,23.2076,0.0000,2016-18
21423,56.1728,7.2916,23.0038,0.0000,2016-18
21424,52.6176,6.4440,20.2744,0.0000,2016-18
21425,49.8488,5.4949,18.4327,0.0000,2016-18
21426,50.7403,5.7960,19.0299,0.0000,2016-18
21429,103.7253,8.2992,22.5188,0.0000,2016-18
21430,101.9272,8.8571,22.0249,0.0000,2016-18
21431,99.2217,7.9832,21.4390,0.0000,2016-18
21518,50.3340,5.8590,18.9807,1.7857,2016-18
21519,50.4332,4.8318,19.9941,0.0000,2016-18
21520,43.9436,4.7278,18.0069,16.0714,2016-18
21525,56.5300,7.1698,23.3125,0.0000,2016-18
21526,56.5348,7.0684,23.3389,0.0000,2016-18
21527,56.4197,7.2050,23.2172,0.0000,2016-18
21528,56.4803,6.9930,23.3004,0.0000,2016-18
21529,56.1781,7.2029,23.0414,0.0000,2016-18
21530,56.1315,7.1242,22.8097,0.0000,2016-18
21531,56.3225,7.0822,23.0417,0.0000,2016-18
21532,56.3808,6.9693,23.1863,0.0000,2016-18
21533,53.7034,6.5358,21.2209,0.0000,2016-18
21534,51.4110,5.9205,19.5679,0.0000,2016-18
21535,49.7227,5.4130,18.3777,1.7857,2016-18
21536,50.3901,5.6816,18.7694,1.7857,2016-18
21538,101.2213,8.7345,21.8926,0.0000,2016-18
21539,99.9347,8.6959,21.6187,0.0000,2016-18
21540,98.4194,7.9037,21.2671,0.0000,2016-18
21607,50.1289,5.6112,18.8333,1.7857,2016-18
21608,49.4115,5.1492,18.4155,0.0000,2016-18
21609,43.3637,5.0796,17.2353,17.8571,2016-18
21614,56.0778,7.0810,22.7608,0.0000,2016-18
21615,56.3127,6.9104,23.1517,0.0000,2016-18
21616,49.8262,5.3929,18.5116,1.7857,2016-18
21617,49.4786,5.6516,17.7280,1.7857,2016-18
21619,97.9968,8.6490,21.2010,0.0000,2016-18
21620,97.3423,7.8290,21.0362,0.0000,2016-18
21657,50.0372,5.4825,18.7531,1.7857,2016-18
21658,48.7663,5.4365,17.2629,0.0000,2016-18
21659,42.9375,5.4454,16.6763,17.8571,2016-18
