Name,X,Y
HN_Confluence,298962.5410,6280174.8380
DS_47_KM,299589.1650,6279963.5850
DS_46_KM,299319.1390,6279133.4560
DS_45_KM,298487.0710,6279247.2300
DS_44_KM,298155.9980,6278596.0040
DS_43_KM,298035.5510,6277631.0640
DS_42_KM,297995.9110,6276636.2980
DS_41_KM,298178.8360,6275668.6700
DS_40_KM,298470.9140,6274893.4890
DS_39_KM,298584.0770,6274246.3080
DS_38_KM,298239.0350,6273450.2090
DS_37_KM,297495.1820,6272874.1670
DS_36_KM,297379.6410,6271978.0810
RichmondRd,297554.5720,6271478.8650
DS_34_KM,296651.9290,6271468.5980
DS_33_KM,296066.7390,6271721.1730
DS_32_KM,295681.0130,6270839.5540
DS_31_KM,295292.7940,6270211.4550
DS_30_KM,294752.7700,6269709.3520
DS_29_KM,294220.4190,6269088.5250
DS_28_KM,293805.1470,6268471.6510
DS_27_KM,293154.8260,6268258.5390
DS_26_KM,293161.4540,6267473.6180
DunhevedCk,292801.1020,6266669.5740
DS_24_KM,292746.1510,6265783.4450
DS_23_KM,292663.3780,6265054.9420
DS_22_KM,292376.6300,6264251.5040
DS_21_KM,291800.5710,6264165.5580
DS_20_KM,292465.5000,6263921.8060
DS_19_KM,292705.2550,6263495.6960
DS_18_KM,293010.1260,6262615.4910
DS_17_KM,293025.0050,6261908.2120
DS_16_KM,293041.5430,6261302.1430
DS_15_KM,292511.1700,6260682.8600
DS_14_KM,293003.6440,6260050.2480
DS_13_KM,292840.7310,6259397.8840
BlaxlandCk,292537.1950,6258711.6030
DS_11_KM,292996.6960,6258060.9290
DS_10_KM,292970.0340,6257218.5890
DS_9_KM,293608.6090,6256788.4270
DS_8_KM,293074.5440,6256344.4170
DS_7_KM,293237.0670,6255419.6310
DS_6_KM,292835.4870,6254660.7470
KempsCk,293291.0100,6254130.3340
DS_4_KM,293520.3990,6253386.3680
BadgerysCk,293458.3660,6252568.8180
DS_2_KM,293022.5220,6251927.1520
DS_1_KM,293589.4950,6251645.7130
AWRC_0_KM,293715.9970,6251095.2820
US_1_KM,293712.7650,6250356.3070
US_2_KM,294265.4180,6249853.9680
US_3_KM,294009.1810,6249638.5350
US_4_KM,293548.3810,6249109.3650
US_5_KM,293489.2510,6248542.0290
ADD1,292761.2270,6245688.9190
ADD2,292816.4420,6245786.8720
ADD3,293186.8840,6245925.3780
ADD4,293291.2320,6246189.1330
ADD5,293453.9150,6248969.0880
ADD6,293542.3530,6249099.3270
Downstream_AWRC_1km,293363.8200,6251852.1390
Downstream_AWRC_250m,293552.2240,6251123.8770
DS_BadgerysCreek,293230.5830,6252247.2860
DS_BlaxlandCreek,292657.2260,6258815.8140
DS_DunhevedCreek,292754.8790,6266163.4940
DS_KempsCreek,293521.6210,6253388.3500
Gauge212048,292692.9110,6261114.1840
Gauge212296,300976.8540,6270922.6150
Gauge212297_RichmondRd,297193.1120,6271442.1420
Gauge2122971,293219.8050,6255650.6910
Gauge212320,293625.1160,6249194.7530
HN_confluence,299037.5270,6280059.4730
Upstream_AWRC,293811.4790,6250930.8920
