Name,X,Y
CAT_00_KM,304130.5905,6284416.5584
SPC_00_KM,308160.7464,6273111.0632
CAD_00_KM,308393.2215,6273639.2015
CAT_01_KM,304660.4022,6285129.2881
CAT_10_KM,309032.5951,6282000.0239
CAT_11_KM,308244.7326,6281619.7329
CAT_12_KM,308347.5701,6280706.5030
CAT_13_KM,307981.6440,6279987.3378
CAT_14_KM,308528.1477,6279456.2528
CAT_15_KM,308038.4466,6278804.6564
CAT_16_KM,308502.3661,6278194.1172
CAT_17_KM,308319.5148,6277354.6658
CAT_18_KM,307888.1152,6277118.7291
CAT_19_KM,307585.5253,6276762.6559
CAT_02_KM,305554.4030,6285188.6009
CAT_20_KM,307652.7020,6276016.3241
CAT_21_KM,308074.9051,6275671.7098
CAT_22_KM,308752.8416,6275366.2289
CAT_23_KM,308369.5939,6274691.7522
CAT_24_KM,307837.3624,6274459.4828
CAT_25_KM,308088.6405,6273800.3233
CAT_26_KM,308766.4533,6273415.8365
CAT_27_KM,309390.9065,6272761.3893
CAT_28_KM,309891.5893,6272095.3782
CAT_29_KM,310696.3678,6271686.3035
CAT_03_KM,306382.0685,6285174.4405
CAT_30_KM,311242.4628,6271092.0979
CAT_31_KM,311576.1313,6270265.7448
CAT_32_KM,312248.6472,6269613.6465
CAT_33_KM,312969.0071,6269227.3109
CAT_34_KM,313151.9000,6268418.5847
CAT_04_KM,307006.3626,6284724.2395
CAT_05_KM,307685.2908,6284725.4001
CAT_06_KM,308164.8702,6284483.6384
CAT_07_KM,308629.5593,6283773.2464
CAT_08_KM,308405.0844,6283338.8483
CAT_09_KM,308903.8729,6282712.8402
CAT_095_KM,309005.6602,6282422.0842
CAT_125_KM,308017.5988,6280449.6318
SPC_0055_KM,307726.2852,6273008.8849
SPC_003_KM,307901.6417,6273141.1476
SPC_008_KM,307515.1528,6273103.4744
CAT_342_KM,313055.8367,6268261.9124
CAT_3395_KM,313155.5419,6268464.3719
CAT_335_KM,313175.6151,6268630.9029
CAT_345_KM,313127.6428,6268033.5866
CAD_003_KM,308299.5137,6273343.8780
SPC_0075_KM,307561.9869,6273092.2266
SPC_0083_KM,307487.8920,6273090.9418
