Cell,Age,Oxy,Sal,Hypoxia,Period
19923,57.7358,6.0283,28.8707,0.0000,2016-18
19924,57.7392,6.0694,28.8723,0.0000,2016-18
20181,57.7134,5.8709,28.8705,0.0000,2016-18
20182,57.7301,5.9623,28.8740,0.0000,2016-18
20183,57.7318,6.0237,28.8744,0.0000,2016-18
20420,57.7066,5.8324,28.8721,0.0000,2016-18
20421,57.7217,5.9102,28.8756,0.0000,2016-18
20422,57.7243,5.9601,28.8757,0.0000,2016-18
20434,105.1565,5.5511,25.4990,0.0000,2016-18
20649,57.6974,5.8450,28.8709,0.0000,2016-18
20650,57.7125,5.8994,28.8756,0.0000,2016-18
20651,57.7167,5.9048,28.8762,0.0000,2016-18
20663,105.6138,5.4707,25.6142,1.7857,2016-18
20681,104.1922,4.6303,25.3170,8.9286,2016-18
20843,56.8409,6.4010,28.2396,0.0000,2016-18
20844,57.0812,6.2683,28.4217,0.0000,2016-18
20845,57.2241,6.2439,28.5461,0.0000,2016-18
20853,57.6665,5.8613,28.8435,0.0000,2016-18
20854,57.7038,5.9000,28.8744,0.0000,2016-18
20855,57.7093,5.8601,28.8759,0.0000,2016-18
20867,105.6336,5.3823,25.6225,0.0000,2016-18
20881,105.5974,5.5655,25.4456,0.0000,2016-18
20882,103.9970,4.3808,25.2706,8.9286,2016-18
21022,56.9700,6.3221,28.3426,0.0000,2016-18
21023,57.1290,6.1715,28.4715,0.0000,2016-18
21024,57.5748,5.9988,28.8003,0.0000,2016-18
21029,57.6608,5.8228,28.8436,0.0000,2016-18
21030,57.6935,5.8657,28.8723,0.0000,2016-18
21031,57.6998,5.8213,28.8744,0.0000,2016-18
21044,105.4847,5.2728,25.5861,0.0000,2016-18
21052,105.6123,5.5505,25.4535,0.0000,2016-18
21053,103.8470,4.1308,25.2346,8.9286,2016-18
21169,56.6581,6.2593,28.1779,0.0000,2016-18
21170,57.1505,6.0811,28.5082,0.0000,2016-18
21171,57.6451,5.6309,28.8688,0.0000,2016-18
21177,57.6421,5.7655,28.8449,0.0000,2016-18
21178,57.6537,5.8037,28.8598,0.0000,2016-18
21179,57.6420,5.7745,28.8546,0.0000,2016-18
21185,105.2412,5.1374,25.5148,0.0000,2016-18
21191,105.6101,5.5304,25.4583,0.0000,2016-18
21192,103.6619,3.9233,25.1897,8.9286,2016-18
21294,56.1924,6.2069,27.9386,0.0000,2016-18
21295,57.1769,5.9805,28.5802,0.0000,2016-18
21296,57.6278,5.5490,28.8622,0.0000,2016-18
21302,57.3854,5.7039,28.7618,0.0000,2016-18
21303,57.3160,5.5872,28.7495,0.0000,2016-18
21304,57.2293,5.7314,28.7020,0.0000,2016-18
21305,56.8027,5.7197,28.5305,0.0000,2016-18
21306,54.9942,5.6124,27.8007,0.0000,2016-18
21311,105.0971,5.0824,25.4588,0.0000,2016-18
21312,105.5760,5.4992,25.4582,0.0000,2016-18
21313,103.4380,3.7585,25.1345,8.9286,2016-18
21410,55.7358,6.1596,27.7114,0.0000,2016-18
21411,56.4385,5.9757,28.2104,0.0000,2016-18
21412,57.6115,5.5778,28.8408,1.7857,2016-18
21418,56.6976,5.6343,28.5339,0.0000,2016-18
21419,56.7015,5.5106,28.5597,0.0000,2016-18
21420,56.3827,5.6717,28.4083,0.0000,2016-18
21421,57.1620,5.4424,28.7080,0.0000,2016-18
21422,56.5889,5.3703,28.5374,0.0000,2016-18
21423,55.8357,5.6727,28.1894,0.0000,2016-18
21424,54.8706,5.5900,27.8277,0.0000,2016-18
21425,55.1639,5.5969,27.8956,0.0000,2016-18
21426,54.8617,5.6115,27.7993,0.0000,2016-18
21429,105.0539,5.1171,25.4263,0.0000,2016-18
21430,105.4551,5.4292,25.4421,0.0000,2016-18
21431,103.2207,3.6594,25.0799,8.9286,2016-18
21518,55.7641,6.0821,27.8254,0.0000,2016-18
21519,55.9239,5.9588,28.0289,0.0000,2016-18
21520,57.5957,5.6654,28.7865,1.7857,2016-18
21525,55.8355,5.5668,28.2620,0.0000,2016-18
21526,55.9337,5.4782,28.3219,0.0000,2016-18
21527,55.5436,5.5951,28.1441,0.0000,2016-18
21528,55.9987,5.3745,28.3596,0.0000,2016-18
21529,55.1289,5.6038,27.9822,0.0000,2016-18
21530,56.9130,5.2898,28.6351,0.0000,2016-18
21531,56.5889,5.2974,28.5400,0.0000,2016-18
21532,56.0885,5.2866,28.3941,0.0000,2016-18
21533,54.5268,5.5944,27.7607,0.0000,2016-18
21534,54.5222,5.6103,27.7651,0.0000,2016-18
21535,55.8516,5.5028,28.3038,0.0000,2016-18
21536,55.2417,5.4965,28.1671,0.0000,2016-18
21538,105.1890,5.3153,25.3973,0.0000,2016-18
21539,104.8800,5.2207,25.3361,0.0000,2016-18
21540,103.0243,3.5963,25.0292,8.9286,2016-18
21607,55.7335,6.0062,27.9257,0.0000,2016-18
21608,55.4681,5.9517,27.8983,0.0000,2016-18
21609,57.5708,5.7108,28.6273,3.5714,2016-18
21614,56.7892,5.1788,28.5966,0.0000,2016-18
21615,56.1032,5.2144,28.3995,0.0000,2016-18
21616,56.0346,5.6259,28.3476,0.0000,2016-18
21617,54.8828,5.7717,27.9504,0.0000,2016-18
21619,104.5191,5.1260,25.2599,0.0000,2016-18
21620,102.8845,3.5798,24.9918,5.3571,2016-18
21657,55.7524,5.9269,28.0434,0.0000,2016-18
