Cell,Age,Oxy,Sal,Hypoxia,Period
1,11.8756,7.3839,35.2799,0.0000,2016-18
2,2.3263,7.2374,35.4490,0.0000,2016-18
3,0.1031,7.2011,35.4975,0.0000,2016-18
4,0.0735,7.2005,35.4988,0.0000,2016-18
5,0.0688,7.2004,35.4991,0.0000,2016-18
6,0.1211,7.2013,35.4987,0.0000,2016-18
7,0.0330,7.1996,35.4997,0.0000,2016-18
8,0.0864,7.2004,35.4994,0.0000,2016-18
9,0.0450,7.1997,35.4998,0.0000,2016-18
10,0.2156,7.2018,35.5007,0.0000,2016-18
11,0.4274,7.2049,35.5043,0.0000,2016-18
12,0.3220,7.2028,35.5039,0.0000,2016-18
13,0.2219,7.2016,35.5024,0.0000,2016-18
14,0.2734,7.2034,35.5043,0.0000,2016-18
15,0.2734,7.2049,35.5076,0.0000,2016-18
16,0.3286,7.2086,35.5129,0.0000,2016-18
17,0.3264,7.2110,35.5148,0.0000,2016-18
18,0.5171,7.2208,35.5334,0.0000,2016-18
19,0.4542,7.2191,35.5324,0.0000,2016-18
20,0.5175,7.2221,35.5450,0.0000,2016-18
21,0.5986,7.2276,35.5553,0.0000,2016-18
22,0.7582,7.2376,35.5623,0.0000,2016-18
23,0.8568,7.2444,35.5690,0.0000,2016-18
24,0.9626,7.2508,35.5725,0.0000,2016-18
25,1.0354,7.2553,35.5754,0.0000,2016-18
26,1.1789,7.2628,35.5760,0.0000,2016-18
27,1.4198,7.2719,35.5744,0.0000,2016-18
28,1.3747,7.2687,35.5701,0.0000,2016-18
29,2.1258,7.2936,35.5711,0.0000,2016-18
30,1.7618,7.2846,35.5706,0.0000,2016-18
31,2.5330,7.3005,35.5655,0.0000,2016-18
32,2.0777,7.2877,35.5605,0.0000,2016-18
33,2.6159,7.2998,35.5555,0.0000,2016-18
34,3.1046,7.3165,35.5602,0.0000,2016-18
35,2.9771,7.3136,35.5584,0.0000,2016-18
36,2.7343,7.3051,35.5522,0.0000,2016-18
37,3.2749,7.3219,35.5560,0.0000,2016-18
38,3.2169,7.3090,35.5330,0.0000,2016-18
39,4.2979,7.3290,35.5217,0.0000,2016-18
40,6.8046,7.3583,35.4632,0.0000,2016-18
41,7.9876,7.3778,35.4451,0.0000,2016-18
42,8.5169,7.3707,35.4181,0.0000,2016-18
43,10.4910,7.4046,35.3887,0.0000,2016-18
44,12.3466,7.3913,35.2815,0.0000,2016-18
45,2.9797,7.2496,35.4327,0.0000,2016-18
46,2.3265,7.2378,35.4470,0.0000,2016-18
47,16.2184,7.4359,35.1962,0.0000,2016-18
48,1.6291,7.2274,35.4703,0.0000,2016-18
49,0.2800,7.2042,35.4963,0.0000,2016-18
50,0.6765,7.2111,35.4949,0.0000,2016-18
51,0.3931,7.2057,35.4979,0.0000,2016-18
52,0.7917,7.2135,35.4986,0.0000,2016-18
53,2.5160,7.2502,35.5009,0.0000,2016-18
54,1.4582,7.2271,35.5106,0.0000,2016-18
55,1.3313,7.2278,35.5208,0.0000,2016-18
56,1.6053,7.2404,35.5305,0.0000,2016-18
