Cell,Age,Oxy,Sal,Hypoxia,Period
19337,75.8629,4.9442,33.7036,0.0000,2016-18
19338,75.8189,5.1241,33.7161,0.0000,2016-18
19339,75.8202,5.1665,33.7225,0.0000,2016-18
19646,75.8747,4.8348,33.7008,0.0000,2016-18
19647,75.8435,4.9789,33.7128,0.0000,2016-18
19648,75.8341,5.0461,33.7182,0.0000,2016-18
19922,75.8893,4.7319,33.6977,1.7857,2016-18
19923,75.8662,4.8537,33.7098,0.0000,2016-18
19924,75.8400,4.9524,33.7160,0.0000,2016-18
20181,75.9143,4.6008,33.6940,1.7857,2016-18
20182,75.8894,4.7320,33.7066,1.7857,2016-18
20183,75.8577,4.8381,33.7131,1.7857,2016-18
20420,75.9398,4.4811,33.6897,1.7857,2016-18
20421,75.9034,4.6470,33.7035,1.7857,2016-18
20649,75.9372,4.4527,33.6865,1.7857,2016-18
21708,76.8141,5.8650,33.7405,0.0000,2016-18
21709,76.9898,5.5034,33.7468,0.0000,2016-18
21710,77.2823,5.0856,33.7556,0.0000,2016-18
21711,77.5574,4.7581,33.7634,0.0000,2016-18
21714,80.4265,2.8748,33.5924,39.2857,2016-18
21726,76.8355,5.7738,33.7379,0.0000,2016-18
21727,77.0521,5.3902,33.7470,0.0000,2016-18
21728,77.3303,5.0050,33.7566,0.0000,2016-18
21729,77.5520,4.7393,33.7634,0.0000,2016-18
21732,80.4103,2.3490,33.5815,41.0714,2016-18
21744,76.8732,5.6687,33.7365,0.0000,2016-18
21745,77.1046,5.2914,33.7472,0.0000,2016-18
21746,77.3662,4.9366,33.7573,0.0000,2016-18
21747,77.5497,4.7208,33.7634,0.0000,2016-18
21750,80.3942,1.7934,33.5693,35.7143,2016-18
21759,76.8769,5.6129,33.7337,0.0000,2016-18
21760,77.0587,5.3277,33.7426,0.0000,2016-18
21761,77.3291,4.9570,33.7551,0.0000,2016-18
21762,77.5402,4.6969,33.7631,0.0000,2016-18
21765,80.3760,1.1870,33.5525,39.2857,2016-18
21774,76.8844,5.5447,33.7303,0.0000,2016-18
21775,76.9879,5.3890,33.7359,0.0000,2016-18
21776,77.2032,5.0957,33.7473,0.0000,2016-18
21777,77.4439,4.7855,33.7584,0.0000,2016-18
21780,80.3574,0.7887,33.5349,39.2857,2016-18
21789,76.8927,5.4623,33.7274,0.0000,2016-18
21790,76.9456,5.3868,33.7308,0.0000,2016-18
21791,77.0891,5.2099,33.7392,0.0000,2016-18
21792,77.3106,4.9273,33.7508,0.0000,2016-18
21795,80.3146,0.7161,33.5194,39.2857,2016-18
21804,76.9003,5.4018,33.7257,0.0000,2016-18
21805,76.9355,5.3605,33.7281,0.0000,2016-18
21806,77.0321,5.2542,33.7344,0.0000,2016-18
21807,77.2257,5.0157,33.7454,0.0000,2016-18
21810,79.7709,1.5263,33.5497,16.0714,2016-18
21811,77.4934,4.6728,33.7019,0.0000,2016-18
21812,79.5321,2.0453,33.5495,12.5000,2016-18
21821,76.9094,5.3665,33.7243,0.0000,2016-18
21822,76.9356,5.3352,33.7265,0.0000,2016-18
21823,77.0066,5.2636,33.7314,0.0000,2016-18
21824,77.1637,5.0773,33.7411,0.0000,2016-18
21827,79.4025,2.1816,33.5663,1.7857,2016-18
21828,77.7903,4.4094,33.6703,0.0000,2016-18
21829,79.3112,2.5312,33.5591,1.7857,2016-18
21830,77.1525,5.0727,33.7303,0.0000,2016-18
21831,77.2045,5.0578,33.7132,0.0000,2016-18
21832,79.3630,2.4336,33.5504,8.9286,2016-18
21833,79.2095,2.8200,33.5571,0.0000,2016-18
21842,76.9544,5.3194,33.7209,0.0000,2016-18
