Name,Pt,Type,ID
Ocean,PT1,Long,184
DS_182_KM,PT2,Long,182
DS_180_KM,PT3,Long,180
DS_178_KM,PT4,Long,178
DS_176_KM,PT5,Long,176
DS_174_KM,PT6,Long,174
DS_172_KM,PT7,Long,172
DS_170_KM,PT8,Long,170
DS_168_KM,PT9,Long,168
DS_166_KM,PT10,Long,166
DS_164_KM,PT11,Long,164
DS_162_KM,PT12,Long,162
DS_160_KM,PT13,Long,160
DS_158_KM,PT14,Long,158
DS_156_KM,PT15,Long,156
DS_154_KM,PT16,Long,154
DS_152_KM,PT17,Long,152
DS_150_KM,PT18,Long,150
DS_148_KM,PT19,Long,148
DS_146_KM,PT20,Long,146
DS_144_KM,PT21,Long,144
DS_142_KM,PT22,Long,142
DS_140_KM,PT23,Long,140
DS_138_KM,PT24,Long,138
DS_136_KM,PT25,Long,136
DS_134_KM,PT26,Long,134
DS_132_KM,PT27,Long,132
DS_130_KM,PT28,Long,130
DS_128_KM,PT29,Long,128
DS_126_KM,PT30,Long,126
DS_124_KM,PT31,Long,124
WisemansFerry,PT32,Long,122
DS_120_KM,PT33,Long,120
DS_118_KM,PT34,Long,118
DS_116_KM,PT35,Long,116
DS_114_KM,PT36,Long,114
DS_112_KM,PT37,Long,112
DS_110_KM,PT38,Long,110
DS_108_KM,PT39,Long,108
DS_106_KM,PT40,Long,106
DS_104_KM,PT41,Long,104
DS_102_KM,PT42,Long,102
DS_100_KM,PT43,Long,100
DS_98_KM,PT44,Long,98
DS_96_KM,PT45,Long,96
DS_94_KM,PT46,Long,94
DS_92_KM,PT47,Long,92
DS_90_KM,PT48,Long,90
SackvilleBend,PT49,Long,88
DS_86_KM,PT50,Long,86
DS_84_KM,PT51,Long,84
DS_82_KM,PT52,Long,82
DS_80_KM,PT53,Long,80
DS_78_KM,PT54,Long,78
DS_76_KM,PT55,Long,76
DS_74_KM,PT56,Long,74
DS_72_KM,PT57,Long,72
Downstream_CattaiCk,PT58,Long,70
DS_68_KM,PT59,Long,68
DS_66_KM,PT60,Long,66
DS_64_KM,PT61,Long,64
DS_62_KM,PT62,Long,62
Downstream_SouthCk,PT63,Long,60
Upstream_SouthCk,PT64,Long,58
DS_56_KM,PT65,Long,56
DS_54_KM,PT66,Long,54
DS_52_KM,PT67,Long,52
DS_50_KM,PT68,Long,50
DS_48_KM,PT69,Long,48
DS_46_KM,PT70,Long,46
DS_44_KM,PT71,Long,44
DS_42_KM,PT72,Long,42
Downstream_GroseRiver,PT73,Long,40
Upstream_GroseRiver,PT74,Long,38
DS_36_KM,PT75,Long,36
DS_34_KM,PT76,Long,34
DS_32_KM,PT77,Long,32
DS_30_KM,PT78,Long,30
DS_28_KM,PT79,Long,28
DS_26_KM,PT80,Long,26
DS_24_KM,PT81,Long,24
Downstream_PenrithWeir,PT82,Long,22
Upstream_PenrithWeir,PT83,Long,20
DS_18_KM,PT84,Long,18
DS_16_KM,PT85,Long,16
DS_14_KM,PT86,Long,14
DS_12_KM,PT87,Long,12
DS_10_KM,PT88,Long,10
ErskineCreek,PT89,Long,8
DS_6_KM,PT90,Long,6
Downstream_WarragambaRivulet,PT91,Long,4
NortonsBasin,PT92,Long,2
AWRC_Release,PT93,Long,0.3
Upstream_WallaciaWeir,PT94,Long,0
US_2_KM,PT95,Long,-2
US_4_KM,PT96,Long,-4
US_6_KM,PT97,Long,-6
US_8_KM,PT98,Long,-8
US_10_KM,PT99,Long,-10
US_12_KM,PT100,Long,-12
WisemansFerry,PT32,TS,NaN
SackvilleBend,PT49,TS,NaN
Downstream_CattaiCk,PT58,TS,NaN
Downstream_PenrithWeir,PT82,TS,NaN
Upstream_PenrithWeir,PT83,TS,NaN
DS_14_KM,PT86,TS,NaN
Upstream_WallaciaWeir,PT94,TS,NaN
DS_GroseRiver,PT102,TS,NaN
DS_PenrithWeir,PT103,TS,NaN
DS_SouthCk,PT104,TS,NaN
DS_WallaciaWeir,PT105,TS,NaN
DS_WallaciaWeir_500m,PT106,TS,NaN
DS_WarragambaRivulet,PT107,TS,NaN
US_CattaiCk,PT111,TS,NaN
US_GroseRiver,PT112,TS,NaN
US_PenrithWeir,PT113,TS,NaN
US_WallaciaWeir,PT115,TS,NaN
US_WarragambaRivulet,PT116,TS,NaN
Upstream_AWRC_Warragamba,PT118,TS,NaN
Downstrean_AWRC_Warragamba,PT119,TS,NaN
