Name,Pt,Type,ID
Ocean,PT1,Long,1
DS_182_KM,PT2,Long,2
DS_180_KM,PT3,Long,3
DS_178_KM,PT4,Long,4
DS_176_KM,PT5,Long,5
DS_174_KM,PT6,Long,6
DS_172_KM,PT7,Long,7
DS_170_KM,PT8,Long,8
DS_168_KM,PT9,Long,9
DS_166_KM,PT10,Long,10
DS_164_KM,PT11,Long,11
DS_162_KM,PT12,Long,12
DS_160_KM,PT13,Long,13
DS_158_KM,PT14,Long,14
DS_156_KM,PT15,Long,15
DS_154_KM,PT16,Long,16
DS_152_KM,PT17,Long,17
DS_150_KM,PT18,Long,18
DS_148_KM,PT19,Long,19
DS_146_KM,PT20,Long,20
DS_144_KM,PT21,Long,21
DS_142_KM,PT22,Long,22
DS_140_KM,PT23,Long,23
DS_138_KM,PT24,Long,24
DS_136_KM,PT25,Long,25
DS_134_KM,PT26,Long,26
DS_132_KM,PT27,Long,27
DS_130_KM,PT28,Long,28
DS_128_KM,PT29,Long,29
DS_126_KM,PT30,Long,30
DS_124_KM,PT31,Long,31
DS_120_KM,PT32,Long,32
DS_118_KM,PT33,Long,33
DS_116_KM,PT34,Long,34
DS_114_KM,PT35,Long,35
DS_112_KM,PT36,Long,36
DS_110_KM,PT37,Long,37
DS_108_KM,PT38,Long,38
DS_106_KM,PT39,Long,39
DS_104_KM,PT40,Long,40
DS_102_KM,PT41,Long,41
DS_100_KM,PT42,Long,42
DS_98_KM,PT43,Long,43
DS_96_KM,PT44,Long,44
DS_94_KM,PT45,Long,45
DS_92_KM,PT46,Long,46
DS_90_KM,PT47,Long,47
SackvilleBend,PT48,Long,48
DS_86_KM,PT49,Long,49
DS_84_KM,PT50,Long,50
DS_82_KM,PT51,Long,51
DS_80_KM,PT52,Long,52
DS_78_KM,PT53,Long,53
DS_76_KM,PT54,Long,54
DS_74_KM,PT55,Long,55
DS_72_KM,PT56,Long,56
Downstream_CattaiCk,PT57,Long,57
DS_68_KM,PT58,Long,58
DS_66_KM,PT59,Long,59
DS_64_KM,PT60,Long,60
DS_62_KM,PT61,Long,61
Downstream_SouthCk,PT62,Long,62
Upstream_SouthCk,PT63,Long,63
DS_56_KM,PT64,Long,64
DS_54_KM,PT65,Long,65
DS_52_KM,PT66,Long,66
DS_50_KM,PT67,Long,67
DS_48_KM,PT68,Long,68
DS_46_KM,PT69,Long,69
DS_44_KM,PT70,Long,70
DS_42_KM,PT71,Long,71
Downstream_GroseRiver,PT72,Long,72
Upstream_GroseRiver,PT73,Long,73
DS_36_KM,PT74,Long,74
DS_34_KM,PT75,Long,75
DS_32_KM,PT76,Long,76
DS_30_KM,PT77,Long,77
DS_28_KM,PT78,Long,78
DS_26_KM,PT79,Long,79
DS_24_KM,PT80,Long,80
Downstream_PenrithWeir,PT81,Long,81
Upstream_PenrithWeir,PT82,Long,82
DS_18_KM,PT83,Long,83
DS_16_KM,PT84,Long,84
DS_14_KM,PT85,Long,85
DS_12_KM,PT86,Long,86
DS_10_KM,PT87,Long,87
ErskineCreek,PT88,Long,88
DS_6_KM,PT89,Long,89
Downstream_WarragambaRivulet,PT90,Long,90
AWRC_Release,PT91,Long,91
Upstream_WallaciaWeir,PT92,Long,92
US_2_KM,PT93,Long,93
US_4_KM,PT94,Long,94
US_6_KM,PT95,Long,95
US_8_KM,PT96,Long,96
US_10_KM,PT97,Long,97
US_12_KM,PT98,Long,98
DS_GroseRiver,PT99,Long,99
DS_PenrithWeir,PT100,Long,100
DS_SouthCk,PT101,Long,101
DS_WallaciaWeir,PT102,Long,102
DS_WallaciaWeir_500m,PT103,Long,103
DS_WarragambaRivulet,PT104,Long,104
NortonsBasin,PT105,Long,105
US_CattaiCk,PT106,Long,106
US_GroseRiver,PT107,Long,107
US_PenrithWeir,PT108,Long,108
US_WallaciaWeir,PT109,Long,109
US_WarragambaRivulet,PT110,Long,110
WisemansFerry,PT111,Long,111
Upstream_AWRC_Warragamba,PT112,Long,112
Downstrean_AWRC_Warragamba,PT113,Long,113
