Cell,Age,Oxy,Sal,Hypoxia,Period
21750,69.5750,8.7686,26.8697,14.2857,2016-18
21765,69.2666,7.6356,26.7555,12.5000,2016-18
21780,68.8483,6.5047,26.6099,10.7143,2016-18
21789,70.6717,6.6039,28.2387,0.0000,2016-18
21790,70.6676,6.5053,28.2420,0.0000,2016-18
21791,70.6677,6.3597,28.2536,0.0000,2016-18
21792,70.6881,6.1797,28.2707,0.0000,2016-18
21795,68.3922,5.3727,26.5033,10.7143,2016-18
21804,70.6927,6.5034,28.2257,0.0000,2016-18
21805,70.6868,6.4427,28.2304,0.0000,2016-18
21806,70.6838,6.3408,28.2404,0.0000,2016-18
21807,70.6965,6.1777,28.2573,0.0000,2016-18
21810,69.3996,5.4632,27.2758,3.5714,2016-18
21811,70.6836,5.9832,28.1743,0.0000,2016-18
21812,69.4049,5.3114,27.3484,3.5714,2016-18
21821,70.7065,6.4204,28.2148,0.0000,2016-18
21822,70.7005,6.3821,28.2204,0.0000,2016-18
21823,70.6965,6.3082,28.2299,0.0000,2016-18
21824,70.7042,6.1706,28.2461,0.0000,2016-18
21827,70.0135,5.6253,27.7144,1.7857,2016-18
21828,70.6279,5.9883,28.1299,0.0000,2016-18
21829,69.7865,5.4807,27.6081,1.7857,2016-18
21830,70.7220,6.0823,28.2193,0.0000,2016-18
21831,70.7148,6.1277,28.2036,0.0000,2016-18
21832,69.2524,5.2436,27.3313,1.7857,2016-18
21833,69.4743,5.3778,27.4746,1.7857,2016-18
21842,70.7167,6.3409,28.2044,0.0000,2016-18
21843,70.7114,6.3138,28.2109,0.0000,2016-18
21844,70.7078,6.2585,28.2202,0.0000,2016-18
21845,70.7126,6.1521,28.2346,0.0000,2016-18
21848,70.2110,5.7236,27.8490,1.7857,2016-18
21849,70.5600,5.9604,28.0836,0.0000,2016-18
21850,69.9018,5.5562,27.6634,1.7857,2016-18
21851,70.7063,6.1251,28.1889,0.0000,2016-18
21852,69.5532,5.4240,27.5169,1.7857,2016-18
21853,70.7190,6.1191,28.2284,0.0000,2016-18
21854,70.7154,6.2008,28.2142,0.0000,2016-18
21855,70.7176,6.2294,28.2048,0.0000,2016-18
21856,68.9600,5.2151,27.2336,1.7857,2016-18
21857,69.0823,5.3084,27.3144,1.7857,2016-18
21858,69.1405,5.3295,27.3479,1.7857,2016-18
21867,70.7205,6.2390,28.1978,0.0000,2016-18
21868,70.7220,6.1917,28.1876,0.0000,2016-18
21871,70.1650,5.7610,27.8356,1.7857,2016-18
21872,70.4104,5.8960,27.9983,0.0000,2016-18
21873,69.9059,5.6013,27.6682,1.7857,2016-18
21874,70.6984,6.1035,28.1751,0.0000,2016-18
21875,69.5844,5.4433,27.5322,1.7857,2016-18
21876,69.1771,5.3285,27.3655,1.7857,2016-18
21877,68.5018,5.2023,27.0601,1.7857,2016-18
21878,68.5473,5.2744,27.0997,1.7857,2016-18
21879,68.5931,5.2853,27.1266,1.7857,2016-18
21880,68.6236,5.2773,27.1406,1.7857,2016-18
21889,70.6984,6.0691,28.1635,0.0000,2016-18
21890,70.7199,6.1468,28.1758,0.0000,2016-18
21891,70.6873,6.0564,28.1547,0.0000,2016-18
21897,67.6078,5.2762,26.7124,0.0000,2016-18
21906,70.6317,6.0329,28.1253,0.0000,2016-18
21907,70.7116,6.1111,28.1626,0.0000,2016-18
21922,70.5969,6.0003,28.0969,0.0000,2016-18
21923,70.7008,6.0724,28.1440,0.0000,2016-18
21936,70.5621,5.9750,28.0685,0.0000,2016-18
21937,70.6827,6.0414,28.1227,0.0000,2016-18
21950,70.5119,5.9591,28.0341,0.0000,2016-18
21951,70.6200,6.0214,28.0846,0.0000,2016-18
21965,70.4312,5.9536,27.9903,0.0000,2016-18
21966,70.3887,6.0203,27.9864,0.0000,2016-18
21982,70.3161,5.9599,27.9372,0.0000,2016-18
21983,70.1695,6.0274,27.8930,0.0000,2016-18
21998,70.1467,5.9717,27.8637,0.0000,2016-18
21999,69.9272,6.0354,27.7901,0.0000,2016-18
22013,69.9492,5.9839,27.7786,0.0000,2016-18
22014,69.7360,6.0415,27.7045,0.0000,2016-18
22016,47.7580,6.0060,19.4737,1.7857,2016-18
22017,49.4947,5.9943,20.1080,0.0000,2016-18
22018,51.3095,5.9697,20.7657,0.0000,2016-18
22019,52.6648,5.9493,21.2562,0.0000,2016-18
22028,69.7330,5.9955,27.6858,0.0000,2016-18
22029,69.5368,6.0481,27.6153,0.0000,2016-18
22031,47.6307,5.9923,19.3861,1.7857,2016-18
22032,49.0289,6.0010,19.9131,0.0000,2016-18
22033,50.4976,6.0066,20.4584,0.0000,2016-18
22034,51.8509,5.9966,20.9548,0.0000,2016-18
22043,69.4863,6.0069,27.5808,0.0000,2016-18
22044,69.3281,6.0520,27.5236,0.0000,2016-18
22046,49.8702,5.3762,19.6771,0.0000,2016-18
22047,49.0346,5.7321,19.6786,0.0000,2016-18
22048,52.2106,4.9420,20.1105,1.7857,2016-18
22049,49.6518,5.9454,20.0752,0.0000,2016-18
22050,51.0135,6.0197,20.6348,0.0000,2016-18
22057,69.2120,6.0177,27.4647,0.0000,2016-18
22058,69.0848,6.0573,27.4185,0.0000,2016-18
22060,50.5946,5.0656,19.7128,0.0000,2016-18
22061,49.3336,5.4224,19.5512,0.0000,2016-18
22062,51.8145,4.8861,19.9794,0.0000,2016-18
22063,49.0870,5.8007,19.7466,0.0000,2016-18
22064,53.0174,5.0463,20.3862,0.0000,2016-18
22065,52.6404,4.9776,20.2628,0.0000,2016-18
22066,49.9751,6.0154,20.2213,0.0000,2016-18
22071,68.9431,6.0256,27.3514,0.0000,2016-18
22072,68.8345,6.0647,27.3117,0.0000,2016-18
22074,49.5714,5.0930,19.4107,0.0000,2016-18
22075,48.6522,5.4789,19.3548,0.0000,2016-18
22076,48.5795,5.8296,19.5694,0.0000,2016-18
22077,49.1382,6.0284,19.8993,0.0000,2016-18
22078,54.5755,5.1175,20.9129,0.0000,2016-18
22079,53.2472,5.0840,20.4803,0.0000,2016-18
22084,68.7068,6.0297,27.2526,0.0000,2016-18
22085,68.5607,6.0729,27.1989,0.0000,2016-18
22087,48.4842,5.1370,19.0845,0.0000,2016-18
22088,47.8463,5.5112,19.0931,0.0000,2016-18
22089,47.7950,5.8429,19.2782,0.0000,2016-18
22090,48.1958,6.0411,19.5359,0.0000,2016-18
22097,67.9563,6.0522,26.9706,0.0000,2016-18
22098,66.8956,6.1290,26.5901,0.0000,2016-18
22100,46.2685,5.2476,18.4050,0.0000,2016-18
22101,45.7721,5.5647,18.3978,0.0000,2016-18
22102,45.0548,5.9098,18.3049,0.0000,2016-18
22103,44.7192,6.1313,18.2813,0.0000,2016-18
22110,66.8644,6.0861,26.5648,0.0000,2016-18
22111,65.7505,6.1631,26.1667,0.0000,2016-18
22113,45.4270,5.6658,18.3245,0.0000,2016-18
22114,45.6557,5.8366,18.4909,0.0000,2016-18
22115,45.7037,6.0281,18.5959,0.0000,2016-18
22116,45.7652,6.1806,18.6849,0.0000,2016-18
22123,64.1650,6.1790,25.5864,0.0000,2016-18
22124,63.1230,6.2499,25.2153,0.0000,2016-18
22126,49.1588,6.1288,19.8905,0.0000,2016-18
22127,50.3798,6.1672,20.3641,0.0000,2016-18
22128,51.9361,6.2188,20.9647,0.0000,2016-18
22129,54.6939,6.2914,22.0343,0.0000,2016-18
22130,59.6016,6.2998,23.8614,0.0000,2016-18
22137,61.7138,6.2621,24.6988,0.0000,2016-18
22138,59.9528,6.3559,24.0722,0.0000,2016-18
22141,49.7765,6.2142,20.1459,0.0000,2016-18
22142,51.0874,6.2355,20.6412,0.0000,2016-18
22143,52.5247,6.3237,21.2173,0.0000,2016-18
22144,54.6941,6.3960,22.0649,0.0000,2016-18
22145,57.3000,6.4075,23.0461,0.0000,2016-18
22146,61.7223,6.2272,24.6313,0.0000,2016-18
22147,60.2122,6.3066,24.0937,0.0000,2016-18
22154,60.5219,6.3002,24.2617,0.0000,2016-18
22155,56.7754,6.4642,22.9287,0.0000,2016-18
22158,49.4723,6.2692,20.0484,0.0000,2016-18
22159,50.5312,6.3041,20.4561,0.0000,2016-18
22160,51.2032,6.3625,20.7335,0.0000,2016-18
22161,52.3777,6.4482,21.2179,0.0000,2016-18
22162,62.8472,6.1930,25.0468,0.0000,2016-18
22163,61.5559,6.2442,24.5763,0.0000,2016-18
22168,64.1008,6.1534,25.5047,0.0000,2016-18
22169,62.7281,6.2015,25.0020,0.0000,2016-18
22172,48.8182,6.3276,19.8200,0.0000,2016-18
22173,49.6163,6.3620,20.1304,0.0000,2016-18
22174,50.0022,6.4032,20.2942,0.0000,2016-18
22175,50.8143,6.4796,20.6403,0.0000,2016-18
22180,47.9991,6.3908,19.5306,0.0000,2016-18
22181,48.6182,6.4220,19.7730,0.0000,2016-18
22182,49.0027,6.4533,19.9323,0.0000,2016-18
22183,49.6245,6.5098,20.1975,0.0000,2016-18
22188,46.8587,6.4714,19.1388,0.0000,2016-18
22189,47.5530,6.4870,19.3919,0.0000,2016-18
22190,48.0653,6.5073,19.5950,0.0000,2016-18
22191,48.5144,6.5460,19.7857,0.0000,2016-18
22196,45.9391,6.5298,18.8088,0.0000,2016-18
22197,46.2003,6.5602,18.9212,0.0000,2016-18
22198,47.0525,6.5605,19.2289,0.0000,2016-18
22199,47.3367,6.5878,19.3503,0.0000,2016-18
22204,45.0586,6.5715,18.4886,0.0000,2016-18
22205,45.2500,6.6079,18.5651,0.0000,2016-18
22206,46.0032,6.6106,18.8482,0.0000,2016-18
22207,46.2286,6.6308,18.9426,0.0000,2016-18
22211,44.2301,6.6083,18.1847,0.0000,2016-18
22212,44.3349,6.6438,18.2309,0.0000,2016-18
22213,44.9568,6.6544,18.4672,0.0000,2016-18
22214,45.1504,6.6734,18.5483,0.0000,2016-18
22218,43.5013,6.6384,17.9179,0.0000,2016-18
22219,43.5278,6.6689,17.9349,0.0000,2016-18
22220,43.9350,6.6890,18.0936,0.0000,2016-18
22221,44.0926,6.7093,18.1607,0.0000,2016-18
22223,27.4246,5.9413,11.8820,0.0000,2016-18
22225,42.7457,6.6722,17.6405,0.0000,2016-18
22226,42.7275,6.7014,17.6434,0.0000,2016-18
22227,43.0069,6.7257,17.7565,0.0000,2016-18
22228,43.1815,6.7426,17.8291,0.0000,2016-18
22230,26.5688,6.0403,11.6037,0.0000,2016-18
22232,41.7573,6.7162,17.2837,0.0000,2016-18
22233,41.8021,6.7447,17.3115,0.0000,2016-18
22234,41.8580,6.7640,17.3364,0.0000,2016-18
22235,42.0421,6.7761,17.4144,0.0000,2016-18
22237,27.5073,6.4935,12.0950,0.0000,2016-18
22239,40.8566,6.7652,16.9649,0.0000,2016-18
22240,40.6482,6.7947,16.8997,0.0000,2016-18
22241,40.3287,6.8130,16.7882,0.0000,2016-18
22242,40.1847,6.8211,16.7412,0.0000,2016-18
22243,38.3820,6.8745,16.0985,0.0000,2016-18
22245,33.2307,6.7882,14.2221,0.0000,2016-18
22247,39.8348,6.8174,16.6044,0.0000,2016-18
22248,39.4295,6.8473,16.4668,0.0000,2016-18
22249,39.1324,6.8627,16.3636,0.0000,2016-18
22250,38.7583,6.8748,16.2329,0.0000,2016-18
22251,35.8974,6.8613,15.1962,0.0000,2016-18
22254,38.3611,6.8811,16.0853,0.0000,2016-18
