Sampling Date,Num of Timesteps,Min Temp (Bottom),Mean Temp (Bottom),Max Temp (Bottom),Min Temp (Surface),Mean Temp (Surface),Max Temp (Surface),Min Salinity (Bottom),Mean Salinity (Bottom),Max Salinity (Bottom),Min Salinity (Surface),Mean Salinity (Surface),Max Salinity (surface),Min Oxygen (Bottom),Mean Oxygen (Bottom),Max Oxygen (Bottom),Min Oxygen (Surface),Mean Oxygen (Surface),Max Oxygen (surface),Oxygen Timesteps below 4 (Bottom),Oxygen Timesteps below 4 (Surface),Min Retention (Bottom),Mean Retention (Bottom),Max Retention (Bottom),Min Retention (Surface),Mean Retention (Surface),Max Retention (surface),Min NH4 (Bottom),Mean NH4 (Bottom),Max NH4 (Bottom),Min NH4 (Surface),Mean NH4 (Surface),Max NH4 (surface)
20161024,372,13.2054,16.8029,20.1748,12.3551,17.4002,23.6028,30.8597,32.5665,34.5967,26.5208,30.6876,33.5008,6.1140,7.3939,8.2647,7.1223,7.8951,8.6219, , ,32.9803,49.6689,59.7298,42.4805,54.8888,62.7949,0.0035,0.0048,0.0060,0.0041,0.0052,0.0079,
20170213,372,21.4706,26.8872,31.4241,21.7417,28.0086,33.4635,38.4165,39.2994,39.8030,24.8892,38.9994,39.6749,3.7056,6.2400,7.4905,5.8263,6.6402,7.2746,5, ,37.1109,46.0704,50.8767,34.6959,44.5158,53.2856,0.0013,0.0024,0.0048,0.0011,0.0021,0.0300,
20160510,372,15.0152,18.5716,22.1764,15.1208,19.1794,24.3854,38.7149,39.4000,41.1160,37.7793,38.9521,40.2263,5.4496,6.5649,7.4770,6.3586,7.0454,7.5294, , ,51.3807,60.9828,75.2529,37.7265,57.6041,69.1795,0.0016,0.0029,0.0045,0.0016,0.0025,0.0038,
20160713,372,11.1121,12.8473,14.1393,8.1554,12.6285,15.9572,35.5287,36.9971,39.4056,32.8100,35.6019,37.1800,5.5053,6.6873,7.8787,6.9218,7.6443,8.2417, , ,52.2216,64.1199,92.1313,47.5984,58.8007,64.8366,0.0038,0.0054,0.0088,0.0034,0.0051,0.0069,
20170410,372,19.2327,22.4744,25.1405,19.2357,23.3432,28.4390,34.2478,36.0279,37.2939,32.8624,35.5682,36.9622,5.0708,6.5749,7.9165,6.3840,7.0720,7.6540, , ,32.5565,45.3477,59.6758,37.9416,47.7933,60.4247,0.0035,0.0047,0.0067,0.0033,0.0051,0.0090,
20170904,
20180131,
20170629,372,12.0880,13.4855,15.3209,11.6784,13.6795,16.7915,35.9356,36.6980,38.0370,28.0120,35.8146,36.6898,5.3508,6.8491,7.7044,6.7624,7.4320,8.2701, , ,48.1178,63.8087,86.3471,47.3676,62.1738,76.0551,0.0034,0.0044,0.0059,0.0035,0.0049,0.0135,
