Name,NSnum
Upstream_AWRC,47
Downstream_AWRC_250m,48
Downstream_AWRC_1km,50
Gauge2122971,34
Gauge212048,24
Gauge212297_RichmondRd,25
Gauge212296,26
DS_BadgerysCk,51
DS_KempsCk,52
DS_BlaxlandCk,43
DS_DunhevedCk,30
HN_Confluence,23
