"","grid.cell","pred_FCI","FCI.se","grade"
"1",1,60.6042010747769,1.80832369560709,"B"
"2",2,60.6072268971083,1.80851234007564,"B"
"3",3,60.6100323130529,1.80868813191317,"B"
"4",4,60.6187602511078,1.80924050813663,"B"
"5",5,60.6222463444535,1.809463451531,"B"
"6",6,60.6216681961708,1.80942638625144,"B"
"7",7,60.6220971357752,1.80945388223242,"B"
"8",8,60.6193751920778,1.80927973897697,"B"
"9",9,60.6190211219658,1.80925714566031,"B"
"10",10,60.6163760474785,1.80908879395155,"B"
"11",11,60.6148867454969,1.80899433867517,"B"
"12",12,60.6168602073182,1.80911955251962,"B"
"13",13,60.616822961873,1.80911718541988,"B"
"14",14,60.6150728735232,1.80900613019926,"B"
"15",15,60.6159850442532,1.8090639722027,"B"
"16",16,60.6159291902207,1.8090604278219,"B"
"17",17,60.6161526117074,1.80907460771995,"B"
"18",18,60.6129143983842,1.80886961853013,"B"
"19",19,60.6163574272853,1.80908761152365,"B"
"20",20,60.6156313171259,1.80904153114143,"B"
"21",21,60.6151659412567,1.80901202760922,"B"
"22",22,60.6148867454969,1.80899433867517,"B"
"23",23,60.6136213380273,1.80891427280465,"B"
"24",24,60.6122633965264,1.80882854563863,"B"
"25",25,60.6113521981456,1.8087711338236,"B"
"26",26,60.6115939214335,1.80878635527346,"B"
"27",27,60.6126167824522,1.80885083568449,"B"
"28",28,60.6154265441047,1.80902854620256,"B"
"29",29,60.6117984696227,1.80879924074663,"B"
"30",30,60.6146634049608,1.80898019464616,"B"
"31",31,60.6134911015379,1.80890604225566,"B"
"32",32,60.615668549874,1.80904389261093,"B"
"33",33,60.6177169620632,1.80917404440835,"B"
"34",34,60.6154265441047,1.80902854620256,"B"
"35",35,60.619151564684,1.80926546766211,"B"
"36",36,60.6217241418404,1.80942997135833,"B"
"37",37,60.6194497377159,1.80928449749291,"B"
"38",38,60.6216495478126,1.80942519130416,"B"
"39",39,60.6199156839021,1.8093142542045,"B"
"40",40,60.6206986130187,1.80936430755315,"B"
"41",41,60.6192447410293,1.80927141327171,"B"
"42",42,60.6204935432479,1.80935119081871,"B"
"43",43,60.6188161503695,1.809244072593,"B"
"44",44,60.6037557777411,1.80829601756925,"B"
"45",45,60.6088244062336,1.80861233772074,"B"
"46",46,60.6109059838304,1.80874305213884,"B"
"47",47,60.6023645931874,1.80820968535175,"B"
"48",48,60.6158547195662,1.80905570259648,"B"
"49",49,60.6196733841503,1.80929877727424,"B"
"50",50,60.6164132881624,1.80909115893933,"B"
"51",51,60.6178101002252,1.80917997305337,"B"
"52",52,60.6155010056327,1.80903326738306,"B"
"53",53,60.6139190396878,1.8089330935651,"B"
"54",54,60.6137701856825,1.80892368178006,"B"
"55",55,60.6124493846536,1.80884027526828,"B"
"56",56,60.6108502110603,1.80873954370236,"B"
"57",57,60.6120030298193,1.80881213152346,"B"
"58",58,60.6111290838426,1.80875708982699,"B"
"59",59,60.6098650394041,1.80867762630647,"B"
"60",60,60.6116683012039,1.80879104028648,"B"
"61",61,60.6090845353444,1.80862864700649,"B"
"62",62,60.6100508995102,1.80868929942164,"B"
"63",63,60.6110361237675,1.80875124002367,"B"
"64",64,60.6099579682165,1.80868346231696,"B"
"65",65,60.6087686668124,1.80860884398894,"B"
"66",66,60.6075240525172,1.8085309198193,"B"
"67",67,60.6073754716359,1.80852162854975,"B"
"68",68,60.6081184395758,1.80856811285837,"B"
"69",69,60.6085828751939,1.80859720105841,"B"
"70",70,60.6076169187943,1.80853672828247,"B"
"71",71,60.6078955325164,1.80855416022534,"B"
"72",72,60.6109617574937,1.80874656096952,"B"
"73",73,60.6050732804886,1.80837797113368,"B"
"74",74,60.6133980784508,1.80890016460883,"B"
"75",75,60.6123563893496,1.80883440990531,"B"
"76",76,60.6136213380273,1.80891427280465,"B"
"77",77,60.6159291902207,1.8090604278219,"B"
