"","grid.cell","pred_FCI","FCI.se","grade"
"1",1,60.7268591368977,1.81677182410443,"B"
"2",2,60.7209900534251,1.816329876777,"B"
"3",3,60.7181929795545,1.81612060140138,"B"
"4",4,60.7182312816254,1.81612346127251,"B"
"5",5,60.7182121305413,1.81612203131296,"B"
"6",6,60.7188824763814,1.81617210845202,"B"
"7",7,60.7187483976778,1.81616208832041,"B"
"8",8,60.719112336679,1.8161892912937,"B"
"9",9,60.7191698039424,1.81619358808448,"B"
"10",10,60.7196678902351,1.81623084504416,"B"
"11",11,60.7204151429681,1.81628679138079,"B"
"12",12,60.7204151429681,1.81628679138079,"B"
"13",13,60.7211050460191,1.81633849904996,"B"
"14",14,60.7216417244091,1.81637875922269,"B"
"15",15,60.7223893677623,1.81643489876875,"B"
"16",16,60.7222935077871,1.81642769729893,"B"
"17",17,60.7235590551221,1.81652285366483,"B"
"18",18,60.7254965455579,1.81666887833422,"B"
"19",19,60.7247291040857,1.81661098792266,"B"
"20",20,60.7265904181679,1.81675150566025,"B"
"21",21,60.7279342021152,1.81685319264685,"B"
"22",22,60.7270702863935,1.81678779524275,"B"
"23",23,60.7239618180539,1.81655317471253,"B"
"24",24,60.7223126795877,1.81642913749659,"B"
"25",25,60.7218142443661,1.81639170800419,"B"
"26",26,60.7214500448046,1.81636437625938,"B"
"27",27,60.7212392084699,1.81634856055703,"B"
"28",28,60.7218525832037,1.8163945860406,"B"
"29",29,60.7226386150711,1.81645362822458,"B"
"30",30,60.7216992301864,1.81638307505005,"B"
"31",31,60.7227536578311,1.81646227533408,"B"
"32",32,60.7225235758103,1.816444982849,"B"
"33",33,60.7243070775305,1.81657918110665,"B"
"34",34,60.7259762753992,1.81670509906781,"B"
"35",35,60.7281838143659,1.81687210346749,"B"
"36",36,60.7308729856461,1.81707627711056,"B"
"37",37,60.7353719871689,1.81741966229443,"B"
"38",38,60.7337371206191,1.81729462056959,"B"
"39",39,60.738220248702,1.8176382217819,"B"
"40",40,60.7423231578039,1.81795464729106,"B"
"41",41,60.7460638980949,1.81824478026803,"B"
"42",42,60.7427471825429,1.81798745620433,"B"
"43",43,60.7489780222305,1.81847188472992,"B"
"44",44,60.7253238576758,1.81665584625801,"B"
"45",45,60.7210475492845,1.81633418769703,"B"
"46",46,60.7210475492845,1.81633418769703,"B"
"47",47,60.7282798234456,1.81687937903765,"B"
"48",48,60.7190740256565,1.8161864270066,"B"
"49",49,60.718135527178,1.81611631195453,"B"
"50",50,60.7186909368357,1.81615779469835,"B"
"51",51,60.7192655846606,1.81620075036289,"B"
"52",52,60.7195912572944,1.81622511109072,"B"
"53",53,60.7194763108016,1.81621651160171,"B"
"54",54,60.7200702387081,1.81626096091178,"B"
"55",55,60.7210475492845,1.81633418769703,"B"
"56",56,60.7221593079046,1.81641761726347,"B"
"57",57,60.7227344837948,1.81646083402875,"B"
"58",58,60.7234248103349,1.81651275137314,"B"
"59",59,60.7243838061338,1.81658496242746,"B"
"60",60,60.7284142402339,1.81688956686859,"B"
"61",61,60.725381419429,1.8166601898489,"B"
"62",62,60.7280878077127,1.81686482910716,"B"
"63",63,60.7304887018918,1.81704705129298,"B"
"64",64,60.7307769110699,1.81706896883751,"B"
"65",65,60.7273582364571,1.81680958349571,"B"
"66",66,60.7248633951233,1.81662111317027,"B"
"67",67,60.7236933046711,1.81653295831844,"B"
"68",68,60.7229645786458,1.81647813287212,"B"
"69",69,60.7226194416179,1.81645218720824,"B"
"70",70,60.7229070536209,1.81647380751093,"B"
"71",71,60.7249209498824,1.81662545328594,"B"
"72",72,60.7248633951233,1.81662111317027,"B"
"73",73,60.7248250257697,1.81661822000112,"B"
"74",74,60.7271470709412,1.81679360437979,"B"
"75",75,60.7289519549444,1.81693034191245,"B"
"76",76,60.7306808389188,1.81706166177696,"B"
"77",77,60.7303349992547,1.81703536639699,"B"
"78",78,60.7354489393136,1.81742555527371,"B"
"79",79,60.7427857325674,1.81799044000845,"B"
"80",80,60.7459481505822,1.81823577940579,"B"
"81",81,60.7492097027047,1.818489980892,"B"
"82",82,60.751140913909,1.81864105819236,"B"
"83",83,60.7519523104044,1.81870465772175,"B"
"84",84,60.7533823278231,1.81881692594612,"B"
"85",85,60.7513920422547,1.81866073445916,"B"
"86",86,60.752280781182,1.81873042514171,"B"
"87",87,60.7242878956226,1.81657773589704,"B"
"88",88,60.7206642600867,1.81630545640587,"B"
"89",89,60.720242686899,1.81627387419964,"B"
"90",90,60.7326988632689,1.81721536480537,"B"
"91",91,60.7273390391066,1.81680813060703,"B"
"92",92,60.7197445247322,1.81623657976625,"B"
"93",93,60.7190740256565,1.8161864270066,"B"
"94",94,60.7185760177787,1.81614920875026,"B"
"95",95,60.7183653419387,1.81613347233296,"B"
"96",96,60.7195912572944,1.81622511109072,"B"
"97",97,60.7193230542589,1.81620504830622,"B"
"98",98,60.7188441676939,1.81616924531724,"B"
"99",99,60.7201468813758,1.81626669967021,"B"
"100",100,60.7193805247328,1.8162093466818,"B"
"101",101,60.7211433776617,1.81634137352575,"B"
"102",102,60.722676962269,1.81645651040175,"B"
"103",103,60.7231946874928,1.81649543865313,"B"
"104",104,60.7222743360836,1.81642625714942,"B"
"105",105,60.7239042778685,1.81654884183254,"B"
"106",106,60.7246715522411,1.81660664925461,"B"
"107",107,60.7297202507965,1.81698865783741,"B"
"108",108,60.7255349217113,1.81667177488225,"B"
"109",109,60.7277422038548,1.81683865142588,"B"
"110",110,60.7320645118379,1.81716700047048,"B"
"111",111,60.7304887018918,1.81704705129298,"B"
"112",112,60.7277038053676,1.81683574376221,"B"
"113",113,60.7260530378069,1.8167108971864,"B"
"114",114,60.7244413536065,1.81658929892454,"B"
"115",115,60.7246523684872,1.81660520312842,"B"
"116",116,60.7260530378069,1.8167108971864,"B"
"117",117,60.7270702863935,1.81678779524275,"B"
"118",118,60.7276846062696,1.81683429000294,"B"
"119",119,60.7271470709412,1.81679360437979,"B"
"120",120,60.7271854637976,1.8167965092384,"B"
"121",121,60.7281646128411,1.81687064849864,"B"
"122",122,60.728683088078,1.81690994964595,"B"
"123",123,60.7277422038548,1.81683865142588,"B"
"124",124,60.7277038053676,1.81683574376221,"B"
"125",125,60.7340448067096,1.81731813098157,"B"
"126",126,60.7339101909919,1.81730784364454,"B"
"127",127,60.7378159743428,1.81760714493977,"B"
"128",128,60.7410513644716,1.81785636273605,"B"
"129",129,60.7468356370691,1.81830483122019,"B"
"130",130,60.7496924150113,1.81852770401108,"B"
"131",131,60.7549288866937,1.81893860145492,"B"
"132",132,60.7551415867954,1.81895535659593,"B"
"133",133,60.7540395399374,1.8188685993653,"B"
"134",134,60.7534789696716,1.81882452139445,"B"
"135",135,60.7539042224478,1.81885795604819,"B"
"136",136,60.7535176270861,1.81882755991976,"B"
"137",137,60.75568305787,1.81899803307212,"B"
"138",138,60.7214692123275,1.81636581433917,"B"
"139",139,60.720204364398,1.81627100424368,"B"
"140",140,60.7198403200423,1.81624374924989,"B"
"141",141,60.721335041709,1.81635574879098,"B"
"142",142,60.720702587256,1.81630832866939,"B"
"143",143,60.7360068887208,1.81746830267577,"B"
"144",144,60.7304502756504,1.81704412977807,"B"
"145",145,60.7225235758103,1.816444982849,"B"
"146",146,60.7191314923362,1.81619072350927,"B"
"147",147,60.7192464283224,1.81619931781116,"B"
"148",148,60.7192081159378,1.81619645285178,"B"
"149",149,60.7197445247322,1.81623657976625,"B"
"150",150,60.7195337836102,1.81622081113006,"B"
"151",151,60.7206834236227,1.81630689251359,"B"
"152",152,60.7208558998233,1.81631981964691,"B"
"153",153,60.7217759059173,1.8163888301603,"B"
"154",154,60.7233672783124,1.81650842254253,"B"
"155",155,60.7229645786458,1.81647813287212,"B"
"156",156,60.7245948178084,1.81660086503934,"B"
"157",157,60.7292592546541,1.816953658982,"B"
"158",158,60.7323336177309,1.81718751221396,"B"
"159",159,60.7255349217113,1.81667177488225,"B"
"160",160,60.7339101909919,1.81730784364454,"B"
"161",161,60.7332371836456,1.81725644269617,"B"
"162",162,60.7337755800235,1.81729755869032,"B"
"163",163,60.730392637016,1.81703974786935,"B"
"164",164,60.7312380911507,1.81710405960791,"B"
"165",165,60.7292592546541,1.816953658982,"B"
"166",166,60.7302965745656,1.81703244565783,"B"
"167",167,60.7298931387588,1.81700178960341,"B"
"168",168,60.7283566324566,1.81688520036493,"B"
"169",169,60.7297010415081,1.81698719899459,"B"
"170",170,60.7321606189036,1.8171743250006,"B"
"171",171,60.7342371231159,1.81733283131132,"B"
"172",172,60.7303734243319,1.81703828733008,"B"
"173",173,60.7304310626753,1.81704266909335,"B"
"174",174,60.7364687015654,1.81750371081791,"B"
"175",175,60.7398762938682,1.81776571348244,"B"
"176",176,60.7334871439414,1.81727552752521,"B"
"177",177,60.7340063445914,1.81731519149926,"B"
"178",178,60.7461603570126,1.81825228233751,"B"
"179",179,60.7514886344223,1.8186683044744,"B"
"180",180,60.7470671889036,1.81832286184059,"B"
"181",181,60.750310374803,1.81857603454246,"B"
"182",182,60.7551415867954,1.81895535659593,"B"
"183",183,60.7565921256206,1.81906975586822,"B"
"184",184,60.7575788016435,1.81914770657282,"B"
"185",185,60.7564760625648,1.81906059367308,"B"
"186",186,60.7559538217457,1.81901938586705,"B"
"187",187,60.7570177198367,1.81910336584799,"B"
"188",188,60.7573079244486,1.81912629549925,"B"
"189",189,60.7561278942126,1.81903311778982,"B"
"190",190,60.7548515440943,1.81893251016099,"B"
"191",191,60.7559344808424,1.8190178603455,"B"
"192",192,60.7584302528844,1.8192150618138,"B"
"193",193,60.72030017138,1.81627817949407,"B"
"194",194,60.7197636835997,1.81623801356689,"B"
"195",195,60.7196295735702,1.81622797797136,"B"
"196",196,60.7212583749233,1.8163499981076,"B"
"197",197,60.720587606915,1.81629971245582,"B"
"198",198,60.7228111805233,1.81646659953911,"B"
"199",199,60.73669962891,1.8175214254148,"B"
"200",200,60.727473422599,1.81681830184338,"B"
"201",201,60.724537268004,1.81659652738448,"B"
"202",202,60.7199361177842,1.81625091993475,"B"
"203",203,60.7195529414077,1.81622224440224,"B"
"204",204,60.7196104153836,1.81622654450702,"B"
"205",205,60.7199744375618,1.81625378854505,"B"
"206",206,60.7210667147655,1.81633562476658,"B"
"207",207,60.7199935975965,1.81625522292229,"B"
"208",208,60.7199552776244,1.81625235421587,"B"
"209",209,60.7218717527684,1.81639602513101,"B"
"210",210,60.721986772198,1.81640466068426,"B"
"211",211,60.722926228532,1.81647524924982,"B"
"212",212,60.7245948178084,1.81660086503934,"B"
"213",213,60.7242111689625,1.8165719555409,"B"
"214",214,60.7265328380591,1.81674715294036,"B"
"215",215,60.7315840128737,1.81713039602533,"B"
"216",216,60.730700053155,1.81706312309208,"B"
"217",217,60.7348910713873,1.81738284882161,"B"
"218",218,60.7343717503668,1.81734312443631,"B"
"219",219,60.7347371911276,1.81737107493522,"B"
"220",220,60.736372485955,1.81749633180714,"B"
"221",221,60.7396451748228,1.81774790225451,"B"
"222",222,60.7389519013098,1.81769451078365,"B"
"223",223,60.7356990444897,1.81744471283711,"B"
"224",224,60.7418991798756,1.81792186208084,"B"
"225",225,60.7388556232433,1.81768710030806,"B"
"226",226,60.7380277317772,1.81762342060179,"B"
"227",227,60.7413981754093,1.81788314647116,"B"
"228",228,60.7439616941175,1.81808154020243,"B"
"229",229,60.7462761109025,1.81826128644218,"B"
"230",230,60.7469321153096,1.81831234311836,"B"
"231",231,60.7410513644716,1.81785636273605,"B"
"232",232,60.7498855168281,1.81854280188087,"B"
"233",233,60.743286918086,1.81802924729753,"B"
"234",234,60.7543875208924,1.81889597902181,"B"
"235",235,60.7529184805138,1.81878048499165,"B"
"236",236,60.7547161982571,1.81892185230167,"B"
"237",237,60.7560118450339,1.81902396272885,"B"
"238",238,60.7578690481619,1.81917065779608,"B"
"239",239,60.7575981507371,1.81914923630717,"B"
"240",240,60.7590883201877,1.81926717485419,"B"
"241",241,60.7594754705996,1.81929785639808,"B"
"242",242,60.7590689636781,1.81926564129847,"B"
"243",243,60.7589721825746,1.81925797426478,"B"
"244",244,60.7596497008496,1.81931166957517,"B"
"245",245,60.758701208292,1.81923651317422,"B"
"246",246,60.7579464508939,1.8191767800073,"B"
"247",247,60.7562439468607,1.81904227463406,"B"
"248",248,60.7567662267086,1.81908350250594,"B"
"249",249,60.7598045787297,1.81932395133326,"B"
"250",250,60.7604822418945,1.81937772142197,"B"
"251",251,60.7606565171956,1.81939155785903,"B"
"252",252,60.7206450966479,1.81630402034624,"B"
"253",253,60.7198977983956,1.81624805151665,"B"
"254",254,60.7199361177842,1.81625091993475,"B"
"255",255,60.7201468813758,1.81626669967021,"B"
"256",256,60.7215267154797,1.81637012886727,"B"
"257",257,60.7216225560111,1.81637732070981,"B"
"258",258,60.7229070536209,1.81647380751093,"B"
"259",259,60.7326027426285,1.81720803347601,"B"
"260",260,60.7246140012709,1.81660231102079,"B"
"261",261,60.7412054987964,1.81786826466119,"B"
"262",262,60.7205109552994,1.81629396927504,"B"
"263",263,60.7202235255998,1.81627243919762,"B"
"264",264,60.7196678902351,1.81623084504416,"B"
"265",265,60.7199552776244,1.81625235421587,"B"
"266",266,60.7210667147655,1.81633562476658,"B"
"267",267,60.7220059424432,1.81640610011161,"B"
"268",268,60.7206259333063,1.81630258433468,"B"
"269",269,60.7209325584409,1.81632556628983,"B"
"270",270,60.7230221045455,1.81648245866692,"B"
"271",271,60.7231179829888,1.81648966928853,"B"
"272",272,60.7247291040857,1.81661098792266,"B"
"273",273,60.7264560659401,1.81674134999038,"B"
"274",274,60.7279342021152,1.81685319264685,"B"
"275",275,60.7281646128411,1.81687064849864,"B"
"276",276,60.7305847691927,1.81705435592882,"B"
"277",277,60.7368150978125,1.81753028534529,"B"
"278",278,60.7373732466585,1.81757313308535,"B"
"279",279,60.7426508091738,1.81797999755133,"B"
"280",280,60.7420340768658,1.81793229116805,"B"
