Cell,Age,Oxy,Sal,Hypoxia,Period
21732,82.9768,6.7023,31.2327,3.5714,2016-18
21750,83.2451,6.1433,31.2049,3.5714,2016-18
21760,77.9127,6.3007,31.8360,0.0000,2016-18
21761,78.0420,6.2998,31.8613,0.0000,2016-18
21762,78.0723,6.3539,31.8709,0.0000,2016-18
21765,83.5817,5.5875,31.1625,3.5714,2016-18
21774,77.7301,6.2648,31.7740,0.0000,2016-18
21775,77.8401,6.2279,31.7906,0.0000,2016-18
21776,77.9801,6.2205,31.8174,0.0000,2016-18
21777,78.0608,6.2589,31.8385,0.0000,2016-18
21780,83.8517,5.1946,31.1105,3.5714,2016-18
21789,77.6951,6.2259,31.7418,0.0000,2016-18
21790,77.7624,6.1913,31.7529,0.0000,2016-18
21791,77.8795,6.1672,31.7749,0.0000,2016-18
21792,77.9972,6.1795,31.8015,0.0000,2016-18
21795,83.8981,4.9283,31.0502,0.0000,2016-18
21804,77.6612,6.2238,31.7202,0.0000,2016-18
21805,77.7113,6.1796,31.7295,0.0000,2016-18
21806,77.8039,6.1439,31.7472,0.0000,2016-18
21807,77.9334,6.1355,31.7745,0.0000,2016-18
21810,82.2289,5.1203,31.1804,0.0000,2016-18
21811,77.9280,5.8342,31.6355,0.0000,2016-18
21812,81.0062,5.2362,31.2079,0.0000,2016-18
21821,77.6295,6.1868,31.7039,0.0000,2016-18
21822,77.6729,6.1517,31.7119,0.0000,2016-18
21823,77.7492,6.1212,31.7267,0.0000,2016-18
21824,77.8743,6.1042,31.7525,0.0000,2016-18
21827,80.4346,5.4321,31.3086,0.0000,2016-18
21828,77.9568,5.7903,31.5804,0.0000,2016-18
21829,79.8436,5.4708,31.2936,0.0000,2016-18
21830,77.7808,5.9887,31.7024,0.0000,2016-18
21831,77.6878,5.9759,31.6741,0.0000,2016-18
21832,80.3439,5.2876,31.2039,0.0000,2016-18
21833,79.5024,5.4700,31.2644,0.0000,2016-18
21842,77.5972,6.1372,31.6872,0.0000,2016-18
21843,77.6404,6.1091,31.6956,0.0000,2016-18
21844,77.7055,6.0858,31.7085,0.0000,2016-18
21845,77.8139,6.0690,31.7304,0.0000,2016-18
21848,79.1568,5.6586,31.3750,0.0000,2016-18
21849,78.0518,5.7569,31.5045,0.0000,2016-18
21850,78.9997,5.6580,31.3360,0.0000,2016-18
21851,77.6836,5.9334,31.6418,0.0000,2016-18
21852,78.9013,5.6147,31.2976,0.0000,2016-18
21853,77.7949,6.0347,31.7188,0.0000,2016-18
21854,77.6833,6.0432,31.6945,0.0000,2016-18
21855,77.6310,6.0455,31.6803,0.0000,2016-18
21856,79.8672,5.3284,31.1822,0.0000,2016-18
21857,79.2625,5.4649,31.2266,0.0000,2016-18
21858,78.8272,5.5719,31.2542,0.0000,2016-18
21867,77.5999,6.0472,31.6688,0.0000,2016-18
21868,77.5849,5.9926,31.6458,0.0000,2016-18
21871,78.5835,5.8005,31.3740,0.0000,2016-18
21872,78.0743,5.8076,31.4429,0.0000,2016-18
21873,78.5741,5.7599,31.3428,0.0000,2016-18
21874,77.7203,5.8872,31.5938,0.0000,2016-18
21875,78.5804,5.7042,31.3087,0.0000,2016-18
21876,78.5949,5.6423,31.2671,0.0000,2016-18
21877,79.5573,5.3535,31.1400,0.0000,2016-18
21878,79.0998,5.4613,31.1741,0.0000,2016-18
21879,78.7715,5.5447,31.1988,0.0000,2016-18
21880,78.5948,5.5956,31.2113,0.0000,2016-18
21889,77.6629,5.8849,31.5847,0.0000,2016-18
21890,77.5688,5.9405,31.6247,0.0000,2016-18
21891,77.6460,5.8788,31.5815,0.0000,2016-18
21894,79.2579,5.3806,31.0553,0.0000,2016-18
21895,78.9031,5.4674,31.0845,0.0000,2016-18
21896,78.6580,5.5374,31.1080,0.0000,2016-18
21897,78.5231,5.5777,31.1183,0.0000,2016-18
21906,77.6207,5.8859,31.5731,0.0000,2016-18
21907,77.5544,5.9011,31.6074,0.0000,2016-18
21912,78.0880,5.5703,30.7033,0.0000,2016-18
21913,77.9093,5.6222,30.6330,0.0000,2016-18
21922,77.5968,5.8529,31.5605,0.0000,2016-18
21923,77.5340,5.8495,31.5878,0.0000,2016-18
21936,77.5878,5.8098,31.5475,0.0000,2016-18
21937,77.5269,5.8039,31.5697,0.0000,2016-18
21943,77.2529,5.6304,30.3050,0.0000,2016-18
21950,77.5979,5.7782,31.5327,0.0000,2016-18
21951,77.5378,5.7631,31.5510,0.0000,2016-18
21958,76.6146,5.6162,30.0031,0.0000,2016-18
21965,77.6266,5.7584,31.5179,0.0000,2016-18
21966,77.5651,5.7329,31.5337,0.0000,2016-18
21975,74.8791,5.6141,29.2707,0.0000,2016-18
