Cell,Age,Oxy,Sal,Hypoxia,Period
19337,87.1067,6.5170,31.2741,0.0000,2016-18
19338,87.0975,6.3206,31.2832,0.0000,2016-18
19339,87.0439,6.4460,31.2863,0.0000,2016-18
19646,87.1447,5.6196,31.2746,0.0000,2016-18
19647,87.1107,5.7132,31.2827,0.0000,2016-18
19648,87.0277,6.0801,31.2851,0.0000,2016-18
19922,87.1701,5.0754,31.2744,0.0000,2016-18
19923,87.1220,5.3420,31.2822,0.0000,2016-18
19924,87.0351,5.8551,31.2844,0.0000,2016-18
20181,87.1887,4.7634,31.2726,0.0000,2016-18
20182,87.1504,4.9503,31.2806,0.0000,2016-18
20183,87.0694,5.4577,31.2834,0.0000,2016-18
20420,87.1964,4.7099,31.2705,0.0000,2016-18
20421,87.1772,4.7079,31.2772,0.0000,2016-18
20422,87.1098,5.1056,31.2812,0.0000,2016-18
20434,109.0961,13.2345,30.1550,19.6429,2016-18
20649,87.1984,4.8783,31.2677,0.0000,2016-18
20650,87.1985,4.6848,31.2724,0.0000,2016-18
20651,87.1517,4.8691,31.2770,0.0000,2016-18
20663,109.0210,13.4506,30.1507,21.4286,2016-18
20681,107.1997,14.3567,29.3350,14.2857,2016-18
20843,87.0809,15.9154,31.2316,19.6429,2016-18
20844,87.2645,15.9343,31.2560,21.4286,2016-18
20845,87.3019,15.9866,31.2412,23.2143,2016-18
20853,87.2081,5.0289,31.2643,0.0000,2016-18
20854,87.2172,4.7756,31.2674,0.0000,2016-18
20855,87.1865,4.7903,31.2717,0.0000,2016-18
20867,108.9528,13.4802,30.1449,19.6429,2016-18
20881,110.8566,11.7747,29.8159,3.5714,2016-18
20882,106.9828,13.5325,29.2835,12.5000,2016-18
21022,87.1092,15.9835,31.1986,21.4286,2016-18
21023,87.2732,15.8204,31.2018,21.4286,2016-18
21024,87.3377,15.9980,31.2248,25.0000,2016-18
21029,87.2294,5.0441,31.2598,0.0000,2016-18
21030,87.2400,4.8655,31.2613,0.0000,2016-18
21031,87.2140,4.8026,31.2661,0.0000,2016-18
21044,108.8720,13.1583,30.1362,19.6429,2016-18
21052,110.7633,11.5951,29.8147,3.5714,2016-18
21053,106.7815,13.1363,29.2431,12.5000,2016-18
21169,87.1539,15.9914,31.1554,17.8571,2016-18
21170,87.2318,15.6951,31.1268,21.4286,2016-18
21171,87.3750,15.9997,31.2048,23.2143,2016-18
21177,87.2579,5.0604,31.2507,0.0000,2016-18
21178,87.2694,4.9967,31.2466,0.0000,2016-18
21179,87.2362,4.8614,31.2496,0.0000,2016-18
21185,108.7551,11.9223,30.1230,19.6429,2016-18
21191,110.6373,11.4234,29.8137,3.5714,2016-18
21192,106.6234,12.8126,29.2150,10.7143,2016-18
21294,87.1658,15.9870,31.0970,19.6429,2016-18
21295,87.1234,15.4519,31.0279,21.4286,2016-18
21296,87.4162,15.9998,31.1822,25.0000,2016-18
