Cell,Age,Oxy,Sal,Hypoxia,Period
21780,68.8239,4.5533,31.1281,8.9286,2016-18
21795,68.8862,3.5980,31.0286,10.7143,2016-18
21804,68.5966,8.3418,31.3577,0.0000,2016-18
21810,68.8955,4.4561,31.0706,7.1429,2016-18
21811,68.7920,7.3050,31.2821,0.0000,2016-18
21812,69.0052,4.5639,31.0099,5.3571,2016-18
21821,68.6579,8.2019,31.3348,0.0000,2016-18
21822,68.6286,8.1817,31.3472,0.0000,2016-18
21823,68.5894,8.1329,31.3666,0.0000,2016-18
21824,68.5450,8.0557,31.3973,1.7857,2016-18
21827,68.9246,5.2496,31.0984,1.7857,2016-18
21828,68.8523,7.2409,31.2432,0.0000,2016-18
21829,69.0396,5.2227,31.0343,0.0000,2016-18
21830,68.6912,7.6987,31.3380,1.7857,2016-18
21831,68.7524,7.6910,31.3031,0.0000,2016-18
21832,69.1167,4.8724,30.9681,3.5714,2016-18
21833,69.1545,5.3210,30.9835,0.0000,2016-18
21842,68.7230,8.0194,31.3092,0.0000,2016-18
21843,68.6876,8.0666,31.3249,0.0000,2016-18
21844,68.6531,8.0148,31.3421,0.0000,2016-18
21845,68.6096,7.9361,31.3698,1.7857,2016-18
21848,68.9834,5.8714,31.0986,1.7857,2016-18
21849,68.9264,7.0565,31.1988,0.0000,2016-18
21850,69.0958,5.6987,31.0362,0.0000,2016-18
21851,68.8195,7.6357,31.2689,0.0000,2016-18
21852,69.2016,5.6335,30.9843,0.0000,2016-18
21853,68.6468,7.8270,31.3561,1.7857,2016-18
21854,68.6980,7.8806,31.3253,0.0000,2016-18
21855,68.7409,7.8863,31.3045,0.0000,2016-18
21856,69.2236,5.2143,30.9352,3.5714,2016-18
21857,69.2553,5.4677,30.9431,0.0000,2016-18
21858,69.2870,5.6274,30.9438,0.0000,2016-18
21867,68.7957,7.7844,31.2783,0.0000,2016-18
21868,68.8545,7.6764,31.2513,0.0000,2016-18
21871,69.0715,6.0620,31.0722,0.0000,2016-18
21872,69.0048,6.8774,31.1529,0.0000,2016-18
21873,69.1653,5.8649,31.0177,0.0000,2016-18
21874,68.9005,7.4766,31.2248,0.0000,2016-18
21875,69.2461,5.7192,30.9743,0.0000,2016-18
21876,69.3122,5.6674,30.9391,0.0000,2016-18
21878,69.3263,5.6045,30.9088,0.0000,2016-18
21880,69.3667,5.7110,30.9066,0.0000,2016-18
21889,68.9682,7.4729,31.1933,0.0000,2016-18
21890,68.9144,7.5827,31.2232,0.0000,2016-18
21891,68.9937,7.4624,31.1811,0.0000,2016-18
21906,69.0434,7.4450,31.1570,0.0000,2016-18
21907,68.9658,7.5142,31.1986,0.0000,2016-18
21922,69.1132,7.3936,31.1227,0.0000,2016-18
21923,69.0341,7.4261,31.1658,0.0000,2016-18
21936,69.1752,7.3258,31.0922,0.0000,2016-18
21937,69.0983,7.3436,31.1349,0.0000,2016-18
21950,69.2343,7.2636,31.0634,0.0000,2016-18
21951,69.1608,7.2623,31.1049,0.0000,2016-18
21965,69.2800,7.2306,31.0415,0.0000,2016-18
21966,69.2132,7.2432,31.0799,0.0000,2016-18
21982,69.3065,7.2053,31.0294,0.0000,2016-18
21983,69.2534,7.2734,31.0605,0.0000,2016-18
21998,69.3276,7.2138,31.0198,0.0000,2016-18
21999,69.2899,7.3252,31.0424,0.0000,2016-18
22013,69.3494,7.2469,31.0086,0.0000,2016-18
22014,69.3234,7.3829,31.0246,0.0000,2016-18
22018,68.4772,5.9182,30.2626,0.0000,2016-18
22019,68.7593,6.3581,30.3682,0.0000,2016-18
22028,69.3706,7.2893,30.9958,0.0000,2016-18
22029,69.3524,7.4282,31.0075,0.0000,2016-18
22031,67.5604,4.6471,29.9281,0.0000,2016-18
22032,67.8776,4.9871,30.0351,0.0000,2016-18
22033,68.2870,5.6024,30.1795,0.0000,2016-18
22034,68.6297,6.2088,30.3024,0.0000,2016-18
22043,69.3907,7.3419,30.9812,0.0000,2016-18
22044,69.3775,7.4626,30.9904,0.0000,2016-18
22046,68.0363,4.3530,30.2283,0.0000,2016-18
22047,67.9438,4.5049,30.1224,0.0000,2016-18
22048,68.4836,4.5583,30.5109,5.3571,2016-18
22049,68.1150,5.0234,30.1403,0.0000,2016-18
22050,68.4492,5.8255,30.2334,0.0000,2016-18
22057,69.4081,7.4040,30.9656,0.0000,2016-18
22058,69.3990,7.5072,30.9728,0.0000,2016-18
22060,68.1016,4.0155,30.2793,3.5714,2016-18
22061,67.9953,4.0825,30.1837,0.0000,2016-18
22062,68.2381,4.1686,30.3726,5.3571,2016-18
22063,68.0442,4.5298,30.1442,0.0000,2016-18
22064,68.5636,5.2649,30.5665,5.3571,2016-18
22065,68.1848,4.7316,30.3434,7.1429,2016-18
22066,68.3090,5.4073,30.1896,0.0000,2016-18
22071,69.4219,7.4590,30.9504,0.0000,2016-18
22072,69.4153,7.5472,30.9563,0.0000,2016-18
22074,68.0278,3.6784,30.2427,3.5714,2016-18
22075,67.9537,3.8677,30.1609,0.0000,2016-18
22076,68.0196,4.4476,30.1295,0.0000,2016-18
22077,68.2785,5.3560,30.1700,0.0000,2016-18
22079,68.1645,5.1945,30.3429,7.1429,2016-18
22084,69.4322,7.4976,30.9368,0.0000,2016-18
22085,69.4271,7.5755,30.9418,0.0000,2016-18
22087,67.9449,3.4798,30.2008,1.7857,2016-18
22088,67.9113,3.8499,30.1317,0.0000,2016-18
22089,68.0195,4.4887,30.1106,0.0000,2016-18
22090,68.2474,5.3553,30.1440,0.0000,2016-18
22097,69.4405,7.5491,30.9228,0.0000,2016-18
22098,69.4368,7.5957,30.9268,0.0000,2016-18
22100,67.8395,4.2112,30.3519,0.0000,2016-18
22101,67.9047,4.8193,30.3371,0.0000,2016-18
22102,68.0148,5.4260,30.3404,0.0000,2016-18
22103,68.1749,5.8822,30.3598,0.0000,2016-18
22110,69.4486,7.6356,30.9044,0.0000,2016-18
22111,69.4456,7.6389,30.9083,0.0000,2016-18
22113,68.2089,5.6961,30.3923,0.0000,2016-18
22114,68.4673,6.3647,30.4401,0.0000,2016-18
22115,68.5765,6.6426,30.4611,0.0000,2016-18
22116,68.7378,6.8485,30.4938,0.0000,2016-18
22123,69.4541,7.7398,30.8845,0.0000,2016-18
22124,69.4518,7.7022,30.8889,0.0000,2016-18
22126,68.7570,6.7912,30.5089,0.0000,2016-18
22127,69.0255,7.1122,30.5728,0.0000,2016-18
22128,69.1762,7.3241,30.6139,0.0000,2016-18
22129,69.3708,7.7007,30.6918,0.0000,2016-18
22130,69.8535,8.3756,30.9414,0.0000,2016-18
22137,69.4517,7.8336,30.8595,0.0000,2016-18
22138,69.4527,7.7771,30.8680,0.0000,2016-18
22141,68.9163,7.1440,30.5478,0.0000,2016-18
22142,69.1812,7.4756,30.6234,0.0000,2016-18
22143,69.3763,7.7370,30.6987,0.0000,2016-18
22144,69.5806,8.0451,30.7973,0.0000,2016-18
22145,69.8604,8.3573,30.9528,0.0000,2016-18
22146,70.0944,8.2261,31.0907,0.0000,2016-18
22147,70.0329,8.2140,31.0649,0.0000,2016-18
22154,69.4147,7.9359,30.8147,0.0000,2016-18
22155,69.4033,7.8847,30.8194,0.0000,2016-18
22158,68.9557,7.3565,30.5548,0.0000,2016-18
22159,69.1828,7.6883,30.6220,0.0000,2016-18
22160,69.3762,7.9283,30.6903,0.0000,2016-18
22161,69.4994,8.0954,30.7425,0.0000,2016-18
22162,70.1594,8.1316,31.1402,0.0000,2016-18
22163,70.0908,8.1106,31.1139,0.0000,2016-18
