Cell,Age,Oxy,Sal,Hypoxia,Period
1,2.4656,7.3795,35.4310,0.0000,2016-18
2,1.1652,7.3955,35.4659,0.0000,2016-18
3,0.6193,7.4062,35.4435,0.0000,2016-18
4,0.1247,7.4183,35.4061,0.0000,2016-18
5,0.0965,7.4191,35.4040,0.0000,2016-18
6,0.0513,7.4202,35.3994,0.0000,2016-18
7,0.0154,7.4205,35.3994,0.0000,2016-18
8,0.0416,7.4201,35.3994,0.0000,2016-18
9,0.0271,7.4201,35.4004,0.0000,2016-18
10,0.1169,7.4171,35.4171,0.0000,2016-18
11,0.1706,7.4160,35.4335,0.0000,2016-18
12,0.0682,7.4190,35.4065,0.0000,2016-18
13,0.1671,7.4143,35.4315,0.0000,2016-18
14,0.3032,7.4117,35.4675,0.0000,2016-18
15,0.3442,7.4118,35.4644,0.0000,2016-18
16,0.3444,7.4112,35.4633,0.0000,2016-18
17,0.2572,7.4130,35.4470,0.0000,2016-18
18,0.3296,7.4127,35.4675,0.0000,2016-18
19,0.2525,7.4125,35.4528,0.0000,2016-18
20,0.3011,7.4122,35.4663,0.0000,2016-18
21,0.3950,7.4136,35.4773,0.0000,2016-18
22,0.5405,7.4119,35.4835,0.0000,2016-18
23,0.6974,7.4109,35.4781,0.0000,2016-18
24,0.7494,7.4108,35.4748,0.0000,2016-18
25,0.7550,7.4115,35.4713,0.0000,2016-18
26,0.7941,7.4135,35.4656,0.0000,2016-18
27,1.0415,7.4136,35.4588,0.0000,2016-18
28,1.0637,7.4151,35.4517,0.0000,2016-18
29,1.8889,7.4119,35.4320,0.0000,2016-18
30,1.8393,7.4162,35.4243,0.0000,2016-18
31,2.2248,7.4081,35.4210,0.0000,2016-18
32,1.9788,7.4098,35.4171,0.0000,2016-18
33,2.1712,7.4013,35.4139,0.0000,2016-18
34,2.7374,7.3947,35.4156,0.0000,2016-18
35,3.5011,7.3895,35.3822,0.0000,2016-18
36,3.6728,7.3856,35.3646,0.0000,2016-18
37,4.6031,7.3694,35.3523,0.0000,2016-18
38,4.6703,7.3759,35.3385,0.0000,2016-18
39,5.4378,7.3634,35.3328,0.0000,2016-18
40,4.3817,7.3750,35.3519,0.0000,2016-18
41,6.3257,7.3580,35.3130,0.0000,2016-18
42,6.0631,7.3630,35.3123,0.0000,2016-18
43,8.2874,7.3494,35.2599,0.0000,2016-18
44,3.6842,7.3535,35.3981,0.0000,2016-18
45,2.0177,7.3768,35.4471,0.0000,2016-18
46,0.9460,7.3970,35.4659,0.0000,2016-18
47,5.0744,7.3356,35.3518,0.0000,2016-18
48,0.3140,7.4169,35.4391,0.0000,2016-18
49,0.1781,7.4177,35.4183,0.0000,2016-18
50,0.1291,7.4194,35.4033,0.0000,2016-18
51,0.0866,7.4198,35.4003,0.0000,2016-18
52,0.1620,7.4175,35.4240,0.0000,2016-18
53,0.2750,7.4152,35.4627,0.0000,2016-18
54,0.2421,7.4145,35.4563,0.0000,2016-18
55,0.3759,7.4128,35.4806,0.0000,2016-18
56,0.5093,7.4133,35.4871,0.0000,2016-18
57,0.4381,7.4123,35.4779,0.0000,2016-18
58,0.5301,7.4119,35.4849,0.0000,2016-18
59,0.5430,7.4119,35.4870,0.0000,2016-18
60,0.4454,7.4139,35.4821,0.0000,2016-18
61,0.6086,7.4119,35.4884,0.0000,2016-18
62,0.6262,7.4120,35.4890,0.0000,2016-18
63,0.5610,7.4124,35.4879,0.0000,2016-18
64,0.7209,7.4098,35.4853,0.0000,2016-18
65,0.9065,7.4076,35.4788,0.0000,2016-18
66,1.0395,7.4056,35.4724,0.0000,2016-18
67,1.0642,7.4025,35.4729,0.0000,2016-18
68,1.1875,7.4081,35.4662,0.0000,2016-18
69,1.4098,7.4006,35.4630,0.0000,2016-18
70,1.5618,7.4007,35.4563,0.0000,2016-18
71,2.4766,7.3982,35.4233,0.0000,2016-18
72,2.6668,7.3970,35.4179,0.0000,2016-18
73,2.2188,7.3954,35.4336,0.0000,2016-18
74,2.8216,7.3943,35.4148,0.0000,2016-18
75,3.4575,7.3870,35.3961,0.0000,2016-18
76,3.6547,7.3835,35.3916,0.0000,2016-18
77,3.7217,7.3828,35.3877,0.0000,2016-18
78,4.5155,7.3692,35.3642,0.0000,2016-18
79,5.8704,7.3575,35.3255,0.0000,2016-18
80,5.9624,7.3529,35.3259,0.0000,2016-18
81,7.5198,7.3481,35.2817,0.0000,2016-18
82,8.3608,7.3482,35.2591,0.0000,2016-18
83,8.5338,7.3451,35.2526,0.0000,2016-18
84,9.3038,7.3438,35.2314,0.0000,2016-18
85,10.3767,7.3393,35.2031,0.0000,2016-18
86,10.0871,7.3392,35.2127,0.0000,2016-18
87,2.2357,7.3739,35.4390,0.0000,2016-18
88,1.0862,7.3952,35.4665,0.0000,2016-18
89,0.8029,7.4040,35.4616,0.0000,2016-18
90,5.1724,7.3327,35.3473,0.0000,2016-18
91,3.0424,7.3589,35.4160,0.0000,2016-18
92,0.4381,7.4155,35.4511,0.0000,2016-18
93,0.3843,7.4167,35.4550,0.0000,2016-18
94,0.2410,7.4188,35.4273,0.0000,2016-18
95,0.1849,7.4190,35.4148,0.0000,2016-18
96,0.5385,7.4149,35.4699,0.0000,2016-18
97,0.4764,7.4157,35.4672,0.0000,2016-18
98,0.3238,7.4157,35.4703,0.0000,2016-18
99,0.3914,7.4147,35.4798,0.0000,2016-18
100,0.4351,7.4153,35.4824,0.0000,2016-18
101,0.5211,7.4139,35.4857,0.0000,2016-18
102,0.5920,7.4131,35.4864,0.0000,2016-18
103,0.6486,7.4119,35.4877,0.0000,2016-18
104,0.6760,7.4127,35.4837,0.0000,2016-18
105,0.7342,7.4110,35.4842,0.0000,2016-18
106,0.7620,7.4107,35.4832,0.0000,2016-18
107,0.7976,7.4093,35.4827,0.0000,2016-18
108,0.8406,7.4105,35.4807,0.0000,2016-18
109,0.9042,7.4094,35.4795,0.0000,2016-18
110,1.0308,7.3939,35.4794,0.0000,2016-18
111,1.2434,7.3848,35.4716,0.0000,2016-18
112,1.3729,7.3839,35.4669,0.0000,2016-18
113,1.4147,7.3892,35.4634,0.0000,2016-18
114,1.3897,7.3952,35.4637,0.0000,2016-18
115,1.4950,7.3959,35.4604,0.0000,2016-18
116,1.9234,7.3910,35.4482,0.0000,2016-18
117,2.9272,7.3927,35.4157,0.0000,2016-18
118,3.1784,7.3918,35.4068,0.0000,2016-18
119,3.2071,7.3917,35.4049,0.0000,2016-18
120,2.5436,7.3919,35.4258,0.0000,2016-18
121,3.0137,7.3896,35.4150,0.0000,2016-18
122,3.5309,7.3855,35.3949,0.0000,2016-18
123,2.2437,7.3870,35.4377,0.0000,2016-18
124,2.4277,7.3888,35.4314,0.0000,2016-18
125,3.9534,7.3762,35.3819,0.0000,2016-18
126,3.9637,7.3774,35.3810,0.0000,2016-18
127,4.4516,7.3691,35.3689,0.0000,2016-18
128,5.0693,7.3570,35.3521,0.0000,2016-18
129,5.9274,7.3533,35.3268,0.0000,2016-18
130,7.3448,7.3475,35.2849,0.0000,2016-18
131,10.0653,7.3416,35.2113,0.0000,2016-18
132,10.1715,7.3405,35.2075,0.0000,2016-18
133,9.3438,7.3436,35.2300,0.0000,2016-18
134,8.4079,7.3455,35.2545,0.0000,2016-18
135,12.3622,7.3287,35.1523,0.0000,2016-18
136,11.7774,7.3303,35.1691,0.0000,2016-18
137,11.3391,7.3350,35.1779,0.0000,2016-18
138,1.3374,7.3893,35.4612,0.0000,2016-18
139,0.9918,7.4031,35.4682,0.0000,2016-18
140,0.6611,7.4136,35.4733,0.0000,2016-18
141,1.5016,7.3892,35.4569,0.0000,2016-18
142,1.2171,7.3991,35.4619,0.0000,2016-18
143,5.1180,7.3333,35.3523,0.0000,2016-18
144,3.1373,7.3584,35.4077,0.0000,2016-18
145,1.7292,7.3838,35.4486,0.0000,2016-18
146,0.5652,7.4151,35.4724,0.0000,2016-18
147,0.3783,7.4181,35.4604,0.0000,2016-18
148,0.3025,7.4185,35.4446,0.0000,2016-18
149,0.5228,7.4159,35.4759,0.0000,2016-18
150,0.7082,7.4143,35.4720,0.0000,2016-18
151,0.5832,7.4146,35.4840,0.0000,2016-18
152,0.7428,7.4135,35.4754,0.0000,2016-18
153,0.7782,7.4122,35.4800,0.0000,2016-18
