Cell,Age,Oxy,Sal,Hypoxia,Period
1,6.0568,7.4521,35.2476,0.0000,2016-18
2,2.2962,7.4494,35.4039,0.0000,2016-18
3,0.1073,7.4455,35.4963,0.0000,2016-18
4,0.0657,7.4449,35.4993,0.0000,2016-18
5,0.0526,7.4448,35.4998,0.0000,2016-18
6,0.0734,7.4444,35.5000,0.0000,2016-18
7,0.0828,7.4441,35.5002,0.0000,2016-18
8,0.1103,7.4436,35.5000,0.0000,2016-18
9,0.1749,7.4430,35.5002,0.0000,2016-18
10,0.2450,7.4434,35.5000,0.0000,2016-18
11,0.5234,7.4461,35.4941,0.0000,2016-18
12,0.4820,7.4462,35.4947,0.0000,2016-18
13,0.8978,7.4509,35.4820,0.0000,2016-18
14,1.1684,7.4539,35.4723,0.0000,2016-18
15,1.6545,7.4603,35.4494,0.0000,2016-18
16,2.2432,7.4698,35.4197,0.0000,2016-18
17,2.4597,7.4746,35.4107,0.0000,2016-18
18,3.1740,7.4860,35.3767,0.0000,2016-18
19,2.7167,7.4802,35.3962,0.0000,2016-18
20,3.6088,7.4947,35.3546,0.0000,2016-18
21,4.3363,7.5093,35.3202,0.0000,2016-18
22,4.7577,7.5187,35.3031,0.0000,2016-18
23,4.5242,7.5140,35.3214,0.0000,2016-18
24,3.8925,7.5010,35.3563,0.0000,2016-18
25,3.1730,7.4873,35.3915,0.0000,2016-18
26,2.7845,7.4791,35.4112,0.0000,2016-18
27,2.0921,7.4668,35.4385,0.0000,2016-18
28,2.4739,7.4704,35.4277,0.0000,2016-18
29,3.9972,7.4911,35.3814,0.0000,2016-18
30,2.2371,7.4665,35.4359,0.0000,2016-18
31,3.5819,7.4803,35.3946,0.0000,2016-18
32,2.8941,7.4713,35.4161,0.0000,2016-18
33,3.0510,7.4697,35.4108,0.0000,2016-18
34,4.0681,7.4811,35.3793,0.0000,2016-18
35,2.4248,7.4611,35.4312,0.0000,2016-18
36,2.2499,7.4567,35.4358,0.0000,2016-18
37,4.1888,7.4771,35.3752,0.0000,2016-18
38,2.2559,7.4648,35.4363,0.0000,2016-18
39,3.3674,7.4757,35.4035,0.0000,2016-18
40,5.0468,7.4989,35.3538,0.0000,2016-18
41,6.6737,7.5204,35.3039,0.0000,2016-18
42,7.1159,7.5298,35.2939,0.0000,2016-18
43,8.8614,7.5545,35.2437,0.0000,2016-18
44,6.8397,7.4468,35.2194,0.0000,2016-18
45,2.8597,7.4494,35.3815,0.0000,2016-18
46,2.2232,7.4497,35.4071,0.0000,2016-18
47,7.4200,7.4479,35.2002,0.0000,2016-18
48,1.1099,7.4468,35.4573,0.0000,2016-18
49,0.1238,7.4444,35.4992,0.0000,2016-18
50,0.1382,7.4438,35.4997,0.0000,2016-18
51,0.1391,7.4434,35.5002,0.0000,2016-18
52,0.2331,7.4437,35.4995,0.0000,2016-18
53,0.4153,7.4450,35.4953,0.0000,2016-18
54,0.6595,7.4476,35.4889,0.0000,2016-18
55,1.2525,7.4544,35.4676,0.0000,2016-18
56,2.4303,7.4703,35.4082,0.0000,2016-18
57,2.4122,7.4708,35.4108,0.0000,2016-18
58,3.2208,7.4847,35.3698,0.0000,2016-18
59,3.9432,7.4978,35.3333,0.0000,2016-18
60,4.3530,7.5070,35.3177,0.0000,2016-18
61,4.6172,7.5096,35.2971,0.0000,2016-18
62,4.9664,7.5187,35.2836,0.0000,2016-18
63,5.2113,7.5252,35.2752,0.0000,2016-18
64,5.8235,7.5384,35.2491,0.0000,2016-18
65,5.7460,7.5379,35.2628,0.0000,2016-18
66,5.2792,7.5276,35.2965,0.0000,2016-18
67,4.8030,7.5160,35.3290,0.0000,2016-18
68,4.4121,7.5068,35.3532,0.0000,2016-18
69,4.1881,7.4990,35.3698,0.0000,2016-18
70,4.9158,7.5084,35.3476,0.0000,2016-18
