run_1979_1981,01/04/1979,19/05/1980
run_1980_1981,01/04/1980,01/05/1981
run_1981_1983_joined,01/04/1981,07/08/1982
run_1982_1983_joined,01/04/1982,01/05/1983
run_1991_1993_joined,01/04/1991,24/06/1992
run_1992_1993,01/04/1992,20/11/1992
run_1996_1998_joined,01/04/1996,01/05/1997
run_1997_1998_joined,01/04/1997,01/05/1998
run_2005_2007,01/04/2005,01/05/2007
run_2006_2007,01/04/2006,01/05/2007
run_2008_2010_joined,01/04/2008,29/06/2009
run_2009_2010,01/04/2009,01/05/2010
run_2013_2015_joined,01/04/2013,11/05/2014
run_2014_2015_joined,01/04/2014,01/05/2015
run_2016_2018_joined,01/04/2016,01/05/2018
