Bayswater_Inflow,Bennet_Inflow,Canning_Inflow,Ellenbrook_Inflow,Helena_Inflow,Jane_Inflow,Susannah_Inflow,Upper_Swan_Inflow,
2007,10312381716940800.00000,8048225898800640.00000,237218586923001.56000,64726686088202880.00000,15755747825018880.00000,10506410146310402.00000,7446658529227279.00000,251650714935015740.00000,
2008,19318257201156480.00000,17406734628205440.00000,31324593352941900.00000,58305017374410240.00000,20725584429594240.00000,17377703601148800.00000,5476654170213006.00000,494829381609547970.00000,
2009,7171762734259200.00000,7454639824128000.00000,27705656590728512.00000,79714655367056640.00000,14962827995418242.00000,0.00000,6997222962665107.00000,478055878998801150.00000,
2010,5075851443667200.00000,3421168990727040.00000,4573948968127124.00000,7615887845529601.00000,794142088064640.00000,420443832090240.00000,401032753948512.06000,35494003150213708.00000,
2011,8932951111069440.00000,11682506534348160.00000,26125146760791044.00000,38920035798806400.00000,13409533747572480.00000,12794726143382400.00000,7225947066698436.00000,315480667544240900.00000,
2012,9800924400691200.00000,3822139598215680.00000,6739158302899138.00000,9423983537821440.00000,2021563172764800.00000,4384054199226240.00000,4235735974409855.50000,51568302950786384.00000,
2013,6799099071663360.00000,7220134311183360.00000,26097097561183348.00000,93766654497519360.00000,12346861730797440.00000,7587309338179200.00000,4813755157440634.00000,229150116953050020.00000,
2014,11716188047141760.00000,6288026579227008.00000,21310652381001972.00000,38902964196660480.00000,5045388525660672.00000,6897632002107840.00000,3923662203413973.50000,192704006313758590.00000,
2015,8707193871038208.00000,4794149327909760.00000,9392340656301932.00000,16530033641667840.00000,4509286310204928.00000,321191643378816.00000,417326094365644.69000,111019149426534510.00000,
2016,25229433205251072.00000,9801327200587776.00000,30240371156108588.00000,87460197198192000.00000,8741267828270208.00000,1215633858977664.00000,3177301785233992.50000,1404999351178453200.00000,
2017,54971329016568384.00000,13915857291622272.00000,23685537308409456.00000,84038423464679040.00000,9176708512738368.00000,1088297808538752.00000,3761912252867732.50000,317629197364746560.00000,
2018,74835883864494144.00000,16461601734715200.00000,34788142720518160.00000,125840570978904770.00000,9679592418572160.00000,1574118838014912.00000,6443269898386406.00000,664162630862254460.00000,
