Bayswater_Inflow,Bennet_Inflow,Canning_Inflow,Ellenbrook_Inflow,Helena_Inflow,Jane_Inflow,Susannah_Inflow,Upper_Swan_Inflow,
2007,313705336484160.00000,229294045581120.00000,18120206333462.40600,9495005125063680.00000,403391177740800.00000,246160592481600.00000,101936273535936.00000,3591417045487881.50000,
2008,761414138876160.00000,420830699754240.00000,1232720723648244.70000,6637928928482880.00000,245481714771840.00000,339290220553920.00000,299081286143999.94000,9763990105149026.00000,
2009,276103822867200.00000,213041840342400.00000,1261317895192482.70000,9696016251224640.00000,227990586418560.00000,0.00000,207461064268857.69000,9834960710869002.00000,
2010,192282648569280.00000,119158523366400.00000,305029251358790.44000,608516250770880.00000,12178383480000.00000,6725615068800.00000,6747328297814.39940,531404948747577.75000,
2011,325751206659840.00000,307993637234880.00000,1164748028525597.20000,4370815475798400.00000,206663835792960.00000,398767202712000.00000,74437405766294.35900,8275777728056900.00000,
2012,962821446733440.00000,135913855867200.00000,319113286847827.19000,854030694787200.00000,30626786456640.00000,182626556955840.00000,109119351552019.16000,755357014799769.75000,
2013,254852373314880.00000,232789514267520.00000,1368758632841596.70000,11413462636013760.00000,201534667920000.00000,270847151369280.00000,76288128028560.01600,3166927765187070.50000,
2014,360341352838080.00000,189930184297344.00000,981607254676387.75000,4036440369942720.00000,71591410052928.00000,223999997895072.00000,50255635308480.01600,3200947239443326.00000,
2015,260636433530976.00000,176764228213536.00000,551455429267728.19000,1278388687976640.00000,90157782246912.00000,6129773651520.00000,7444179555408.00000,3065457792281876.50000,
2016,989563779882432.00000,328740986033856.00000,1815615867330289.00000,9022648074546240.00000,176062701953376.00000,50234725334304.00000,58747672560095.98400,54662978678967600.00000,
2017,2576103333387840.00000,503718413190336.00000,1037601574885526.90000,10715070796755840.00000,306992755286496.00000,54372428084736.00000,136502040046896.03000,6248686184226344.00000,
2018,3104194205212416.00000,483231879216000.00000,1394940516409870.50000,13866135815624544.00000,200507978543040.00000,44360537520672.00000,76066121677161.60900,10053784314428976.00000,
