"","grid.cell","pred_FCI","FCI.se","grade"
"1",1,60.7216033877104,1.81637588224506,"B"
"2",2,60.7194571533933,1.81621507852167,"B"
"3",3,60.7181929795545,1.81612060140138,"B"
"4",4,60.7180780756774,1.81611202293949,"B"
"5",5,60.7180780756774,1.81611202293949,"B"
"6",6,60.718135527178,1.81611631195453,"B"
"7",7,60.7180014750389,1.81610630492442,"B"
"8",8,60.7180397751635,1.816109163836,"B"
"9",9,60.7179823251226,1.81610487554058,"B"
"10",10,60.7180780756774,1.81611202293949,"B"
"11",11,60.7182887354615,1.81612775143908,"B"
"12",12,60.7184036457611,1.81613633306782,"B"
"13",13,60.7191889598915,1.81619502044412,"B"
"14",14,60.7191889598915,1.81619502044412,"B"
"15",15,60.7203768187164,1.8162839205596,"B"
"16",16,60.720836735412,1.81631838310641,"B"
"17",17,60.7208942289376,1.81632269287219,"B"
"18",18,60.7216033877104,1.81637588224506,"B"
"19",19,60.7210092186144,1.81633131370225,"B"
"20",20,60.7221784790248,1.81641905712409,"B"
"21",21,60.723137158969,1.8164911115574,"B"
"22",22,60.722887878807,1.81647236582022,"B"
"23",23,60.7216608929043,1.81638019778368,"B"
"24",24,60.7203768187164,1.8162839205596,"B"
"25",25,60.7196678902351,1.81623084504416,"B"
"26",26,60.7195146259101,1.81621937790591,"B"
"27",27,60.7194188388685,1.81621221250567,"B"
"28",28,60.7191314923362,1.81619072350927,"B"
"29",29,60.7196870487135,1.81623227865262,"B"
"30",30,60.7190931811191,1.81618785912614,"B"
"31",31,60.7198403200423,1.81624374924989,"B"
"32",32,60.7194188388685,1.81621221250567,"B"
"33",33,60.7198977983956,1.81624805151665,"B"
"34",34,60.7206259333063,1.81630258433468,"B"
"35",35,60.7218142443661,1.81639170800419,"B"
"36",36,60.7224277124329,1.81643777969375,"B"
"37",37,60.7251703639413,1.81664426547301,"B"
"38",38,60.7240001786633,1.81655606354029,"B"
"39",39,60.7267055810074,1.81676021240491,"B"
"40",40,60.7295089539601,1.81697261323136,"B"
"41",41,60.7321798406077,1.81717579005229,"B"
"42",42,60.7309882783384,1.81708504863886,"B"
"43",43,60.7347756606111,1.81737401811483,"B"
"44",44,60.7214500448046,1.81636437625938,"B"
"45",45,60.7198020016265,1.8162408813123,"B"
"46",46,60.7196870487135,1.81623227865262,"B"
"47",47,60.7223318514855,1.8164305777424,"B"
"48",48,60.718920785458,1.81617497177884,"B"
"49",49,60.7181546778729,1.81611774172217,"B"
"50",50,60.7180397751635,1.816109163836,"B"
"51",51,60.7179823251226,1.81610487554058,"B"
"52",52,60.7178099802551,1.81609201324471,"B"
"53",53,60.7178865770008,1.81609772934098,"B"
"54",54,60.7182504328068,1.81612489128005,"B"
"55",55,60.7187867053923,1.81616495097512,"B"
"56",56,60.7191889598915,1.81619502044412,"B"
"57",57,60.7196870487135,1.81623227865262,"B"
"58",58,60.7204534676088,1.81628966239427,"B"
"59",59,60.7210092186144,1.81633131370225,"B"
"60",60,60.7227153098556,1.81645939277158,"B"
"61",61,60.7214692123275,1.81636581433917,"B"
"62",62,60.7221017951275,1.81641329797046,"B"
