"Year","mm","region","FCI","age_bottom","temp_bottom","nh4_bottom","CHLA","sal_strat","hypoxia_area","nsamples","region2","oxygen_bottom","salinity_.bottom","Period","depth"
1979,8,"LM",17.96126605,35.9363,13.561,0.0468,2.1106,6.0359,0,1,"river",8.2556,15.0335,"1979-83","OS"
1979,8,"MC",51.71203059,35.1471,13.7705,0.0058,1.6629,2.665,0,1,"basin",8.1526,32.6199,"1979-83","OS"
1979,8,"SH",50.91620966,82.6593,13.2181,0.5943,4.8681,2.7422,0,1,"basin",9.3136,17.6527,"1979-83","OS"
1979,8,"SR",31.16456759,33.2253,12.7379,0.0923,1.7177,6.345,0,1,"river",9.0014,8.4435,"1979-83","OS"
1979,8,"WP",75.14693477,67.9729,15.8256,0.3126,2.2181,1.7985,2.0159,1,"basin",3.635,32.0333,"1979-83","OS"
1979,9,"LM",41.85275184,43.9799,16.5535,0.0427,4.5973,5.2726,0,1,"river",7.5209,13.6476,"1979-83","OS"
1979,9,"MC",75.6386881,31.9522,14.7995,0.0035,1.8724,2.0124,0,1,"basin",7.9883,30.8207,"1979-83","OS"
1979,9,"SR",35.11585782,30.5362,17.05965,0.06855,4.3573,3.5658,0,2,"river",8.1458,4.4528,"1979-83","OS"
1979,9,"WP",82.22443162,79.3519,16.4911,0.0303,14.8105,0.5614,3.8742,1,"basin",8.3729,19.0576,"1979-83","OS"
1979,10,"SR",41.80472479,77.2467,17.8446,8e-04,33.8216,0.3769,0,1,"river",8.1903,17.9979,"1979-83","OS"
1979,11,"LM",48.26668097,69.2439,16.6787,0.0363,50.1426,3.8041,2.0422,1,"river",8.2033,16.3367,"1979-83","OS"
1979,11,"MC",60.77661435,38.8523,16.9334,0.0126,13.2909,0.9954,0,1,"basin",7.7643,32.557,"1979-83","OS"
1979,11,"SH",30.79474228,125.7834,19.1607,0.0223,13.5285,0.1423,2.3084,1,"basin",8.1143,23.4251,"1979-83","OS"
1979,11,"SR",38.16911969,67.6509,19.206,0.0061,31.6192,2.5284,0,1,"river",8.1236,10.8966,"1979-83","OS"
1979,11,"WP",56.47905306,88.8873,16.0328,0.0312,14.1503,0.6122,10.0417,1,"basin",7.6655,34.547,"1979-83","OS"
1979,12,"LM",63.87919978,87.4721,20.3323,0.0271,62.0723,2.2248,1.7273,1,"river",7.1672,21.6056,"1979-83","OS"
1979,12,"MC",63.47000777,21.4085,20.6874,0.0124,21.7786,0.0605,0.5245,1,"basin",7.3377,35.6857,"1979-83","OS"
1979,12,"SH",47.09089084,143.3323,18.504,0.0204,50.0958,1.1633,3.0443,1,"basin",7.943,24.2182,"1979-83","OS"
1979,12,"SR",48.58532254,105.25465,20.0688,0.00095,64.7553,0.22215,0,2,"river",7.46995,24.9458,"1979-83","OS"
1979,12,"WP",25.75025762,97.9586,17.4933,0.0411,37.9191,0.3965,10.7761,1,"basin",7.1802,30.705,"1979-83","OS"
1980,2,"LM",48.31515677,125.0333,22.435,0.0377,33.5072,1.6439,4.6006,1,"river",6.7294,38.1567,"1979-83","OS"
1980,2,"MC",73.38930664,47.9214,22.9855,0.094,2.9688,0.0817,1.0221,1,"basin",6.279,38.9522,"1979-83","OS"
1980,2,"SH",62.74289273,194.5579,25.3817,0.0424,11.6686,0.1304,4.3804,1,"basin",6.2843,36.3902,"1979-83","OS"
1980,2,"SR",43.08505331,180.9293,22.8871,0.0231,25.62755,0.5132,0.04925,2,"river",6.2309,51.0541,"1979-83","OS"
1980,2,"WP",39.67064429,133.114,22.1221,0.0448,3.6991,0.1025,22.8573,1,"basin",5.8845,39.8561,"1979-83","OS"
