date,flow
1/01/2015,0.044295625
2/01/2015,0.043547768
3/01/2015,0.044295625
4/01/2015,0.043547768
5/01/2015,0.039207432
6/01/2015,0.037816186
7/01/2015,0.038508357
8/01/2015,0.036452488
9/01/2015,0.033162905
10/01/2015,0.031894593
11/01/2015,0.031894593
12/01/2015,0.03065324
13/01/2015,0.03065324
14/01/2015,0.03065324
15/01/2015,0.031270555
16/01/2015,0.03065324
17/01/2015,0.031270555
18/01/2015,0.031270555
19/01/2015,0.031894593
20/01/2015,0.031270555
21/01/2015,0.028250884
22/01/2015,0.028250884
23/01/2015,0.028250884
24/01/2015,0.027089621
25/01/2015,0.025954791
26/01/2015,0.024301825
27/01/2015,0.025397249
28/01/2015,0.028250884
29/01/2015,0.024301825
30/01/2015,0.02651891
31/01/2015,0.0227076
1/02/2015,0.0227076
2/02/2015,0.113782049
3/02/2015,0.241385861
4/02/2015,0.111246914
5/02/2015,0.062557166
6/02/2015,0.051344847
7/02/2015,0.043547768
8/02/2015,0.039913427
9/02/2015,0.037816186
10/02/2015,0.035116206
11/02/2015,0.031894593
12/02/2015,0.031270555
13/02/2015,0.033162905
14/02/2015,0.031894593
15/02/2015,0.029438714
16/02/2015,0.030042631
17/02/2015,0.02766694
18/02/2015,0.028250884
19/02/2015,0.02766694
20/02/2015,0.024846265
21/02/2015,0.024846265
22/02/2015,0.031270555
23/02/2015,0.0227076
24/02/2015,0.021677199
25/02/2015,0.024301825
26/02/2015,0.0227076
27/02/2015,0.020672578
28/02/2015,0.020179893
1/03/2015,0.024301825
2/03/2015,0.022189169
3/03/2015,0.022189169
4/03/2015,0.020179893
5/03/2015,0.019693604
6/03/2015,0.020179893
7/03/2015,0.018740149
8/03/2015,0.017357524
9/03/2015,0.018272949
10/03/2015,0.021171674
11/03/2015,0.021171674
12/03/2015,0.020179893
13/03/2015,0.023763912
14/03/2015,0.051344847
15/03/2015,0.045812458
16/03/2015,0.038508357
17/03/2015,0.033162905
18/03/2015,0.036452488
19/03/2015,0.035116206
20/03/2015,0.031270555
21/03/2015,0.02884147
22/03/2015,0.028250884
23/03/2015,0.025954791
24/03/2015,0.025397249
25/03/2015,0.025397249
26/03/2015,0.025397249
27/03/2015,0.035116206
28/03/2015,0.02766694
29/03/2015,0.025397249
30/03/2015,0.023232509
31/03/2015,0.02884147
1/04/2015,0.031894593
2/04/2015,0.02651891
3/04/2015,0.024846265
4/04/2015,0.024846265
5/04/2015,0.022189169
6/04/2015,0.023763912
7/04/2015,0.07401537
8/04/2015,0.20740993
9/04/2015,0.171516893
10/04/2015,0.139513101
11/04/2015,0.094404351
12/04/2015,0.181368553
13/04/2015,0.111246914
14/04/2015,0.082259712
15/04/2015,0.07401537
16/04/2015,0.066256857
17/04/2015,0.064392157
18/04/2015,0.064392157
19/04/2015,0.065320785
20/04/2015,0.062557166
21/04/2015,0.064392157
22/04/2015,0.063470956
23/04/2015,0.062557166
24/04/2015,0.062557166
25/04/2015,0.064392157
26/04/2015,0.062557166
27/04/2015,0.062557166
28/04/2015,0.062557166
29/04/2015,0.062557166
30/04/2015,0.062557166
1/05/2015,0.061650771
2/05/2015,0.061650771
3/05/2015,0.077049615
4/05/2015,0.073019159
5/05/2015,0.062557166
6/05/2015,0.058098809
7/05/2015,0.058098809
8/05/2015,0.057229141
9/05/2015,0.05636677
10/05/2015,0.058098809
11/05/2015,0.057229141
12/05/2015,0.057229141
13/05/2015,0.058098809
14/05/2015,0.058098809
15/05/2015,0.058098809
16/05/2015,0.161982722
17/05/2015,0.479633914
18/05/2015,0.482605661
19/05/2015,0.184723604
20/05/2015,0.108744304
21/05/2015,0.086566689
22/05/2015,0.086566689
23/05/2015,0.080152622
24/05/2015,0.081202314
25/05/2015,0.078076288
26/05/2015,0.079110618
27/05/2015,0.077049615
28/05/2015,0.077049615
29/05/2015,0.076030581
30/05/2015,0.079110618
31/05/2015,0.078076288
1/06/2015,0.077049615
2/06/2015,0.096714557
3/06/2015,0.095555495
4/06/2015,0.081202314
5/06/2015,0.078076288
6/06/2015,0.079110618
7/06/2015,0.081202314
8/06/2015,0.078076288
9/06/2015,0.077049615
10/06/2015,0.07401537
11/06/2015,0.072030523
12/06/2015,0.072030523
13/06/2015,0.072030523
14/06/2015,0.070075909
15/06/2015,0.069109898
16/06/2015,0.068151397
17/06/2015,0.070075909
18/06/2015,0.099056503
19/06/2015,0.385059743
20/06/2015,0.184723604
21/06/2015,0.897941893
22/06/2015,0.428015474
23/06/2015,0.231644805
24/06/2015,0.188114456
25/06/2015,0.171516893
26/06/2015,0.161982722
27/06/2015,0.152762504
28/06/2015,0.145316262
29/06/2015,0.139513101
30/06/2015,0.135249778
1/07/2015,0.133845545
2/07/2015,0.146788363
3/07/2015,0.161982722
4/07/2015,0.13808354
5/07/2015,0.136662438
6/07/2015,0.140951138
7/07/2015,0.186414547
8/07/2015,0.165125721
9/07/2015,0.136662438
10/07/2015,0.131062291
11/07/2015,0.126950197
12/07/2015,0.12158392
13/07/2015,0.120263048
14/07/2015,0.117646025
15/07/2015,0.116349842
16/07/2015,0.112510408
17/07/2015,0.111246914
18/07/2015,0.115061855
19/07/2015,0.116349842
20/07/2015,0.442000432
21/07/2015,0.291470311
22/07/2015,0.196749073
23/07/2015,0.25136336
24/07/2015,0.191541239
25/07/2015,0.168303734
26/07/2015,0.15733359
27/07/2015,0.152762504
28/07/2015,0.186414547
29/07/2015,0.181368553
30/07/2015,0.176402816
31/07/2015,0.362081491
1/08/2015,0.227814129
2/08/2015,0.176402816
3/08/2015,0.165125721
4/08/2015,0.161982722
5/08/2015,0.15733359
6/08/2015,0.15733359
7/08/2015,0.165125721
8/08/2015,0.249348846
9/08/2015,0.241385861
10/08/2015,0.272035876
11/08/2015,0.220264763
12/08/2015,0.183041612
13/08/2015,0.176402816
14/08/2015,0.171516893
15/08/2015,0.166710342
16/08/2015,0.160424312
17/08/2015,0.218400656
18/08/2015,0.205610309
19/08/2015,0.265732981
