Cell,Age,Oxy,Sal,Period
1,2.8032,230.1591,35.8063,2016-18
2,0.7709,229.3226,35.8018,2016-18
3,0.0479,229.0354,35.8002,2016-18
4,0.0434,229.0181,35.8001,2016-18
5,0.0395,229.0154,35.8001,2016-18
6,0.0592,229.0077,35.8002,2016-18
7,0.0444,229.0078,35.8002,2016-18
8,0.0698,229.0001,35.8002,2016-18
9,0.1154,228.9833,35.8003,2016-18
10,0.1866,228.9942,35.8006,2016-18
11,0.2972,229.0583,35.8017,2016-18
12,0.2849,229.0516,35.8019,2016-18
13,0.3555,229.0851,35.8020,2016-18
14,0.5019,229.1760,35.8025,2016-18
15,0.5965,229.1980,35.8032,2016-18
16,0.8090,229.3204,35.8038,2016-18
17,0.9251,229.3907,35.8039,2016-18
18,1.2415,229.5468,35.8063,2016-18
19,1.1232,229.4745,35.8046,2016-18
20,1.4355,229.5804,35.8057,2016-18
21,1.7203,229.6807,35.8063,2016-18
22,1.9706,229.7654,35.8075,2016-18
23,2.0759,229.7784,35.8067,2016-18
24,2.1605,229.7921,35.8063,2016-18
25,2.3238,229.8559,35.8057,2016-18
26,2.5625,229.9144,35.8059,2016-18
27,3.1038,230.0662,35.8050,2016-18
28,4.1196,230.3456,35.8028,2016-18
29,4.6863,230.5776,35.8006,2016-18
30,5.2911,230.7667,35.7960,2016-18
31,6.0045,231.0594,35.7924,2016-18
32,5.3844,230.7806,35.7903,2016-18
33,6.3467,231.1396,35.7859,2016-18
34,7.3817,231.5191,35.7822,2016-18
35,7.1208,231.4093,35.7789,2016-18
36,3.3371,230.0621,35.7883,2016-18
37,7.3346,231.2403,35.7728,2016-18
38,3.2412,229.9656,35.7877,2016-18
39,4.5723,230.0395,35.7795,2016-18
40,4.2680,229.7711,35.7800,2016-18
41,8.0222,230.0508,35.7575,2016-18
42,7.1762,229.7640,35.7610,2016-18
43,10.6327,229.5836,35.7364,2016-18
44,2.9447,230.2150,35.8072,2016-18
45,1.0102,229.4022,35.8022,2016-18
46,0.7905,229.3221,35.8018,2016-18
47,3.7274,230.4888,35.8064,2016-18
48,0.4561,229.1591,35.8014,2016-18
49,0.0851,229.0145,35.8005,2016-18
50,0.1135,229.0043,35.8005,2016-18
51,0.1064,228.9971,35.8007,2016-18
52,0.1540,229.0025,35.8010,2016-18
53,0.2942,229.0674,35.8021,2016-18
54,0.3529,229.0984,35.8030,2016-18
55,0.5825,229.2144,35.8030,2016-18
56,0.8335,229.3887,35.8057,2016-18
57,0.8337,229.3627,35.8047,2016-18
58,1.1016,229.5096,35.8065,2016-18
59,1.2424,229.5475,35.8064,2016-18
60,1.6501,229.7153,35.8069,2016-18
61,1.5564,229.7073,35.8075,2016-18
62,1.7164,229.7385,35.8075,2016-18
63,1.9970,229.8501,35.8082,2016-18
64,2.2952,229.9476,35.8091,2016-18
65,2.4987,229.9835,35.8088,2016-18
66,2.6207,230.0120,35.8080,2016-18
67,2.8300,230.0727,35.8073,2016-18
68,3.0739,230.1307,35.8070,2016-18
69,3.5869,230.2774,35.8058,2016-18
70,4.2216,230.4578,35.8044,2016-18
71,5.6695,231.0349,35.7966,2016-18
72,6.7160,231.3806,35.7895,2016-18
73,4.6149,230.6393,35.8032,2016-18
74,7.5502,231.6582,35.7839,2016-18
75,7.9942,231.8433,35.7812,2016-18
76,8.6598,232.0359,35.7750,2016-18
77,8.6293,231.9089,35.7734,2016-18
78,9.4848,231.9450,35.7634,2016-18
79,7.5625,230.5687,35.7638,2016-18
80,9.9470,230.9136,35.7503,2016-18
81,11.1064,230.8898,35.7418,2016-18
82,11.0727,230.1369,35.7353,2016-18
83,12.6773,231.3146,35.7284,2016-18
84,13.2443,231.1511,35.7234,2016-18
85,13.6991,229.6981,35.7106,2016-18
86,13.4842,230.3586,35.7170,2016-18
87,2.5373,230.0860,35.8070,2016-18
88,1.2735,229.5002,35.8030,2016-18
89,1.0253,229.4022,35.8020,2016-18
90,3.7979,230.5224,35.8053,2016-18
91,2.5498,230.0904,35.8075,2016-18
92,0.7831,229.2888,35.8019,2016-18
93,0.4644,229.1538,35.8015,2016-18
94,0.3659,229.1028,35.8016,2016-18
95,0.1645,229.0156,35.8011,2016-18
96,0.7560,229.2682,35.8022,2016-18
97,0.5261,229.1749,35.8019,2016-18
98,0.2255,229.0374,35.8016,2016-18
99,0.5462,229.2077,35.8044,2016-18
100,0.5772,229.2057,35.8041,2016-18
101,0.8225,229.3765,35.8056,2016-18
102,1.1024,229.5172,35.8065,2016-18
103,1.1431,229.5409,35.8068,2016-18
104,1.1635,229.5640,35.8069,2016-18
105,1.5124,229.6931,35.8085,2016-18
106,1.5636,229.7334,35.8089,2016-18
107,2.0329,229.9014,35.8095,2016-18
108,1.8481,229.8474,35.8088,2016-18
109,1.9454,229.8732,35.8094,2016-18
110,2.3713,230.0050,35.8103,2016-18
111,2.7047,230.0636,35.8102,2016-18
112,2.8882,230.1065,35.8095,2016-18
113,3.2021,230.2218,35.8086,2016-18
114,3.4083,230.2709,35.8073,2016-18
115,3.7283,230.3843,35.8067,2016-18
116,4.0589,230.4848,35.8070,2016-18
117,6.2316,231.2953,35.7941,2016-18
118,6.8016,231.4844,35.7907,2016-18
119,7.1811,231.6485,35.7861,2016-18
120,5.3098,230.9858,35.8000,2016-18
121,5.9513,231.1924,35.7962,2016-18
122,7.8845,231.8716,35.7802,2016-18
123,4.5980,230.6987,35.8054,2016-18
124,5.0935,230.8937,35.8024,2016-18
125,8.7578,231.9857,35.7716,2016-18
126,8.9276,232.0453,35.7719,2016-18
127,9.9373,231.6901,35.7566,2016-18
128,10.4518,231.5281,35.7496,2016-18
129,11.3141,231.4369,35.7416,2016-18
130,12.0147,231.6232,35.7343,2016-18
131,13.2091,231.6658,35.7243,2016-18
132,13.6233,231.3431,35.7191,2016-18
133,12.4656,232.0695,35.7321,2016-18
134,12.0008,232.3114,35.7375,2016-18
135,16.1637,229.7191,35.6872,2016-18
136,15.5584,230.1020,35.6970,2016-18
137,15.0748,230.6678,35.7039,2016-18
138,1.2806,229.4971,35.8034,2016-18
139,1.2130,229.4673,35.8032,2016-18
140,0.7607,229.2706,35.8028,2016-18
141,1.1807,229.4344,35.8037,2016-18
142,1.1806,229.4474,35.8034,2016-18
143,3.8522,230.5571,35.8061,2016-18
144,2.5525,230.1075,35.8077,2016-18
145,1.2887,229.4948,35.8047,2016-18
146,0.5259,229.1743,35.8023,2016-18
147,0.4639,229.1537,35.8024,2016-18
148,0.4015,229.1208,35.8024,2016-18
149,0.5924,229.2280,35.8039,2016-18
150,0.5859,229.2033,35.8030,2016-18
151,0.9269,229.4393,35.8062,2016-18
152,0.9784,229.4766,35.8061,2016-18
153,1.2951,229.6453,35.8078,2016-18
154,1.5111,229.7340,35.8084,2016-18
155,1.6484,229.8317,35.8091,2016-18
156,1.8395,229.8828,35.8098,2016-18
157,2.1702,229.9797,35.8106,2016-18
158,2.3495,230.0054,35.8106,2016-18
159,2.0113,229.9163,35.8099,2016-18
160,2.7119,230.0945,35.8108,2016-18
161,2.8354,230.1094,35.8110,2016-18
162,3.0453,230.1601,35.8104,2016-18
163,3.1050,230.1686,35.8102,2016-18
164,3.3258,230.2365,35.8093,2016-18
165,3.5827,230.3602,35.8090,2016-18
166,3.9728,230.4954,35.8085,2016-18
167,4.3641,230.6243,35.8071,2016-18
168,6.6886,231.4396,35.7904,2016-18
169,7.5466,231.7825,35.7835,2016-18
170,6.9346,231.3804,35.7868,2016-18
171,7.7579,231.7075,35.7803,2016-18
172,5.4550,231.0575,35.7998,2016-18
173,5.9155,231.1859,35.7963,2016-18
174,6.1563,231.1405,35.7926,2016-18
175,9.0129,231.7760,35.7664,2016-18
176,4.6789,230.7260,35.8049,2016-18
177,5.2331,230.9166,35.8012,2016-18
178,10.9382,231.4752,35.7461,2016-18
179,11.6026,231.7653,35.7393,2016-18
180,9.5065,231.4122,35.7585,2016-18
181,10.4832,231.5919,35.7506,2016-18
182,11.5436,232.1573,35.7415,2016-18
183,13.3103,231.8562,35.7229,2016-18
184,14.6639,231.0510,35.7076,2016-18
185,12.9171,232.1721,35.7281,2016-18
186,12.3918,232.3464,35.7333,2016-18
187,12.5800,232.4223,35.7315,2016-18
188,12.1632,232.0457,35.7348,2016-18
189,17.9935,229.7395,35.6671,2016-18
190,17.2150,229.8629,35.6775,2016-18
191,16.3946,230.2289,35.6880,2016-18
192,15.6896,230.7214,35.6943,2016-18
193,0.9721,229.3625,35.8035,2016-18
194,0.7600,229.2704,35.8032,2016-18
195,0.6740,229.2484,35.8035,2016-18
196,1.1056,229.4273,35.8045,2016-18
197,1.0031,229.3835,35.8039,2016-18
198,1.3139,229.5263,35.8052,2016-18
199,4.0194,230.6740,35.8064,2016-18
200,2.4995,230.0720,35.8077,2016-18
201,2.1568,229.9121,35.8074,2016-18
202,0.6097,229.2216,35.8037,2016-18
203,0.5600,229.2111,35.8036,2016-18
204,0.5121,229.1842,35.8030,2016-18
205,0.8248,229.3693,35.8049,2016-18
206,1.2528,229.6581,35.8074,2016-18
207,0.7151,229.2800,35.8041,2016-18
208,0.6649,229.2572,35.8042,2016-18
