Cell,Age,Oxy,Sal,Period
1,2.4393,226.9511,35.9080,2016-18
2,0.7675,226.0889,35.9025,2016-18
3,0.0533,225.7404,35.9002,2016-18
4,0.0509,225.7149,35.9003,2016-18
5,0.0488,225.7112,35.9001,2016-18
6,0.0724,225.7008,35.9000,2016-18
7,0.0717,225.6969,35.9001,2016-18
8,0.1038,225.6866,35.9000,2016-18
9,0.1701,225.6623,35.9006,2016-18
10,0.2329,225.6727,35.9010,2016-18
11,0.3665,225.7455,35.9023,2016-18
12,0.3475,225.7547,35.9023,2016-18
13,0.5243,225.8709,35.9026,2016-18
14,0.6081,225.9217,35.9033,2016-18
15,0.6909,225.9698,35.9045,2016-18
16,0.8904,226.1109,35.9061,2016-18
17,1.1835,226.2774,35.9073,2016-18
18,1.2933,226.3394,35.9081,2016-18
19,1.4687,226.3914,35.9077,2016-18
20,1.6642,226.4846,35.9090,2016-18
21,1.9390,226.6005,35.9097,2016-18
22,2.2823,226.6680,35.9117,2016-18
23,2.6194,226.4566,35.9112,2016-18
24,2.7100,225.8878,35.9060,2016-18
25,2.6778,225.6572,35.9044,2016-18
26,2.6492,225.4955,35.9039,2016-18
27,2.2261,225.5696,35.9036,2016-18
28,1.2701,225.5688,35.9017,2016-18
29,2.8816,224.9022,35.9005,2016-18
30,2.3044,224.9940,35.8989,2016-18
31,1.9503,224.7861,35.8995,2016-18
32,0.8307,225.3312,35.8986,2016-18
33,0.5538,225.3965,35.8987,2016-18
34,1.3859,224.8302,35.8969,2016-18
35,1.6885,224.3666,35.8958,2016-18
36,0.4552,225.4640,35.8983,2016-18
37,1.0022,225.0422,35.8965,2016-18
38,0.5671,225.4926,35.8972,2016-18
39,1.7805,225.1847,35.8914,2016-18
40,2.7025,224.8627,35.8854,2016-18
41,4.1332,224.3537,35.8759,2016-18
42,3.8957,224.3519,35.8723,2016-18
43,5.6913,223.4472,35.8555,2016-18
44,2.6375,227.0288,35.9078,2016-18
45,0.9771,226.1601,35.9032,2016-18
46,0.7757,226.0787,35.9022,2016-18
47,3.0597,227.2948,35.9085,2016-18
48,0.4722,225.8786,35.9015,2016-18
49,0.1012,225.7064,35.9002,2016-18
50,0.1393,225.6874,35.9006,2016-18
51,0.1402,225.6772,35.9005,2016-18
52,0.2012,225.6821,35.9012,2016-18
53,0.3154,225.7195,35.9025,2016-18
54,0.3947,225.7587,35.9024,2016-18
55,0.5374,225.8332,35.9046,2016-18
56,0.6275,225.9271,35.9055,2016-18
57,0.7318,226.0120,35.9066,2016-18
58,0.8638,226.1384,35.9072,2016-18
59,1.0266,226.2243,35.9075,2016-18
60,1.5411,226.4697,35.9088,2016-18
61,1.0687,226.2779,35.9085,2016-18
62,1.4197,226.4346,35.9084,2016-18
63,1.7982,226.5794,35.9098,2016-18
64,2.1851,226.6668,35.9126,2016-18
65,2.6635,226.4652,35.9109,2016-18
66,2.9258,225.7409,35.9058,2016-18
