Cell,Age,Oxy,Sal,Period
145,4.4920,213.3484,35.9742,2016-18
146,2.7034,214.2478,35.9831,2016-18
147,2.1762,214.7250,35.9852,2016-18
148,1.4764,215.3088,35.9906,2016-18
149,3.2758,213.3444,35.9826,2016-18
150,3.4297,213.6432,35.9768,2016-18
151,2.8646,213.5796,35.9893,2016-18
152,3.5618,213.0211,35.9843,2016-18
153,3.3931,213.0152,35.9909,2016-18
154,2.7895,213.6384,35.9981,2016-18
155,3.5316,212.9108,35.9973,2016-18
156,3.1703,213.3391,35.9987,2016-18
157,3.6110,212.9714,35.9983,2016-18
158,3.6139,212.9694,36.0018,2016-18
159,3.5331,212.9418,35.9996,2016-18
160,3.9275,212.5937,36.0033,2016-18
161,3.8750,212.5860,36.0093,2016-18
162,4.1526,212.3271,36.0081,2016-18
163,3.9865,212.6225,36.0120,2016-18
164,4.1987,212.6042,36.0100,2016-18
165,4.0298,213.0108,36.0158,2016-18
166,4.3816,212.5572,36.0079,2016-18
167,4.4764,212.6252,36.0041,2016-18
168,4.8211,212.9209,35.9987,2016-18
169,4.8857,212.9692,35.9891,2016-18
170,5.4077,212.0745,36.0049,2016-18
171,5.6820,211.8685,35.9953,2016-18
172,4.7352,212.6582,35.9964,2016-18
173,4.9714,212.4390,35.9985,2016-18
174,5.3215,211.9686,36.0009,2016-18
175,6.0730,211.8625,35.9884,2016-18
176,4.7305,212.1756,36.0005,2016-18
177,4.8694,212.1721,35.9990,2016-18
178,7.3926,212.0700,35.9771,2016-18
179,8.0207,212.0616,35.9733,2016-18
180,6.7376,211.7597,35.9857,2016-18
181,7.3867,211.8346,35.9801,2016-18
182,8.4594,211.7585,35.9736,2016-18
183,11.2652,211.2311,35.9599,2016-18
184,12.6460,210.7656,35.9530,2016-18
185,10.0793,211.4685,35.9673,2016-18
186,9.2347,211.5227,35.9741,2016-18
187,9.8759,211.2372,35.9746,2016-18
188,9.1871,211.2924,35.9804,2016-18
189,15.0225,210.6271,35.8971,2016-18
190,14.5287,210.6804,35.9142,2016-18
191,14.3353,210.4211,35.9332,2016-18
192,13.9779,210.2532,35.9470,2016-18
