Sampling Date,Num of Timesteps,Min Temp (Bottom),Mean Temp (Bottom),Max Temp (Bottom),Min Temp (Surface),Mean Temp (Surface),Max Temp (Surface),Min Salinity (Bottom),Mean Salinity (Bottom),Max Salinity (Bottom),Min Salinity (Surface),Mean Salinity (Surface),Max Salinity (surface),Min Oxygen (Bottom),Mean Oxygen (Bottom),Max Oxygen (Bottom),Min Oxygen (Surface),Mean Oxygen (Surface),Max Oxygen (surface),Oxygen Timesteps below 4 (Bottom),Oxygen Timesteps below 4 (Surface),Min Retention (Bottom),Mean Retention (Bottom),Max Retention (Bottom),Min Retention (Surface),Mean Retention (Surface),Max Retention (surface),Min NH4 (Bottom),Mean NH4 (Bottom),Max NH4 (Bottom),Min NH4 (Surface),Mean NH4 (Surface),Max NH4 (surface)
20160516,372,16.6837,17.8839,19.9332,15.1698,17.6793,20.1742,35.9583,36.8851,38.1130,25.1465,26.7572,30.3350,4.2394,5.1841,5.9299,6.9718,7.6888,8.0256, , ,67.0229,71.8231,78.4005,68.5960,70.3390,73.0109,0.0035,0.0049,0.0059,0.0035,0.0039,0.0042,
20161031,372,18.7932,19.7855,20.4891,16.5504,18.5660,21.0981,11.9871,18.3153,24.5604,4.6073,6.4526,10.3261,5.1665,5.9014,6.5321,7.2794,7.7267,8.1163, , ,23.1736,36.8475,50.0874,7.7807,13.4338,22.2190,0.0100,0.0116,0.0137,0.0142,0.0158,0.0170,
20170216,372,23.8419,24.4730,25.2138,23.1865,25.7671,29.5477,31.5318,32.7990,34.2988,28.8259,29.8990,31.2318,5.9569,6.4297,7.0526,6.6702,6.9423,7.3136, , ,61.7339,63.9280,65.0188,61.9249,64.6803,66.4529,0.0030,0.0035,0.0040,0.0034,0.0037,0.0039,
20160720,372,11.3291,11.5396,11.7730,10.2956,10.8346,11.3216,31.8244,32.4050,33.4080,16.4817,18.0829,19.9166,6.0867,6.1848,6.2989,7.7207,7.8515,7.9821, , ,66.0616,71.7427,78.2774,33.8436,37.1459,42.3965,0.0101,0.0107,0.0112,0.0127,0.0131,0.0135,
20170424,372,19.3144,22.4739,23.9949,18.2729,21.7074,27.3525,29.6777,32.0472,34.6826,19.8880,21.8370,26.4596,4.0211,5.2932,6.6504,6.6026,7.0943,8.0665, , ,48.1246,54.5074,60.4413,39.1386,44.6368,52.7520,0.0063,0.0094,0.0133,0.0087,0.0141,0.0195,
20171010,
20180111,
20170615,372,12.8572,12.8657,12.8743,13.1208,13.1621,13.2034,32.4809,32.5941,32.7074,21.4208,21.9148,22.4087,5.7880,5.8421,5.8961,6.8583,6.8956,6.9328, , ,65.2684,65.4706,65.6727,48.3611,49.1744,49.9878,0.0087,0.0088,0.0088,0.0106,0.0107,0.0108,
