"","grid.cell","pred_FCI","FCI.se","grade"
"1",19337,47.4163258698385,4.04562422873429,"C"
"2",21714,60.2855088067779,6.42722050449187,"B"
"3",21732,57.9118248955181,5.58599907419812,"B"
"4",21746,47.524989058312,4.10609803739887,"C"
"5",21747,47.4460715848639,4.11916895325167,"C"
"6",21750,54.6258151773321,4.636320770621,"B"
"7",21759,48.5029198373184,4.03640535656049,"C"
"8",21760,47.3846825652799,4.11791484105402,"C"
"9",21761,46.8202137015621,4.18906704930951,"C"
"10",21762,46.830559903544,4.19439151028791,"C"
"11",21765,50.8490766217407,4.06484265044011,"C"
"12",21774,47.8218701124216,4.08010746559589,"C"
"13",21775,46.9219092044036,4.17527542435901,"C"
"14",21776,46.3861839333488,4.25553181033526,"C"
"15",21777,46.322989172537,4.27242513495668,"C"
"16",21780,47.7671345333379,4.16829155795462,"C"
"17",21789,47.5892959847712,4.10576847643156,"C"
"18",21790,46.8776023630521,4.18717825286778,"C"
"19",21791,46.2882239572229,4.27620930127313,"C"
"20",21792,46.0448304642458,4.32256749291517,"C"
"21",21795,46.2642754696974,4.4029861478164,"C"
"22",21804,47.5928507208004,4.11028393342786,"C"
"23",21805,47.0231270812709,4.17402023127347,"C"
"24",21806,46.3755807388453,4.26711854379815,"C"
"25",21807,45.9975941965089,4.33421848320018,"C"
"26",21810,46.0395832721084,4.42912340064651,"C"
"27",21811,46.0104513418135,4.36809737475814,"C"
"28",21812,46.1591955230474,4.41064278801465,"C"
"29",21821,47.59477969277,4.11248267848904,"C"
"30",21822,47.1459991772701,4.16320675829795,"C"
"31",21823,46.525236699664,4.24844363482902,"C"
"32",21824,46.0452543128216,4.32910782391922,"C"
"33",21827,46.1469238211017,4.38693478218354,"C"
"34",21828,46.2755007894884,4.32068013423519,"C"
"35",21829,46.4459688974919,4.34850079674114,"C"
"36",21830,45.9108945490498,4.36627396119204,"C"
"37",21831,46.2526217816485,4.30627114111847,"C"
"38",21832,46.5062401695278,4.35531683836528,"C"
"39",21833,46.8069181617284,4.30006569244792,"C"
"40",21842,47.3173004590713,4.145244323564,"C"
"41",21843,47.0692669060958,4.17682708434781,"C"
"42",21844,46.5692255707551,4.24670120017486,"C"
"43",21845,46.0358362524711,4.33484818892537,"C"
"44",21848,46.4996574616242,4.31236584530907,"C"
"45",21849,46.5299424174775,4.28006145385961,"C"
"46",21850,46.7848625265528,4.28626343101466,"C"
"47",21851,46.5322367692097,4.26251648653703,"C"
"48",21852,47.0967936055314,4.25237327757366,"C"
"49",21853,45.956361541874,4.35266811354148,"C"
"50",21854,46.3927071966985,4.27794279169124,"C"
"51",21855,46.7845129192634,4.21891680812125,"C"
"52",21856,46.9400034879736,4.29161748533144,"C"
"53",21857,47.2170321258264,4.24804322032131,"C"
"54",21858,47.4519526562888,4.21381636553713,"C"
"55",21867,46.9824028378989,4.19169971460363,"C"
"56",21868,46.810200647698,4.22841724316677,"C"
"57",21871,46.8541224282497,4.25292413777544,"C"
"58",21872,46.7562314387581,4.2474154425853,"C"
"59",21873,47.0298749969683,4.24518585436882,"C"
"60",21874,46.7190331698822,4.23699127556198,"C"
"61",21875,47.2771961244338,4.22366495887564,"C"
"62",21876,47.5844946248833,4.19435925915875,"C"
"63",21877,47.3768809574581,4.235080244962,"C"
"64",21878,47.6422245840363,4.20002356880661,"C"
"65",21879,47.8448538755875,4.17469570642776,"C"
"66",21880,47.9484010248602,4.16089015695235,"C"
"67",21889,46.9195736860949,4.22107002497531,"C"
"68",21890,46.7916735574193,4.24510676065445,"C"
"69",21891,46.9257662648324,4.22465368412618,"C"
"70",21894,47.8290547800491,4.18297306769636,"C"
"71",21895,48.0301890267919,4.16156427033788,"C"
"72",21896,48.2254332409297,4.14119582405349,"C"
"73",21897,48.3232530163538,4.13004083724563,"C"
"74",21906,47.0117912309002,4.21956089766379,"C"
"75",21907,46.8846905733344,4.24245004715081,"C"
"76",21910,48.3996636755511,4.1247986235233,"C"
"77",21911,48.4461309252261,4.12379486099358,"C"
"78",21912,48.5688148111441,4.11497571962918,"C"
"79",21913,48.6160380396342,4.11214387048673,"C"
"80",21922,47.0852369924023,4.22115978048448,"C"
"81",21923,47.041983059377,4.23288983723009,"C"
"82",21927,48.6951210135962,4.10844388874203,"C"
"83",21928,48.7822728916715,4.10435668242228,"C"
"84",21929,48.827235805862,4.10242169883156,"C"
"85",21936,47.2305894455931,4.21269397466048,"C"
"86",21937,47.2105050835404,4.21933572851559,"C"
"87",21941,48.8960854499739,4.09906779194499,"C"
"88",21942,48.909713184105,4.10021590934123,"C"
"89",21943,48.9263838670241,4.10030330859888,"C"
"90",21950,47.4257150345889,4.19768384770394,"C"
"91",21951,47.4053406751201,4.20165644750891,"C"
"92",21955,49.3331403673057,4.08057625056217,"C"
"93",21957,49.0627349494235,4.09148259349452,"C"
