"","grid.cell","pred_FCI","FCI.se","grade"
"1",20183,70.3730670600093,5.48019393352185,"B"
"2",20422,70.376634218541,5.47991650808521,"B"
"3",20434,71.0970666357907,5.80171396192536,"A"
"4",20649,71.3012979796046,6.1668419387059,"A"
"5",20650,71.2997356197555,6.16697882921552,"A"
"6",20651,70.3796345027838,5.4796835448022,"B"
"7",20663,70.638639736183,5.4608693915222,"B"
"8",20681,74.6759086612301,8.61742193152541,"A"
"9",20843,73.5910963305071,7.92341518405791,"A"
"10",20844,72.2122205332493,6.86481101244064,"A"
"11",20845,73.1322545491721,7.56908337799552,"A"
"12",20853,70.8434950902419,5.82155712652293,"B"
"13",20854,70.8423336900546,5.82165331178556,"B"
"14",20855,70.3819019985527,5.47950770783987,"B"
"15",20867,72.0171540199997,6.49191916062215,"A"
"16",20881,73.823140678258,7.89978126905497,"A"
"17",20882,74.217608024472,8.26124671565259,"A"
"18",21022,73.1335542115206,7.5689507072953,"A"
"19",21023,70.8358906836117,5.82218778554849,"B"
"20",21024,72.6733712892442,7.21607649784096,"A"
"21",21029,70.8449883190022,5.82143353052317,"B"
"22",21030,70.8441172688991,5.82150561851435,"B"
"23",21031,70.3838791441436,5.47935454641136,"B"
"24",21044,72.016960454557,6.491935348447,"A"
"25",21052,74.2812082003073,8.25473259864035,"A"
"26",21053,74.2208433402105,8.26091293102865,"A"
"27",21169,72.2158153440148,6.86446692427748,"A"
"28",21170,70.8370382578003,5.82209248111501,"B"
"29",21171,72.2137690671591,6.86466274240869,"A"
"30",21177,70.8464262429383,5.82131458740147,"B"
"31",21178,70.3862710753859,5.47916945225712,"B"
"32",21179,70.8447947523143,5.82144954773552,"B"
"33",21185,72.4748067599544,6.84069857329404,"A"
"34",21191,73.8206658038165,7.90002598938951,"A"
"35",21192,74.6845914740523,8.61650523000538,"A"
"36",21294,71.7569044316689,6.51476290340119,"A"
"37",21295,70.3783348405141,5.47978441768689,"B"
"38",21296,71.7535584924689,6.51507060916363,"A"
"39",21302,70.8468548548704,5.82127914748557,"B"
