Cell,Age,Oxy,Sal,Hypoxia,Period
1,3.9230,6.9564,35.7984,0.0000,2016-18
2,1.2944,6.9728,35.7996,0.0000,2016-18
3,0.0624,6.9776,35.8001,0.0000,2016-18
4,0.0459,6.9773,35.8000,0.0000,2016-18
5,0.0394,6.9773,35.8002,0.0000,2016-18
6,0.0570,6.9769,35.8001,0.0000,2016-18
7,0.0482,6.9769,35.8000,0.0000,2016-18
8,0.0688,6.9766,35.8001,0.0000,2016-18
9,0.1021,6.9758,35.8002,0.0000,2016-18
10,0.1709,6.9753,35.8005,0.0000,2016-18
11,0.2609,6.9756,35.8015,0.0000,2016-18
12,0.2428,6.9756,35.8014,0.0000,2016-18
13,0.3033,6.9747,35.8019,0.0000,2016-18
14,0.4316,6.9725,35.8027,0.0000,2016-18
15,0.5750,6.9725,35.8025,0.0000,2016-18
16,0.7973,6.9744,35.8042,0.0000,2016-18
17,1.1419,6.9687,35.8050,0.0000,2016-18
18,1.4340,6.9644,35.8052,0.0000,2016-18
19,1.4767,6.9610,35.8040,0.0000,2016-18
20,2.0469,6.9447,35.8023,0.0000,2016-18
21,2.5687,6.9208,35.8014,0.0000,2016-18
22,3.4015,6.8993,35.8012,0.0000,2016-18
23,4.0783,6.8892,35.7996,0.0000,2016-18
24,4.2381,6.8933,35.7958,0.0000,2016-18
25,3.9933,6.8999,35.7942,0.0000,2016-18
26,3.2798,6.9116,35.7958,0.0000,2016-18
27,1.5723,6.9493,35.7975,0.0000,2016-18
28,0.5501,6.9667,35.7992,0.0000,2016-18
29,3.2723,6.8996,35.7989,0.0000,2016-18
30,0.9693,6.9558,35.7984,0.0000,2016-18
31,1.7700,6.9377,35.7972,0.0000,2016-18
32,0.1671,6.9742,35.7995,0.0000,2016-18
33,0.1668,6.9742,35.7997,0.0000,2016-18
34,0.9318,6.9561,35.8007,0.0000,2016-18
35,1.1874,6.9503,35.8001,0.0000,2016-18
36,0.6338,6.9641,35.7998,0.0000,2016-18
37,1.6406,6.9451,35.8006,0.0000,2016-18
38,2.4664,6.9363,35.8026,0.0000,2016-18
39,7.2062,6.8688,35.8118,0.0000,2016-18
40,10.3565,6.8484,35.8300,0.0000,2016-18
41,12.4716,6.8254,35.8374,0.0000,2016-18
42,13.8795,6.8284,35.8594,0.0000,2016-18
43,17.9946,6.7895,35.8800,0.0000,2016-18
44,4.2522,6.9542,35.7990,0.0000,2016-18
45,1.4611,6.9735,35.8001,0.0000,2016-18
46,1.1984,6.9742,35.7999,0.0000,2016-18
47,4.0501,6.9775,35.8004,0.0000,2016-18
48,0.5663,6.9759,35.8003,0.0000,2016-18
49,0.0850,6.9769,35.8004,0.0000,2016-18
50,0.1080,6.9762,35.8006,0.0000,2016-18
51,0.1019,6.9761,35.8003,0.0000,2016-18
52,0.1592,6.9757,35.8006,0.0000,2016-18
53,0.2560,6.9757,35.8021,0.0000,2016-18
54,0.2955,6.9757,35.8023,0.0000,2016-18
55,0.4489,6.9753,35.8032,0.0000,2016-18
56,0.5672,6.9772,35.8041,0.0000,2016-18
