Cell,Age,Oxy,Sal,Hypoxia,Period
1,2.8492,6.8790,35.9804,0.0000,2016-18
2,0.8267,6.9055,35.9253,0.0000,2016-18
3,0.0568,6.9135,35.9030,0.0000,2016-18
4,0.0568,6.9130,35.9077,0.0000,2016-18
5,0.0569,6.9129,35.9101,0.0000,2016-18
6,0.0864,6.9121,35.9203,0.0000,2016-18
7,0.1074,6.9108,35.9312,0.0000,2016-18
8,0.1388,6.9100,35.9470,0.0000,2016-18
9,0.1941,6.9095,35.9706,0.0000,2016-18
10,0.2606,6.9101,35.9865,0.0000,2016-18
11,0.4135,6.9101,35.9955,0.0000,2016-18
12,0.4053,6.9102,35.9866,0.0000,2016-18
13,0.8365,6.9062,35.9865,0.0000,2016-18
14,1.0169,6.9048,35.9970,0.0000,2016-18
15,1.7154,6.8952,35.9928,0.0000,2016-18
16,2.1040,6.8854,35.9905,0.0000,2016-18
17,1.5397,6.8843,35.9880,0.0000,2016-18
18,1.9875,6.8788,35.9960,0.0000,2016-18
19,1.6769,6.8836,35.9863,0.0000,2016-18
20,2.7909,6.8751,35.9918,0.0000,2016-18
21,3.8809,6.8674,35.9925,0.0000,2016-18
22,4.2040,6.8644,35.9931,0.0000,2016-18
23,3.6806,6.8689,35.9922,0.0000,2016-18
24,2.6061,6.8818,35.9817,0.0000,2016-18
25,1.3793,6.8982,35.9577,0.0000,2016-18
26,0.7615,6.9054,35.9444,0.0000,2016-18
27,0.3359,6.9098,35.9264,0.0000,2016-18
28,0.1172,6.9122,35.9086,0.0000,2016-18
29,0.8807,6.9015,35.9602,0.0000,2016-18
30,0.2202,6.9105,35.9204,0.0000,2016-18
31,0.4084,6.9068,35.9495,0.0000,2016-18
32,0.0997,6.9119,35.9107,0.0000,2016-18
33,0.1253,6.9107,35.9181,0.0000,2016-18
34,0.3571,6.9075,35.9436,0.0000,2016-18
35,0.4336,6.9061,35.9563,0.0000,2016-18
36,0.2383,6.9081,35.9352,0.0000,2016-18
37,0.2858,6.9075,35.9464,0.0000,2016-18
38,0.2864,6.9085,35.9516,0.0000,2016-18
39,0.6911,6.9057,35.9707,0.0000,2016-18
40,0.9227,6.9042,35.9665,0.0000,2016-18
41,4.8443,6.8523,35.9835,0.0000,2016-18
42,4.9263,6.8517,35.9674,0.0000,2016-18
43,10.8089,6.7836,35.9582,0.0000,2016-18
44,3.0503,6.8690,35.9901,0.0000,2016-18
45,0.9235,6.9059,35.9432,0.0000,2016-18
46,0.8809,6.9059,35.9317,0.0000,2016-18
47,3.7046,6.8570,35.9922,0.0000,2016-18
48,0.4920,6.9091,35.9509,0.0000,2016-18
49,0.1159,6.9120,35.9255,0.0000,2016-18
50,0.1617,6.9108,35.9569,0.0000,2016-18
51,0.1693,6.9098,35.9633,0.0000,2016-18
52,0.2613,6.9102,35.9849,0.0000,2016-18
53,0.3689,6.9103,35.9965,0.0000,2016-18
54,0.4267,6.9102,35.9980,0.0000,2016-18
55,0.8911,6.9063,35.9987,0.0000,2016-18
56,1.4268,6.9011,35.9967,0.0000,2016-18
57,1.6786,6.8980,35.9958,0.0000,2016-18
58,2.4607,6.8880,35.9927,0.0000,2016-18
59,2.6955,6.8749,35.9934,0.0000,2016-18
60,3.4442,6.8690,35.9937,0.0000,2016-18
61,3.2156,6.8740,35.9916,0.0000,2016-18
62,4.0309,6.8652,35.9916,0.0000,2016-18
63,4.7300,6.8615,35.9923,0.0000,2016-18
64,5.3483,6.8542,35.9920,0.0000,2016-18
65,5.1520,6.8527,35.9928,0.0000,2016-18
66,4.3023,6.8609,35.9924,0.0000,2016-18
67,3.1063,6.8756,35.9875,0.0000,2016-18
68,1.9856,6.8901,35.9775,0.0000,2016-18
69,1.2852,6.8975,35.9669,0.0000,2016-18
70,1.5113,6.8924,35.9819,0.0000,2016-18
71,2.1828,6.8769,35.9847,0.0000,2016-18
72,1.2306,6.8967,35.9761,0.0000,2016-18
73,3.5898,6.8457,35.9950,0.0000,2016-18
74,0.9798,6.9003,35.9726,0.0000,2016-18
75,1.7039,6.8919,35.9845,0.0000,2016-18
76,1.8267,6.8925,35.9876,0.0000,2016-18
77,0.6651,6.9048,35.9695,0.0000,2016-18
78,1.1806,6.9019,35.9814,0.0000,2016-18
79,1.5090,6.8992,35.9854,0.0000,2016-18
80,3.0153,6.8794,35.9866,0.0000,2016-18
81,4.8589,6.8549,35.9841,0.0000,2016-18
82,7.5507,6.8222,35.9749,0.0000,2016-18
83,10.1169,6.7977,35.9720,0.0000,2016-18
84,10.5330,6.7945,35.9690,0.0000,2016-18
85,14.6276,6.7446,35.9422,0.0000,2016-18
86,10.8326,6.7889,35.9637,0.0000,2016-18
87,3.4612,6.8650,35.9929,0.0000,2016-18
88,0.9707,6.9051,35.9789,0.0000,2016-18
89,0.8962,6.9063,35.9584,0.0000,2016-18
90,4.7773,6.8405,35.9917,0.0000,2016-18
91,3.7375,6.8618,35.9950,0.0000,2016-18
92,0.6638,6.9078,35.9727,0.0000,2016-18
93,0.5201,6.9092,35.9689,0.0000,2016-18
94,0.4480,6.9093,35.9890,0.0000,2016-18
95,0.2249,6.9105,35.9777,0.0000,2016-18
96,0.7025,6.9077,35.9875,0.0000,2016-18
97,0.5737,6.9092,35.9833,0.0000,2016-18
98,0.3074,6.9100,35.9905,0.0000,2016-18
99,0.8023,6.9051,35.9982,0.0000,2016-18
100,0.8241,6.9042,35.9987,0.0000,2016-18
101,1.2023,6.9032,35.9975,0.0000,2016-18
102,1.8799,6.8951,35.9939,0.0000,2016-18
103,2.4017,6.8891,35.9927,0.0000,2016-18
104,1.8432,6.8945,35.9944,0.0000,2016-18
105,2.8549,6.8824,35.9905,0.0000,2016-18
106,3.5436,6.8756,35.9894,0.0000,2016-18
107,5.0626,6.8601,35.9894,0.0000,2016-18
108,4.0036,6.8699,35.9878,0.0000,2016-18
109,5.0626,6.8612,35.9874,0.0000,2016-18
110,6.0298,6.8469,35.9889,0.0000,2016-18
111,6.2687,6.8379,35.9890,0.0000,2016-18
112,5.7215,6.8421,35.9898,0.0000,2016-18
113,4.3937,6.8562,35.9912,0.0000,2016-18
114,2.7552,6.8794,35.9880,0.0000,2016-18
115,1.9751,6.8887,35.9806,0.0000,2016-18
116,3.6920,6.8510,35.9926,0.0000,2016-18
117,3.3830,6.8524,35.9918,0.0000,2016-18
118,4.3955,6.8398,35.9910,0.0000,2016-18
119,1.9905,6.8859,35.9848,0.0000,2016-18
120,5.8978,6.8241,35.9898,0.0000,2016-18
121,6.2743,6.7951,35.9974,0.0000,2016-18
122,3.6441,6.8651,35.9876,0.0000,2016-18
123,5.0492,6.8264,35.9928,0.0000,2016-18
124,6.6573,6.8094,35.9886,0.0000,2016-18
125,4.5101,6.8546,35.9861,0.0000,2016-18
126,2.5471,6.8853,35.9893,0.0000,2016-18
127,2.9944,6.8824,35.9882,0.0000,2016-18
128,6.1483,6.8360,35.9829,0.0000,2016-18
129,7.5520,6.8181,35.9800,0.0000,2016-18
130,10.2481,6.7928,35.9724,0.0000,2016-18
131,12.1471,6.7850,35.9637,0.0000,2016-18
