Cell,Age,Oxy,Sal,Period
1,3.0443,216.3180,36.0026,2016-18
2,0.4890,216.1064,36.0006,2016-18
3,0.0294,216.0695,36.0002,2016-18
4,0.0293,216.0633,36.0002,2016-18
5,0.0254,216.0609,36.0001,2016-18
6,0.0412,216.0548,36.0003,2016-18
7,0.0163,216.0592,36.0001,2016-18
8,0.0328,216.0514,36.0002,2016-18
9,0.0344,216.0462,36.0002,2016-18
10,0.0920,216.0259,36.0006,2016-18
11,0.1414,216.0193,36.0009,2016-18
12,0.1613,216.0133,36.0014,2016-18
13,0.2066,216.0212,36.0019,2016-18
14,0.2958,216.0342,36.0028,2016-18
15,0.3832,216.0771,36.0032,2016-18
16,0.4746,216.2224,36.0057,2016-18
17,0.6247,216.4302,36.0065,2016-18
18,0.8434,216.6247,36.0090,2016-18
19,0.9935,216.5849,36.0090,2016-18
20,1.6006,216.8207,36.0115,2016-18
21,2.3823,216.9500,36.0126,2016-18
22,3.4381,217.0582,36.0137,2016-18
23,5.1060,217.0882,36.0142,2016-18
24,5.6431,216.6163,36.0101,2016-18
25,4.2235,215.3687,36.0004,2016-18
26,2.8591,215.0843,35.9967,2016-18
27,0.9089,215.8428,35.9999,2016-18
28,0.2634,216.0277,35.9998,2016-18
29,0.9549,215.3040,35.9987,2016-18
30,0.9551,215.3068,36.0002,2016-18
31,0.3945,215.7289,35.9987,2016-18
32,0.0926,215.9857,36.0001,2016-18
33,0.4879,215.8659,35.9999,2016-18
34,0.6961,215.6511,35.9989,2016-18
35,0.4473,216.0227,35.9989,2016-18
36,0.0812,216.0543,35.9997,2016-18
37,0.2632,216.0400,35.9993,2016-18
38,0.3043,216.0378,35.9994,2016-18
39,0.4458,216.0252,35.9988,2016-18
40,0.5657,216.0022,35.9983,2016-18
41,1.5152,215.3162,35.9930,2016-18
42,1.5419,215.2784,35.9923,2016-18
43,2.5268,214.4248,35.9837,2016-18
44,2.9173,216.2905,36.0025,2016-18
45,0.7002,216.1135,36.0009,2016-18
46,0.5655,216.1105,36.0007,2016-18
47,3.8689,216.1471,36.0008,2016-18
48,0.3418,216.0815,36.0007,2016-18
49,0.0612,216.0601,36.0003,2016-18
50,0.0783,216.0487,36.0006,2016-18
51,0.0654,216.0453,36.0005,2016-18
52,0.1010,216.0370,36.0009,2016-18
53,0.1857,216.0528,36.0018,2016-18
54,0.2322,216.0572,36.0023,2016-18
55,0.3180,216.0956,36.0034,2016-18
56,0.3963,216.1918,36.0048,2016-18
57,0.4562,216.2043,36.0050,2016-18
58,0.5322,216.3590,36.0073,2016-18
59,0.6190,216.4760,36.0077,2016-18
60,1.2821,216.8311,36.0107,2016-18
61,0.7390,216.5860,36.0093,2016-18
62,1.0984,216.7536,36.0106,2016-18
63,1.8604,216.9405,36.0128,2016-18
64,2.8467,217.0956,36.0148,2016-18
65,5.0366,217.2749,36.0152,2016-18
66,6.1893,216.9693,36.0119,2016-18
67,5.2619,215.5068,36.0000,2016-18
68,4.5672,214.9452,35.9937,2016-18
69,2.0848,215.1244,35.9978,2016-18
70,2.4622,214.6091,35.9956,2016-18
71,1.7518,214.7737,35.9955,2016-18
72,0.8658,215.2140,35.9962,2016-18
73,3.6967,214.3024,35.9911,2016-18
74,0.8424,215.3951,35.9969,2016-18
75,0.9390,215.1661,35.9955,2016-18
76,1.1842,215.2921,35.9957,2016-18
77,0.7456,215.8931,35.9981,2016-18
78,1.3193,215.9881,35.9964,2016-18
79,1.2750,215.7635,35.9957,2016-18
80,1.6851,215.6695,35.9939,2016-18
81,1.9333,215.3031,35.9911,2016-18
82,2.3425,214.5118,35.9854,2016-18
83,2.8020,214.2094,35.9835,2016-18
84,3.0051,213.8844,35.9808,2016-18
85,3.5271,213.4228,35.9761,2016-18
86,3.1987,213.6785,35.9789,2016-18
87,2.9030,216.3635,36.0045,2016-18
88,1.1362,216.1473,36.0017,2016-18
89,0.7547,216.1134,36.0009,2016-18
90,4.4972,216.0403,35.9983,2016-18
91,2.9024,216.3635,36.0047,2016-18
92,0.6064,216.0967,36.0011,2016-18
93,0.3813,216.0837,36.0010,2016-18
94,0.2696,216.0681,36.0013,2016-18
95,0.1137,216.0506,36.0010,2016-18
96,0.6661,216.1018,36.0012,2016-18
97,0.4753,216.0917,36.0014,2016-18
98,0.1533,216.0537,36.0010,2016-18
99,0.2803,216.0936,36.0030,2016-18
100,0.2745,216.0898,36.0027,2016-18
101,0.3564,216.1625,36.0042,2016-18
102,0.4462,216.2572,36.0057,2016-18
103,0.4863,216.3146,36.0063,2016-18
104,0.4560,216.2738,36.0060,2016-18
105,0.5986,216.4290,36.0077,2016-18
106,0.6640,216.5079,36.0086,2016-18
107,1.3384,216.8247,36.0120,2016-18
108,0.8420,216.6075,36.0098,2016-18
109,0.9733,216.6969,36.0109,2016-18
110,2.2081,217.0062,36.0145,2016-18
111,4.4997,217.2290,36.0151,2016-18
112,5.5148,216.7775,36.0098,2016-18
113,5.1472,215.4427,35.9954,2016-18
114,4.8683,215.1216,35.9935,2016-18
115,3.2570,214.7888,35.9952,2016-18
116,4.7719,214.5311,35.9885,2016-18
117,2.3141,214.4746,35.9935,2016-18
118,2.3724,214.2684,35.9918,2016-18
119,1.1810,214.9126,35.9948,2016-18
120,4.6560,214.2496,35.9889,2016-18
121,4.4397,214.3017,35.9873,2016-18
122,1.4873,214.5835,35.9934,2016-18
123,5.2358,214.3552,35.9864,2016-18
124,5.6537,214.4418,35.9851,2016-18
125,1.6715,214.5109,35.9932,2016-18
126,1.3894,214.9458,35.9943,2016-18
127,1.8229,215.1812,35.9938,2016-18
128,2.4141,214.4797,35.9903,2016-18
129,2.3839,214.7020,35.9893,2016-18
130,2.9817,213.9676,35.9831,2016-18
131,3.9404,213.0973,35.9752,2016-18
132,4.1565,212.9159,35.9735,2016-18
133,3.8120,213.2907,35.9758,2016-18
134,4.1019,213.2113,35.9754,2016-18
135,4.6434,212.4339,35.9698,2016-18
136,4.3206,212.7644,35.9717,2016-18
137,5.5621,211.9753,35.9652,2016-18
138,1.3029,216.1627,36.0022,2016-18
139,1.2075,216.1510,36.0021,2016-18
140,0.8022,216.1162,36.0016,2016-18
141,1.4576,216.1872,36.0029,2016-18
142,1.3166,216.1635,36.0025,2016-18
143,4.6024,215.9403,35.9961,2016-18
144,2.9485,216.3759,36.0048,2016-18
145,1.6833,216.2310,36.0037,2016-18
146,0.5105,216.0980,36.0016,2016-18
147,0.4078,216.0918,36.0019,2016-18
148,0.3139,216.0774,36.0016,2016-18
149,0.4030,216.1137,36.0029,2016-18
150,0.6405,216.1136,36.0019,2016-18
151,0.3944,216.1795,36.0047,2016-18
152,0.5301,216.2036,36.0044,2016-18
153,0.5340,216.3114,36.0063,2016-18
154,0.6129,216.4241,36.0079,2016-18
155,0.7555,216.4731,36.0080,2016-18
156,0.8880,216.5975,36.0097,2016-18
157,1.3157,216.8014,36.0121,2016-18
158,1.6721,216.8868,36.0132,2016-18
159,1.0544,216.6783,36.0106,2016-18
160,3.1252,217.0681,36.0145,2016-18
161,3.9286,217.1095,36.0142,2016-18
162,4.9593,217.0163,36.0107,2016-18
163,5.1144,216.5598,36.0060,2016-18
164,4.9102,215.7734,35.9984,2016-18
165,4.8629,214.9680,35.9904,2016-18
166,4.9785,214.9848,35.9904,2016-18
167,5.2345,214.7809,35.9877,2016-18
168,4.1605,214.1576,35.9892,2016-18
169,2.3442,214.0962,35.9913,2016-18
170,5.4976,214.0977,35.9840,2016-18
171,4.0754,213.7781,35.9858,2016-18
172,5.5492,214.3804,35.9838,2016-18
173,6.0541,214.6418,35.9839,2016-18
174,6.2381,214.3694,35.9795,2016-18
175,2.8991,213.9252,35.9890,2016-18
176,5.3796,215.4127,35.9935,2016-18
177,5.6300,214.7306,35.9857,2016-18
178,3.0968,214.1508,35.9854,2016-18
179,3.5463,213.6347,35.9812,2016-18
