Cell,Age,Oxy,Sal,Period
1,5.4403,214.3666,35.9851,2016-18
2,1.3443,216.0878,35.9965,2016-18
3,0.0862,216.2903,35.9999,2016-18
4,0.0553,216.2781,36.0002,2016-18
5,0.0415,216.2753,36.0001,2016-18
6,0.0620,216.2633,36.0003,2016-18
7,0.0407,216.2675,35.9999,2016-18
8,0.0704,216.2543,36.0001,2016-18
9,0.1368,216.2257,36.0003,2016-18
10,0.2682,216.2269,36.0009,2016-18
11,0.5894,216.3040,36.0004,2016-18
12,0.6332,216.3074,36.0001,2016-18
13,0.9666,216.0698,35.9986,2016-18
14,1.7207,215.3909,35.9948,2016-18
15,1.6200,215.0632,35.9958,2016-18
16,1.4961,215.0088,35.9971,2016-18
17,1.2735,215.5087,35.9947,2016-18
18,1.7793,215.3148,35.9909,2016-18
19,1.4982,215.5482,35.9925,2016-18
20,1.9452,215.0313,35.9905,2016-18
21,2.3945,214.8053,35.9858,2016-18
22,2.8090,214.6696,35.9831,2016-18
23,2.9587,214.9146,35.9799,2016-18
24,2.8605,215.0400,35.9811,2016-18
25,2.4701,214.9656,35.9852,2016-18
26,2.1332,214.7437,35.9909,2016-18
27,1.1888,215.3190,35.9963,2016-18
28,0.2533,216.1415,35.9988,2016-18
29,2.3873,214.4466,35.9928,2016-18
30,0.3624,216.0870,35.9985,2016-18
31,1.0192,215.6298,35.9957,2016-18
32,0.2407,216.1470,35.9993,2016-18
33,0.1919,216.1777,35.9993,2016-18
34,0.6858,215.8230,35.9964,2016-18
35,2.0129,214.7061,35.9922,2016-18
36,1.7762,214.8717,35.9926,2016-18
37,2.4603,214.4472,35.9899,2016-18
38,1.4850,215.3885,35.9929,2016-18
39,2.8681,214.5094,35.9897,2016-18
40,3.2584,214.5109,35.9870,2016-18
41,5.6717,213.4683,35.9756,2016-18
42,4.6362,214.0909,35.9790,2016-18
43,6.0120,213.9847,35.9678,2016-18
44,5.1924,213.7281,35.9909,2016-18
45,1.7189,216.1866,35.9961,2016-18
46,1.5149,216.1845,35.9962,2016-18
47,6.8115,213.6098,35.9826,2016-18
48,0.8340,216.2825,35.9987,2016-18
49,0.1099,216.2671,36.0003,2016-18
50,0.1268,216.2478,36.0005,2016-18
51,0.1128,216.2443,36.0006,2016-18
52,0.1856,216.2427,36.0006,2016-18
53,0.4619,216.2922,36.0009,2016-18
54,0.6330,216.3102,36.0000,2016-18
55,1.6754,215.7166,35.9967,2016-18
56,2.2595,214.6132,35.9959,2016-18
57,2.1201,214.5164,35.9941,2016-18
58,2.1772,214.1468,35.9954,2016-18
59,2.0588,214.6321,35.9910,2016-18
60,2.3671,214.0983,35.9903,2016-18
61,2.7566,214.5123,35.9872,2016-18
62,2.8485,213.6649,35.9905,2016-18
63,2.8266,213.4462,35.9886,2016-18
64,3.3144,213.1417,35.9877,2016-18
65,3.3811,213.2091,35.9861,2016-18
66,3.4032,213.3094,35.9867,2016-18
67,3.4309,213.3429,35.9885,2016-18
68,3.4200,213.3336,35.9886,2016-18
69,3.0985,213.8065,35.9906,2016-18
70,3.7176,213.5166,35.9884,2016-18
71,3.7641,213.5171,35.9883,2016-18
72,2.9629,214.1982,35.9896,2016-18
73,4.4214,213.1057,35.9863,2016-18
74,3.1056,214.2025,35.9880,2016-18
75,4.1904,213.6489,35.9828,2016-18
76,4.8467,213.1140,35.9803,2016-18
77,4.2652,213.1304,35.9841,2016-18
78,5.0561,212.7395,35.9807,2016-18
79,4.7203,213.5860,35.9806,2016-18
80,6.0090,213.0520,35.9758,2016-18
81,6.5061,213.1275,35.9719,2016-18
82,6.7029,213.3182,35.9694,2016-18
83,7.7085,212.8826,35.9662,2016-18
84,7.7577,212.9165,35.9645,2016-18
85,7.8708,213.4969,35.9583,2016-18
86,8.1083,212.9489,35.9623,2016-18
87,5.7001,213.5076,35.9885,2016-18
88,2.3800,216.1100,35.9950,2016-18
89,1.7822,216.2658,35.9962,2016-18
90,7.9594,212.8722,35.9819,2016-18
91,5.8973,213.4718,35.9872,2016-18
92,1.3992,216.3282,35.9976,2016-18
93,0.8884,216.3113,35.9990,2016-18
94,0.6707,216.3057,35.9997,2016-18
95,0.2135,216.2514,36.0006,2016-18
96,1.4963,216.3852,35.9974,2016-18
97,1.0411,216.3484,35.9987,2016-18
98,0.3268,216.2638,36.0009,2016-18
99,1.2399,215.9468,35.9989,2016-18
100,1.1059,215.8097,35.9982,2016-18
101,1.7687,215.1085,35.9960,2016-18
102,2.6623,213.9611,35.9938,2016-18
103,2.7915,213.6642,35.9942,2016-18
104,2.4681,214.1286,35.9962,2016-18
105,3.0858,213.8005,35.9885,2016-18
106,2.8995,213.7289,35.9881,2016-18
107,3.5710,212.7157,35.9889,2016-18
108,3.0942,213.1519,35.9894,2016-18
109,3.4037,212.7634,35.9888,2016-18
110,4.0735,212.4163,35.9855,2016-18
111,4.2670,212.4491,35.9821,2016-18
112,4.2951,212.5347,35.9841,2016-18
113,4.2960,212.6588,35.9861,2016-18
114,4.1041,212.7105,35.9910,2016-18
115,3.8075,213.2715,35.9877,2016-18
116,4.6048,212.8504,35.9848,2016-18
117,4.3565,213.2564,35.9865,2016-18
118,4.8276,212.9307,35.9839,2016-18
119,3.9014,213.6015,35.9856,2016-18
120,4.8028,212.9232,35.9856,2016-18
121,5.0447,212.7187,35.9875,2016-18
122,4.8770,212.9573,35.9803,2016-18
123,4.9168,212.8035,35.9819,2016-18
124,5.0209,212.7874,35.9822,2016-18
125,5.3441,212.7407,35.9767,2016-18
126,5.3716,212.9657,35.9762,2016-18
127,5.7347,212.6160,35.9778,2016-18
128,6.4733,212.5692,35.9750,2016-18
129,6.9774,212.7289,35.9711,2016-18
130,7.6168,212.6227,35.9672,2016-18
131,8.7405,212.7615,35.9609,2016-18
132,8.9612,212.6446,35.9590,2016-18
133,8.3872,212.6002,35.9645,2016-18
134,8.0716,212.4367,35.9674,2016-18
135,9.3093,212.9707,35.9508,2016-18
136,9.1908,212.6082,35.9562,2016-18
137,9.5345,212.3974,35.9588,2016-18
138,2.6210,216.1101,35.9942,2016-18
139,2.4386,216.2536,35.9951,2016-18
140,1.7253,216.4500,35.9972,2016-18
141,2.7880,216.3264,35.9941,2016-18
142,2.6140,216.3464,35.9949,2016-18
143,9.0887,212.2632,35.9785,2016-18
144,5.5145,213.6232,35.9871,2016-18
145,2.9960,216.1439,35.9933,2016-18
146,1.1163,216.3766,35.9985,2016-18
147,1.0510,216.3842,35.9988,2016-18
148,0.8402,216.3275,35.9996,2016-18
149,1.4734,215.8265,35.9965,2016-18
150,1.4083,216.4393,35.9980,2016-18
151,1.8094,214.9508,35.9946,2016-18
152,2.5841,214.7527,35.9923,2016-18
153,2.5989,214.0418,35.9927,2016-18
154,3.0877,213.4108,35.9932,2016-18
155,3.4257,213.1486,35.9927,2016-18
156,3.5755,212.7234,35.9923,2016-18
157,4.1650,212.1906,35.9847,2016-18
158,4.2696,212.1601,35.9855,2016-18
159,3.8359,212.4486,35.9899,2016-18
160,4.7019,212.0779,35.9807,2016-18
161,4.6462,212.1738,35.9818,2016-18
162,4.9510,212.0452,35.9813,2016-18
163,4.6857,212.3107,35.9811,2016-18
164,4.9855,212.0945,35.9831,2016-18
165,4.8435,212.3423,35.9844,2016-18
166,5.1197,212.1386,35.9849,2016-18
167,5.1542,212.3999,35.9839,2016-18
168,5.2294,212.8079,35.9811,2016-18
169,5.2080,212.7219,35.9789,2016-18
170,5.6060,212.1849,35.9864,2016-18
171,5.7328,211.9934,35.9827,2016-18
172,5.2653,212.5055,35.9848,2016-18
173,5.3084,212.5430,35.9852,2016-18
174,5.6714,211.9645,35.9874,2016-18
175,6.0492,212.1681,35.9778,2016-18
176,5.4155,212.1830,35.9822,2016-18
177,5.4320,212.1939,35.9847,2016-18
178,6.7964,212.6056,35.9712,2016-18
179,7.2973,212.8204,35.9655,2016-18
180,6.4098,212.6191,35.9691,2016-18
181,6.8786,212.5918,35.9690,2016-18
182,7.6169,212.5653,35.9670,2016-18
183,9.0201,212.8503,35.9579,2016-18
184,9.4689,212.5859,35.9574,2016-18
185,8.8387,212.5381,35.9617,2016-18
186,8.2712,212.5085,35.9658,2016-18
187,8.7339,212.4315,35.9646,2016-18
188,8.0155,212.5308,35.9656,2016-18
189,10.1627,212.4111,35.9467,2016-18
190,9.8146,212.2775,35.9535,2016-18
191,9.8535,212.0867,35.9590,2016-18
192,9.7709,212.2127,35.9608,2016-18
193,2.4192,216.4845,35.9960,2016-18
194,1.8780,216.4887,35.9972,2016-18
195,1.8364,216.5141,35.9975,2016-18
196,2.8922,216.3960,35.9944,2016-18
197,2.6075,216.4900,35.9955,2016-18
198,3.0917,215.8500,35.9925,2016-18
199,10.0137,212.0353,35.9784,2016-18
