Mean
Site,Scenario,Salinity (PSU),Ammonium (mg/L),Phosphate (mg/L),Silica (mg/L),Particulate organic nitrogen (mg/L),Particulate organic phosphorus (mg/L),Chlorophyll a (mg/L)
Wellington,With all Water,2731108.6815,   21.5394,  280.1248,76763.6340,20146.2787, 1846.7196,  452.9310,
Wellington,No CEW,2165336.5298,   18.6501,  252.3235,71274.3124,17062.8144, 1586.1814,  376.1983,
Wellington,No eWater,1979413.1970,   17.8884,  242.8541,68964.6113,15941.2796, 1489.3077,  348.3709,
Lake Alexandrina Middle,With all Water,3310230.9865,   60.0218,  138.0709,127910.6270,20393.2797, 1881.2508,  248.4665,
Lake Alexandrina Middle,No CEW,2474307.3622,   25.2792,  108.9238,100164.2687,15473.5394, 1424.9043,  193.4218,
Lake Alexandrina Middle,No eWater,2216773.1131,   20.2723,   93.6919,87783.1296,13708.1762, 1255.1004,  175.8734,
Murray Mouth,With all Water,-1070811.7143,  -21.4882,  122.6479,125277.6412,18817.5537, 1738.1110,  238.7116,
Murray Mouth,No CEW,-15074516.3606,  -64.3573,   92.9546,101379.1832,14015.3306, 1304.2380,  185.0192,
Murray Mouth,No eWater,-19585068.1734,  -75.8048,   77.8430,91364.6422,12389.1786, 1152.6313,  169.3368,


